id	label	tex	pdf	pages	words	characters	source_files	missing_inputs	pdf_current	pdf_sha256	tex_sha256
P01	Scaling laws	platform_hybrid/paper/paper_P1_scaling.tex	platform_hybrid/paper/paper_P1_scaling.pdf	45	25474	190521	20	0	True	b31c7fa18c47ee835cd666384c7c25e946661bef121271449278dbf40edc221a	e4c51434de511889216119d466222c335518907f00a587543dc3b0c39556c9bb
P02	Zero-variance fraction	platform_hybrid/paper/paper_P2_zvf.tex	platform_hybrid/paper/paper_P2_zvf.pdf	45	23483	187746	28	0	True	caf889e3bb5b836e45e2f8a13d90047ce0b5a0a61a614252ed722c32b1a98668	b73e9a6c5a5955a2b57252d63fd6db65825f6f55248a3b56ccab482cb40633c9
P03	Group size	platform_hybrid/paper/paper_P3_group_size.tex	platform_hybrid/paper/paper_P3_group_size.pdf	25	13731	113466	17	0	True	2668f389097419df98f8a889416ace95aa870e73c013b22f116983839020b67b	2bc2ef52d156b49efb9c68546bd16338f3a0234d8d003d1deb70bc58e343262f
P04	Length bias	platform_hybrid/paper/paper_P4_length_bias.tex	platform_hybrid/paper/paper_P4_length_bias.pdf	45	27016	224585	29	0	True	7c7ba9fdf177e82a33f759b84e8d16f87afc605c214898d071f88c4e1b6bf8a1	43645382372d049abd9e9b8e3eda47fb3d64dc79d0996a92a9963e80e1069f91
P05	MIN-REPORT-RL	platform_hybrid/paper/paper_P5_minreport.tex	platform_hybrid/paper/paper_P5_minreport.pdf	80	43427	330921	43	0	True	68285077aed2efdd3060ca6d03a452faa207775328cdc4db98c8484f0c29047e	32cc7394efcc854da2de701c0f3343978f65c05a37df0389cd57d8472519c83d
P06	GRPO registry	platform_hybrid/paper/paper_P6_registry.tex	platform_hybrid/paper/paper_P6_registry.pdf	65	34356	270373	40	0	True	253ab339bbc4449ca4560987128c5a107e70fa1c9c0e08cc3b9e6dad0c07d296	66744fc37410ed9970fe64192ae847aea50ab826110188e6d056ec2072a3a54f
P07	ZVF controller	platform_hybrid/paper/paper_P7_zvf_controller.tex	platform_hybrid/paper/paper_P7_zvf_controller.pdf	81	45565	335413	39	0	True	cb711c9beba4dd5f095f385c9bbae67c6d19cf2983adfcc7510165437eaf4548	7ab5f6685a35d279de2383e1a448fd2e20492367c9c36f1216aa2d289b895e8c
P08	Fraud detection	platform_hybrid/paper/paper_P8_fraud.tex	platform_hybrid/paper/paper_P8_fraud.pdf	94	49447	370860	56	0	True	086878c541b2f5a4d01a746c72d8fda1bec00ed064a3c63550a76eca4e89ebb6	c17275607c78ddf6cb3dcacbc10cc2aa1423803fc24bb9db61364283e8627ded
R01	ACM benchmark variant	platform_hybrid/paper/acm_main.tex	platform_hybrid/paper/acm_main.pdf	11	4132	42722	1	0	True	4483c38cd07d39fb26ab912eeddf8e0629a16f72a067c196274813e1bd311e25	d8e5e9363d8b8c016c31cfd019b7cf7e03b6d7ed82b2b3cf753dcdd54608a8ef
R02	NeurIPS ZVF variant	platform_hybrid/paper/neurips_2026_variants/main_zvf.tex	platform_hybrid/paper/neurips_2026_variants/main_zvf.pdf	25	14195	107712	11	0	True	a5dd5c3a60acb6d1bff2d4a4ff57c283d2a42510c9e756a274ab8ad56178bea3	8081d25087a27c06004e79254917d03a4733d2fc4ae3e26873a051d522e6c6d4
R03	NeurIPS workshop artifact	platform_hybrid/paper/neurips_2026_variants/main_workshop.tex	platform_hybrid/paper/neurips_2026_variants/main_workshop.pdf	17	9768	74793	9	0	True	66a2e2d2ac1001302d1438e028d0aa3fd92af024891fcdbad89ed64c0530d083	5e9fccc14998e30f7094fd53c191cdfc48be9e032bb6c2fff6573dec008516a1
R04	NeurIPS DNB benchmark	platform_hybrid/paper/neurips_2026_variants/main_dnb.tex	platform_hybrid/paper/neurips_2026_variants/main_dnb.pdf	36	20121	160935	17	0	True	6f00b37f99009ca9beaafab06c35606c96e46ab60560a704d0a48478fc9b2e5e	014fa10d6c91e70cf3880a0415e1e0bf2c976e1f78080f8e2da32d3b06b88b55
R05	ZVF theory	zvf-program/theory/zvf_theory.tex	zvf-program/theory/zvf_theory.pdf	13	5875	43087	1	0	True	fc4d4290c73c6505e2ec48c46600faa635e5dec319bc5a22ae97b03450e5c74c	bd944879e38feaf54fa63290b763516f041e134f899122698d8d96219fed3524
R06	MIN-REPORT position	zvf-program/position/min_report_rl.tex	zvf-program/position/min_report_rl.pdf	14	6366	47433	1	0	True	c773b1a2dbbdc34fc41c5a781ac2b6168af13b3cc5c130f1c12d9db183db2709	75c5323875323aa4e612314de8cd32bdfa21b627d585bc596dda36e0e7eaa090
R07	Living GRPO registry	zvf-program/registry/grpo_registry.tex	zvf-program/registry/grpo_registry.pdf	13	4511	38529	1	0	True	b0782b32ea37d7b4c8abd744a95b5d3b7d32c7af820f272507b686d3320cba5e	2bbb3653f93b1393f4170c3b95d19565331ccde955dc88cebe3a778e03ea8883
R08	Reproducibility audit	zvf-program/audit/reproducibility_audit.tex	zvf-program/audit/reproducibility_audit.pdf	8	3297	25226	2	0	True	533abf5f66e969ec6c9453bcea9133d8f927fab09b44ef68a4821ebaa4890f8c	f53ebfa1ddc117eb8ad263ddebbab0fb8f6d0291ee613e3c236e3503ef3ee4d5
U01	Umbrella benchmark	platform_hybrid/paper/main.tex	platform_hybrid/paper/main.pdf	239	133323	1119302	98	0	True	a5e02a5200ef9ce883c132b2b347741c2fda86d4427a0ba38600518abba22cb9	89d6021a3c2eb9fe9048cc00df260b1aa8ccbc39b60d4ae198b45c7fe37798f5
N01	Unified signal starvation	platform_hybrid/paper/unified_signal_starvation/main.tex	platform_hybrid/paper/unified_signal_starvation/main.pdf	12	5373	42818	1	0	True	e589f216fe164d5ac37e83e9728851d7473690ed62fa05d406d8021529bb7fb4	c947344667608662df21ea01ae1d2b2981a4d75e75a79779d6b0ddc62f3c5f0c
