left	right	jaccard_7gram
R02	R03	0.4265523981356187
R02	R04	0.3080899952130206
R03	R04	0.3063672885366793
P04	U01	0.2473025034473935
P01	U01	0.24489230050785127
P03	P04	0.06659395862251305
P01	P03	0.06264245014245014
P02	P03	0.062050425052677466
R04	U01	0.04843988653720271
P03	R03	0.046745943412805344
P01	P02	0.04535269821558729
P02	P04	0.0429791439649274
P03	P06	0.04281329657181501
P01	P04	0.04170616113744076
P03	P05	0.03887777373590397
P03	P07	0.03855686494575383
P03	R02	0.037823458282950424
R02	U01	0.03591628959276018
P02	P06	0.03431817701843678
P01	P06	0.03431658878504673
P03	R04	0.03411690463043307
P02	P07	0.03370633981731086
P01	P05	0.03209456300147755
P04	P06	0.032002698305622794
P01	P07	0.031555581070478594
P02	P05	0.031077021895603876
R03	U01	0.030825672598465043
P04	P07	0.030264240651001188
P04	P05	0.029444871268023372
P02	R02	0.027394013273736962
P06	P07	0.02611713527172696
P05	P06	0.026092956156306843
P02	R04	0.024994890063363213
P05	P07	0.024571143226412878
P03	U01	0.0204175022544045
R01	R04	0.01882957098534289
P02	U01	0.018077792201548152
P06	U01	0.0156236714565088
P07	U01	0.015153671030165053
P05	U01	0.014878056121271707
P02	R03	0.014062618451974832
P03	R01	0.013927362265312404
R01	R03	0.013838862559241705
R01	R02	0.010041012586621411
R01	U01	0.00822525446881013
P02	R01	0.008134168075675182
P01	R01	0.008049810985101179
P04	R01	0.007506121302131417
P06	R01	0.005313788364635822
P07	R01	0.004802244644687854
P05	R01	0.0046161068224494055
R06	R07	0.003241866388792405
P05	R06	0.002295762608377091
R06	R08	0.0022129333661175315
P01	R04	0.0021329142343960487
P04	R04	0.0018123079347569144
P06	R04	0.00150353002701996
P07	R04	0.001374036680805305
P05	R04	0.0013594080748839648
R07	R08	0.0012131715771230502
R05	R07	0.0006777822963264199
R05	R08	0.000582665695557174
R05	R06	0.000512715340442986
P06	R07	0.0003025535519787002
R05	N01	0.0002512562814070352
P03	P08	0.00022351363433169424
R02	R05	0.00019334880123743234
P05	P08	0.0001743655775524438
R03	R05	0.00016765864699471876
P02	P08	0.0001549053356282272
P01	P08	0.00015330891746869943
P07	P08	0.0001501071219006291
P04	P08	0.0001472055480135429
P06	P08	0.00014501790971184941
P03	R05	0.00013879250520471896
R04	R05	9.862419251442379e-05
P01	N01	8.55175952452217e-05
P07	N01	7.902223158782004e-05
P04	R05	7.59503284851707e-05
R03	R06	7.568303943086355e-05
R05	U01	5.724589976242952e-05
P06	R06	5.6441371525328064e-05
P01	R02	3.231539828728389e-05
P04	R02	2.9958956229964948e-05
P07	R07	2.6747980527470175e-05
P07	R05	2.59888767607464e-05
P05	R07	2.586452163567235e-05
P08	U01	9.552010698251983e-06
P01	R03	0.0
P01	R05	0.0
P01	R06	0.0
P01	R07	0.0
P01	R08	0.0
P02	R05	0.0
P02	R06	0.0
P02	R07	0.0
P02	R08	0.0
P02	N01	0.0
P03	R06	0.0
P03	R07	0.0
P03	R08	0.0
P03	N01	0.0
P04	R03	0.0
P04	R06	0.0
P04	R07	0.0
P04	R08	0.0
P04	N01	0.0
P05	R02	0.0
P05	R03	0.0
P05	R05	0.0
P05	R08	0.0
P05	N01	0.0
P06	R02	0.0
P06	R03	0.0
P06	R05	0.0
P06	R08	0.0
P06	N01	0.0
P07	R02	0.0
P07	R03	0.0
P07	R06	0.0
P07	R08	0.0
P08	R01	0.0
P08	R02	0.0
P08	R03	0.0
P08	R04	0.0
P08	R05	0.0
P08	R06	0.0
P08	R07	0.0
P08	R08	0.0
P08	N01	0.0
R01	R05	0.0
R01	R06	0.0
R01	R07	0.0
R01	R08	0.0
R01	N01	0.0
R02	R06	0.0
R02	R07	0.0
R02	R08	0.0
R02	N01	0.0
R03	R07	0.0
R03	R08	0.0
R03	N01	0.0
R04	R06	0.0
R04	R07	0.0
R04	R08	0.0
R04	N01	0.0
R06	U01	0.0
R06	N01	0.0
R07	U01	0.0
R07	N01	0.0
R08	U01	0.0
R08	N01	0.0
U01	N01	0.0
