id	label	tex	pdf	pages	words	characters	source_files	missing_inputs	pdf_current	pdf_sha256	tex_sha256
P01	Scaling laws	platform_hybrid/paper/paper_P1_scaling.tex	platform_hybrid/paper/paper_P1_scaling.pdf	45	25314	188441	20	0	True	483d9075a096c59389ddbb08077dc690f4fbf57219cdf6d38c9acf20b25b05bd	261a9c22230450a2faffa685e9855982e1885a7bf570cbf791913008939e60f2
P02	Zero-variance fraction	platform_hybrid/paper/paper_P2_zvf.tex	platform_hybrid/paper/paper_P2_zvf.pdf	45	23420	186128	28	0	True	4ab749fb814896086f9e81f1a28d4f24d4e97f72bc8d364d148c80eba1eff8fa	4c63ebf50e500479bf5cd65f1d19f7d6afe9ea4be4a0277218ead04e2122706d
P03	Group size	platform_hybrid/paper/paper_P3_group_size.tex	platform_hybrid/paper/paper_P3_group_size.pdf	25	13676	112161	17	0	True	e76bd75eaa5ddf2f03deb4f92da3e875a13be971f8dcc4d6e4945eedd934027a	1fb900ba38af6eddfa0cd84847fc2eeb98e24f6c37e12c40a61402cfaecf98b5
P04	Length bias	platform_hybrid/paper/paper_P4_length_bias.tex	platform_hybrid/paper/paper_P4_length_bias.pdf	45	26982	224787	29	0	True	2f470a36781e5c81c16cf7056b50ffae29f5a2506e97d1f2a44965905d7dae74	ca6b17c03f7970a085d04579b9d0c18b082ef9d4fe5365d79994e2ac87a5aee9
P05	MIN-REPORT-RL	platform_hybrid/paper/paper_P5_minreport.tex	platform_hybrid/paper/paper_P5_minreport.pdf	80	43387	330097	43	0	True	189032a39f43ec001cf958dcda2abdc005f0dc0664fc5f653e2124d0a17918ec	105c4965b950a06c957531548f952e40154d23b71a5d93c8458ccb614b00f755
P06	GRPO registry	platform_hybrid/paper/paper_P6_registry.tex	platform_hybrid/paper/paper_P6_registry.pdf	65	34187	268736	40	0	True	d311717efe1aaa175dea0f401b2ad2f1ffd3361eb109bc4acdacd1cea63ee761	965f0f01ac11da5d7a02c07bc6871f498616e29c4dbf1da79c5cb379efc2487e
P07	ZVF controller	platform_hybrid/paper/paper_P7_zvf_controller.tex	platform_hybrid/paper/paper_P7_zvf_controller.pdf	81	45413	334848	39	0	True	0fb828a7c8ee68ec8288b5bd543ea0eb852c6b3b84152ef600ab01d979bda060	9ff2337ee8e975484439fe6347b22fc017e02cbc65724a4cd3f9ba519f4a7e65
P08	Fraud detection	platform_hybrid/paper/paper_P8_fraud.tex	platform_hybrid/paper/paper_P8_fraud.pdf	94	49413	370546	56	0	True	79b981c612e5304b8420154f3083c59326b6aef760934daef1417c50a4ce36c4	4be86b0f388ad77408297cde4f484bb2108f65789bc7f06076abfb52c0480fe9
R01	ACM benchmark variant	platform_hybrid/paper/acm_main.tex	platform_hybrid/paper/acm_main.pdf	11	4085	41674	1	0	True	37784c3d7cf1f7c1a6162f92e16075568970244431d289cc50614ccbf94d8d26	9b72a6b69d33d2e3f93517727868a636c014ff91fe9b996cc9d29eec5f57e53b
R02	NeurIPS ZVF variant	platform_hybrid/paper/neurips_2026_variants/main_zvf.tex	platform_hybrid/paper/neurips_2026_variants/main_zvf.pdf	25	14144	106990	11	0	True	53e37271b559cb0767b49a915fddf61437b615f45e16de385c2824bd6947e2b5	b03a2fc061338e6bc30ceedcf129294dec3cc3a4d69a361264ad95c50b074cbe
R03	NeurIPS workshop artifact	platform_hybrid/paper/neurips_2026_variants/main_workshop.tex	platform_hybrid/paper/neurips_2026_variants/main_workshop.pdf	17	9735	74420	9	0	True	471076421c79b6f4619cef05bf41366fb7e95ba746979040fdfa91d63e898c26	02e43dc6da781c2c52752b121eca0cbd1b6b675fea984b00fac7d3b1714da384
R04	NeurIPS DNB benchmark	platform_hybrid/paper/neurips_2026_variants/main_dnb.tex	platform_hybrid/paper/neurips_2026_variants/main_dnb.pdf	35	19945	159141	17	0	True	836fa4e0771c2884b2899d22cecd62ca1d8d1c786e457cc88271338f1901deef	092ed89f320b7157d871828b69a08204845e6b6253bb9be39b8c603f3fb2bbff
R05	ZVF theory	zvf-program/theory/zvf_theory.tex	zvf-program/theory/zvf_theory.pdf	12	5695	41161	1	0	True	e8fd5a7aec108476295bcd59c077e9b4f9ea1ab9e7cb07cabdd8233f0184b895	28d4dc8ef97eaf8c1d453ba1ef56da5ca1f3947146b5afa54ea8c87af5c652d6
R06	MIN-REPORT position	zvf-program/position/min_report_rl.tex	zvf-program/position/min_report_rl.pdf	14	6271	46372	1	0	True	a891a6618e8db6e51c14c12d875ff7e43bd82ebc9e3badcfbdce3f7254543fa7	f387e2945258ac5c762f9a4d1acd44eeedac6e209a2e24b10386a665a57400ec
R07	Living GRPO registry	zvf-program/registry/grpo_registry.tex	zvf-program/registry/grpo_registry.pdf	13	4398	37559	1	0	True	da12abbefeee1c57219453d8d3814a8b7236e96ac2ae204b9d00736c4dd94130	192b02c46fad2475d5ab044aa831a4eb0d664da5907f7da77671f21fb7c0dac8
