model	model_short	family	params_B	G	n_steps	has_step_loss	mean_p	mean_Y	mean_KL	cum_C_eff	raw_rollouts	ceff_discount_ratio	c_3p	R_max_3p	lambda_3p	t80_3p	rmse_3p	r2_3p	delta_R_max	G_star	peak
openai/gpt-oss-20b	gpt-oss-20b	other	nan	8	30	True	0.8395833333333333	0.44317628525507946	14.486329587300618	2074.480960820169	240.0	8.643670670084038	1.3595994453740346e-11	0.8479218608881729	1.4944103999778728	1.0769718361555372	0.18889534561692714	0.03971423342388536	0.8479218608745769	2	1.0
moonshotai/Kimi-K2-Thinking	kimi-k2	other	nan	4	20	True	0.85	0.358447265625	3.9953422069549562	197.56298599019647	80.0	2.469537324877456	3.89694635436565e-08	0.9850745886336548	0.014372078164907121	111.98365984147856	0.7450249168399196	-18.098911886875836	0.9850745496641913	2	1.0
deepseek-ai/DeepSeek-V3.1	deepseek-v3.1	deepseek	685.0	4	20	True	0.84375	0.4131103515625	8.415992498397827	393.92692148685455	80.0	4.924086518585682	0.842770709158518	0.9303104598746444	0.0010719852912743568	1501.3619361519686	0.1362145258255763	1.5653948006510987e-05	0.08753975071612641	2	1.0
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	nemotron-120b	nemotron	12.0	4	20	True	0.175	0.30263671875	15.41815357208252	831.7283120676875	80.0	10.396603900846094	5.437561503433456e-13	0.1820416219309858	0.9902510376511097	1.6252827326005244	0.243267883628899	0.013678946578607465	0.18204162193044204	2	0.875
Qwen/Qwen3-235B-A22B-Instruct-2507	qwen3-235b-moe	other	22.0	4	4	False	1.0	0.0	1.0	0.0	16.0	0.0	0.9999999999	1.0	0.2	8.047189562170502	6.36934274550833e-11	nan	1.000000082740371e-10	2	1.0
Qwen/Qwen3-30B-A3B-Instruct-2507	qwen3-30b-moe-inst	other	3.0	8	3	False	1.0	0.0	1.0	0.0	24.0	0.0	0.9999999999	1.0	0.2	8.047189562170502	6.881967050430218e-11	nan	1.000000082740371e-10	2	1.0
Qwen/Qwen3-30B-A3B	qwen3-30b-moe	other	3.0	8	5	False	0.3252	0.8362618866229422	1.0	33.45047546491769	40.0	0.8362618866229422	0.14596378383353564	1.0499999999999943	0.07550069178463874	21.31686312259134	0.15057646493103	0.2132843193401529	0.9040362161664586	2	0.5
meta-llama/Llama-3.1-8B-Instruct	llama-8b-inst	llama	8.0	8	30	True	0.86875	0.44030208530214926	4.558265113830567	791.2936948648556	240.0	3.2970570619368984	0.8261266030302625	0.9999999999999999	0.12784120663078968	12.589351703181423	0.20038572845482305	-0.5065271152568749	0.17387339696973736	2	1.0
Qwen/Qwen3-32B	qwen3-32b	other	32.0	8	3	False	0.24966666666666668	0.8519368550253185	1.0	20.446484520607644	24.0	0.8519368550253185	1.1878253320422073e-17	0.4695959549925264	0.33143308731127913	4.8559965014070245	0.15115860034164622	-1.9403228876320426	0.4695959549925264	2	0.312
Qwen/Qwen3-8B	qwen3-8b	qwen	8.0	8	30	True	0.28541666666666665	0.8022304825639973	3.1597050348917644	677.9587705632309	240.0	2.824828210680129	0.23679994441969074	1.0499999999608738	0.004014650467577976	400.89116734614964	0.1676052247890139	0.025405176756048697	0.813200055541183	2	0.625
Qwen/Qwen3.5-27B	qwen3.5-27b	other	27.0	8	3	False	0.43733333333333335	0.6295219125306323	1.0	15.108525900735174	24.0	0.6295219125306323	5.852263956323881e-15	0.9999999999882114	0.43418210869873075	3.7068268825209776	0.4483337082725609	-0.979918775075115	0.9999999999882055	2	0.75
Qwen/Qwen3.5-4B	qwen3.5-4b	qwen	4.0	8	30	True	0.8166666666666667	0.47107037346189223	3.610610008239746	654.8769215752302	240.0	2.7286538398967926	0.7994508675263413	0.9999999999999999	0.3569272123726485	4.509148803016377	0.2796632340191407	-0.6878920228601626	0.20054913247365858	2	1.0
