task	method	seed	model	n_steps	rho_dZ_dL	rho_pval	abs_rho_dZ_dL
drgrpo_vs_grpo	grpo	42	Qwen/Qwen2.5-0.5B	40	0.09322587474627375	0.5724240384606681	0.09322587474627375
drgrpo_vs_grpo	grpo	123	Qwen/Qwen2.5-0.5B	40	-0.18160549250593544	0.2685281414018513	0.18160549250593544
drgrpo_vs_grpo	grpo	456	Qwen/Qwen2.5-0.5B	40	0.19526221437943947	0.23355690278674124	0.19526221437943947
drgrpo_vs_grpo	grpo	789	Qwen/Qwen2.5-0.5B	40	-0.06838588745792896	0.6791233563318194	0.06838588745792896
drgrpo_vs_grpo	grpo	1024	Qwen/Qwen2.5-0.5B	40	-0.009466247336402032	0.9543902458683714	0.009466247336402032
drgrpo_vs_grpo	dr_grpo	42	Qwen/Qwen2.5-0.5B	40	0.2480093025430199	0.12792847299648938	0.2480093025430199
drgrpo_vs_grpo	dr_grpo	123	Qwen/Qwen2.5-0.5B	40	0.13100700457327327	0.42663972859348154	0.13100700457327327
drgrpo_vs_grpo	dr_grpo	456	Qwen/Qwen2.5-0.5B	40	-0.15480224859950634	0.3467174769819144	0.15480224859950634
drgrpo_vs_grpo	dr_grpo	789	Qwen/Qwen2.5-0.5B	40	0.18064346409277982	0.27111505615283915	0.18064346409277982
drgrpo_vs_grpo	dr_grpo	1024	Qwen/Qwen2.5-0.5B	40	-0.028320135097733744	0.8641143359237574	0.028320135097733744
drgrpo_gsm8k_cot	grpo	42	Qwen/Qwen2.5-1.5B-Instruct	30	0.14171200856024954	0.4633833836046518	0.14171200856024954
drgrpo_gsm8k_cot	grpo	123	Qwen/Qwen2.5-1.5B-Instruct	30	0.3950974049472002	0.03390131544041194	0.3950974049472002
drgrpo_gsm8k_cot	grpo	456	Qwen/Qwen2.5-1.5B-Instruct	30	-0.019802546464694325	0.918789266147766	0.019802546464694325
drgrpo_gsm8k_cot	dr_grpo	42	Qwen/Qwen2.5-1.5B-Instruct	30	0.25988382178518077	0.17336052230321933	0.25988382178518077
drgrpo_gsm8k_cot	dr_grpo	123	Qwen/Qwen2.5-1.5B-Instruct	30	0.469521112676964	0.010179136511731314	0.469521112676964
drgrpo_gsm8k_cot	dr_grpo	456	Qwen/Qwen2.5-1.5B-Instruct	30	-0.016187753869634534	0.9335776563563745	0.016187753869634534
