model	log10(N)	RQS	capable	r_mean_obs	r_mean_pred_capable	r_mean_pred_capable_RQS	resid_capable	resid_capable_RQS
Qwen3.5-4B	0.6021	0.7591	1	0.8167	0.6833	0.7907	0.1334	0.0260
Qwen3-8B	0.9031	0.3534	1	0.2854	0.6833	0.6652	-0.3979	-0.3798
Llama-3.1-8B-Instruct	0.9031	0.6353	1	0.8688	0.6833	0.7524	0.1855	0.1164
Qwen3-32B	1.5051	0.0000	1	0.2497	0.6833	0.5559	-0.4336	-0.3062
Qwen3.5-27B	1.4314	0.6390	1	0.4373	0.6833	0.7535	-0.2460	-0.3162
gpt-oss-20B	1.3010	0.7062	1	0.8396	0.6833	0.7743	0.1563	0.0653
Qwen3-30B-MoE	1.4771	0.0000	1	0.3252	0.6833	0.5559	-0.3581	-0.2307
Qwen3-30B-MoE-Inst	1.4771	0.0000	1	1.0000	0.6833	0.5559	0.3167	0.4441
DeepSeek-V3.1	2.8357	0.5572	1	0.8438	0.6833	0.7282	0.1605	0.1156
Nemotron-120B	2.0792	0.0000	0	0.1750	0.1750	0.2466	-0.0000	-0.0716
Qwen3-235B-MoE	2.3711	0.0000	1	1.0000	0.6833	0.5559	0.3167	0.4441
Kimi-K2-Thinking	3.0000	0.6502	1	0.8500	0.6833	0.7570	0.1667	0.0930
