strategy	seed	k	eval_score	cum_regret	best_so_far
RANDOM	0	1	0.8556	0.0926	0.8556
RANDOM	0	2	0.3411	0.6996	0.8556
RANDOM	0	3	0.8326	0.8151	0.8556
RANDOM	0	4	0.8686	0.8947	0.8686
RANDOM	0	5	0.9015	0.9413	0.9015
RANDOM	0	6	0.4048	1.4846	0.9015
RANDOM	0	7	0.8126	1.6201	0.9015
RANDOM	0	8	0.3041	2.2642	0.9015
RANDOM	0	9	0.9322	2.2801	0.9322
RANDOM	0	10	0.3778	2.8505	0.9322
RANDOM	0	11	0.4608	3.3378	0.9322
RANDOM	0	12	0.8896	3.3963	0.9322
RANDOM	1	1	0.9322	0.0160	0.9322
RANDOM	1	2	0.8796	0.0845	0.9322
RANDOM	1	3	0.8816	0.1511	0.9322
RANDOM	1	4	0.5992	0.5000	0.9322
RANDOM	1	5	0.6062	0.8420	0.9322
RANDOM	1	6	0.4038	1.3863	0.9322
RANDOM	1	7	0.8545	1.4800	0.9322
RANDOM	1	8	0.4048	2.0233	0.9322
RANDOM	1	9	0.8637	2.1077	0.9322
RANDOM	1	10	0.2471	2.8087	0.9322
RANDOM	1	11	0.3770	3.3799	0.9322
RANDOM	1	12	0.3778	3.9502	0.9322
RANDOM	2	1	0.8637	0.0844	0.8637
RANDOM	2	2	0.9256	0.1070	0.9256
RANDOM	2	3	0.4038	0.6513	0.9256
RANDOM	2	4	0.5432	1.0562	0.9256
RANDOM	2	5	0.8855	1.1189	0.9256
RANDOM	2	6	0.3593	1.7077	0.9256
RANDOM	2	7	0.8727	1.7832	0.9256
RANDOM	2	8	0.8866	1.8447	0.9256
RANDOM	2	9	0.8287	1.9642	0.9256
RANDOM	2	10	0.8545	2.0579	0.9256
RANDOM	2	11	0.8556	2.1504	0.9256
RANDOM	2	12	0.4048	2.6937	0.9256
RANDOM	3	1	0.3253	0.6229	0.3253
RANDOM	3	2	0.3023	1.2688	0.3253
RANDOM	3	3	0.3411	1.8758	0.3411
RANDOM	3	4	0.9256	1.8983	0.9256
RANDOM	3	5	0.2471	2.5993	0.9256
RANDOM	3	6	0.8652	2.6823	0.9256
RANDOM	3	7	0.8897	2.7408	0.9256
