seed	step	G	n_correct	p_sparse	p_dense	zvf_sparse	zvf_dense	zvf_iid_sparse	zvf_iid_dense	rho_sparse	rho_dense	delta_div_sparse	delta_div_dense	inflation_delta_div
0	0	8	0	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	+0.0000	+0.0000	+0.0000
0	1	8	0	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	+0.0000	+0.0000	+0.0000
0	2	8	2	0.2500	0.2500	0.0000	0.0000	0.1001	0.1001	0.0000	0.0000	-0.1001	-0.1001	+0.0000
0	3	8	0	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	+0.0000	+0.0000	+0.0000
0	4	8	0	0.0000	0.2250	1.0000	0.0000	1.0000	0.1301	1.0000	0.0000	+0.0000	-0.1301	-0.1301
1	0	8	1	0.1250	0.3375	0.0000	0.0000	0.3436	0.0373	0.0000	0.0000	-0.3436	-0.0373	+0.3063
1	1	8	1	0.1250	0.3125	0.0000	0.0000	0.3436	0.0500	0.0000	0.0000	-0.3436	-0.0500	+0.2936
1	2	8	2	0.2500	0.3625	0.0000	0.0000	0.1001	0.0276	0.0000	0.0000	-0.1001	-0.0276	+0.0726
1	3	8	2	0.2500	0.2500	0.0000	0.0000	0.1001	0.1001	0.0000	0.0000	-0.1001	-0.1001	+0.0000
1	4	8	1	0.1250	0.1250	0.0000	0.0000	0.3436	0.3436	0.0000	0.0000	-0.3436	-0.3436	+0.0000
