task	algo	seed	acc	length
arithmetic_easy_qwen2.5-0.5b	grpo	42	0.978906	4.5492
arithmetic_easy_qwen2.5-0.5b	grpo	123	0.985938	4.5305
arithmetic_easy_qwen2.5-0.5b	grpo	456	0.989844	4.4625
arithmetic_easy_qwen2.5-0.5b	grpo	789	0.994531	4.493
arithmetic_easy_qwen2.5-0.5b	grpo	1024	0.991406	4.4969
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	0.971094	4.5367
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	0.9875	4.5234
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	0.991406	4.5422
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	0.992188	4.4938
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	0.998437	4.5
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	0.273438	177.4281
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	0.2625	184.7891
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	0.257812	191.0969
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	0.25625	188.1891
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	0.264062	186.6781
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	0.235937	193.125
