p_eff	zvf_G32_baseline	zvf_G4_baseline	zvf_G4_target_eq_G32	delta_div_needed_total	zvf_reduction_pct	feasible_alpha
0.6	0.0	0.0	0.0	0.1552	0.0	feasible (no decoder hack)
0.61	0.0	0.0	0.0	0.1616	0.0	feasible (no decoder hack)
0.62	0.0	0.0	0.0	0.1686	0.0	feasible (no decoder hack)
0.63	0.0	0.0	0.0	0.1763	0.0	feasible (no decoder hack)
0.64	0.0	0.0046	0.0	0.1846	100.0	feasible (no decoder hack)
0.65	0.0	0.0135	0.0	0.1935	100.0	feasible (no decoder hack)
0.66	0.0	0.0231	0.0	0.2031	100.0	feasible (no decoder hack)
0.67	0.0	0.0334	0.0	0.2134	100.0	feasible (no decoder hack)
0.68	0.0	0.0443	0.0	0.2243	100.0	feasible (no decoder hack)
0.69	0.0	0.0559	0.0	0.2359	100.0	stretch (decoding penalty)
0.7	0.0	0.0682	0.0	0.2482	100.0	stretch (decoding penalty)
0.71	0.0	0.0812	0.0	0.2612	100.0	stretch (decoding penalty)
0.72	0.0	0.0949	0.0	0.2749	100.0	stretch (decoding penalty)
0.73	0.0	0.1093	0.0	0.2893	100.0	stretch (decoding penalty)
0.74	0.0	0.1244	0.0	0.3044	100.0	stretch (decoding penalty)
0.75	0.0	0.1403	0.0	0.3203	100.0	stretch (decoding penalty)
0.76	0.0	0.1569	0.0	0.3369	100.0	stretch (decoding penalty)
0.77	0.0	0.1743	0.0	0.3543	100.0	stretch (decoding penalty)
0.78	0.0	0.1925	0.0	0.3725	100.0	stretch (decoding penalty)
0.79	0.0	0.2114	0.0	0.3914	100.0	stretch (decoding penalty)
0.8	0.0	0.2312	0.0	0.4112	100.0	stretch (decoding penalty)
0.81	0.0	0.2518	0.0	0.4318	100.0	stretch (decoding penalty)
0.82	0.0	0.2732	0.0	0.4532	100.0	infeasible (static G wins)
0.83	0.0	0.2954	0.0	0.4754	100.0	infeasible (static G wins)
0.84	0.0	0.3185	0.0	0.4985	100.0	infeasible (static G wins)
0.85	0.0	0.3425	0.0	0.5225	100.0	infeasible (static G wins)
0.86	0.0	0.3674	0.0	0.5474	100.0	infeasible (static G wins)
0.87	0.0	0.3932	0.0	0.5732	100.0	infeasible (static G wins)
0.88	0.0	0.4199	0.0	0.5999	100.0	infeasible (static G wins)
0.89	0.0	0.4476	0.0	0.6276	100.0	infeasible (static G wins)
0.9	0.0	0.4762	0.0	0.6562	100.0	infeasible (static G wins)
0.91	0.0	0.5058	0.0	0.6858	100.0	infeasible (static G wins)
0.92	0.0	0.5364	0.0	0.7164	100.0	infeasible (static G wins)
0.93	0.0	0.5681	0.0	0.7481	100.0	infeasible (static G wins)
0.94	0.0	0.6008	0.0	0.7808	100.0	infeasible (static G wins)
0.95	0.0137	0.6345	0.0137	0.8008	97.84	infeasible (static G wins)
0.96	0.0908	0.6693	0.0908	0.7585	86.43	infeasible (static G wins)
0.97	0.1973	0.7053	0.1973	0.688	72.02	infeasible (static G wins)
0.98	0.3439	0.7424	0.3439	0.5785	53.68	infeasible (static G wins)
