T_tokens	G_a	G_b	gap_log2	acc_G_a	acc_G_b	diff	diff_ci_low	diff_ci_high	retention	retention_ci_low	retention_ci_high	dpo_equivalence_score	tost_p_eps0.02	tost_equivalent	wu_97_6_in_CI	above_wu_97_6pct
1000000	4	8	1.0	0.41	0.48	-0.07	-0.13	-0.01	0.8542	0.7451	0.9778	0.8427	0.948801	False	True	False
1000000	4	16	2.0	0.41	0.47	-0.06	-0.12	0.0	0.8723	0.76	1.0	0.8636	0.904337	False	True	False
1000000	4	32	3.0	0.41	0.42	-0.01	-0.07	0.05	0.9762	0.8444	1.1282	0.9759	0.37196	False	True	True
1000000	4	64	4.0	0.41	0.35	0.06	0.0	0.12	1.1714	1.0	1.375	0.8421	0.904337	False	False	True
1000000	8	16	1.0	0.48	0.47	0.01	-0.05	0.07	1.0213	0.9	1.1591	0.9789	0.37196	False	True	True
1000000	8	32	2.0	0.48	0.42	0.06	0.0	0.12	1.1429	1.0	1.3077	0.8667	0.904337	False	False	True
1000000	8	64	3.0	0.48	0.35	0.13	0.07	0.19	1.3714	1.1842	1.5	0.6867	0.999837	False	False	True
1000000	16	32	1.0	0.47	0.42	0.05	-0.01	0.11	1.119	0.9778	1.2821	0.8876	0.836457	False	False	True
1000000	16	64	2.0	0.47	0.35	0.12	0.06	0.18	1.3429	1.1579	1.5	0.7073	0.999456	False	False	True
1000000	32	64	1.0	0.42	0.35	0.07	0.01	0.13	1.2	1.0263	1.4062	0.8182	0.948801	False	False	True
4000000	4	8	1.0	0.55	0.67	-0.12	-0.18	-0.06	0.8209	0.7429	0.9062	0.8033	0.999456	False	False	False
4000000	4	16	2.0	0.55	0.69	-0.14	-0.2	-0.08	0.7971	0.7222	0.8788	0.7742	0.999956	False	False	False
4000000	4	32	3.0	0.55	0.66	-0.11	-0.17	-0.05	0.8333	0.7536	0.9206	0.8182	0.998359	False	False	False
4000000	4	64	4.0	0.55	0.58	-0.03	-0.09	0.03	0.9483	0.8525	1.0545	0.9469	0.62804	False	True	False
4000000	8	16	1.0	0.67	0.69	-0.02	-0.08	0.04	0.971	0.8889	1.0606	0.9706	0.5	False	True	False
4000000	8	32	2.0	0.67	0.66	0.01	-0.05	0.07	1.0152	0.9275	1.1111	0.985	0.37196	False	True	True
4000000	8	64	3.0	0.67	0.58	0.09	0.03	0.15	1.1552	1.0492	1.2727	0.856	0.988892	False	False	True
4000000	16	32	1.0	0.69	0.66	0.03	-0.03	0.09	1.0455	0.9565	1.1429	0.9556	0.62804	False	True	True
4000000	16	64	2.0	0.69	0.58	0.11	0.05	0.17	1.1897	1.082	1.3091	0.8268	0.998359	False	False	True
4000000	32	64	1.0	0.66	0.58	0.08	0.02	0.14	1.1379	1.0328	1.2545	0.871	0.975002	False	False	True
16000000	4	8	1.0	0.63	0.78	-0.15	-0.21	-0.09	0.8077	0.7407	0.88	0.7872	0.999989	False	False	False
16000000	4	16	2.0	0.63	0.82	-0.19	-0.25	-0.13	0.7683	0.7059	0.8354	0.7379	1.0	False	False	False
16000000	4	32	3.0	0.63	0.84	-0.21	-0.27	-0.15	0.75	0.6897	0.8148	0.7143	1.0	False	False	False
16000000	4	64	4.0	0.63	0.8	-0.17	-0.23	-0.11	0.7875	0.7229	0.8571	0.7622	1.0	False	False	False
16000000	8	16	1.0	0.78	0.82	-0.04	-0.1	0.02	0.9512	0.8824	1.0253	0.95	0.743229	False	True	False
16000000	8	32	2.0	0.78	0.84	-0.06	-0.12	0.0	0.9286	0.8621	1.0	0.9259	0.904337	False	True	False
16000000	8	64	3.0	0.78	0.8	-0.02	-0.08	0.04	0.975	0.9036	1.0519	0.9747	0.5	False	True	False
16000000	16	32	1.0	0.82	0.84	-0.02	-0.08	0.04	0.9762	0.908	1.0494	0.9759	0.5	False	True	True
16000000	16	64	2.0	0.82	0.8	0.02	-0.04	0.08	1.025	0.9518	1.1039	0.9753	0.5	False	True	True
16000000	32	64	1.0	0.84	0.8	0.04	-0.02	0.1	1.05	0.9759	1.1299	0.9512	0.743229	False	True	True
64000000	4	8	1.0	0.64	0.8	-0.16	-0.22	-0.1	0.8	0.7349	0.8701	0.7778	0.999998	False	False	False
64000000	4	16	2.0	0.64	0.85	-0.21	-0.27	-0.15	0.7529	0.6932	0.8171	0.7181	1.0	False	False	False
64000000	4	32	3.0	0.64	0.88	-0.24	-0.3	-0.18	0.7273	0.6703	0.7882	0.6842	1.0	False	False	False
64000000	4	64	4.0	0.64	0.87	-0.23	-0.29	-0.17	0.7356	0.6778	0.7976	0.6954	1.0	False	False	False
64000000	8	16	1.0	0.8	0.85	-0.05	-0.11	0.01	0.9412	0.875	1.0122	0.9394	0.836457	False	True	False
64000000	8	32	2.0	0.8	0.88	-0.08	-0.14	-0.02	0.9091	0.8462	0.9765	0.9048	0.975002	False	True	False
64000000	8	64	3.0	0.8	0.87	-0.07	-0.13	-0.01	0.9195	0.8556	0.9881	0.9162	0.948801	False	True	False
64000000	16	32	1.0	0.85	0.88	-0.03	-0.09	0.03	0.9659	0.9011	1.0353	0.9653	0.62804	False	True	False
64000000	16	64	2.0	0.85	0.87	-0.02	-0.08	0.04	0.977	0.9111	1.0476	0.9767	0.5	False	True	True
64000000	32	64	1.0	0.88	0.87	0.01	-0.05	0.07	1.0115	0.9444	1.0833	0.9886	0.37196	False	True	True
