pair	source	n_budgets	T_max_M	R_min	R_max	R_inf_exp	Tau_M	T_star_M	T_star_lo_M	T_star_hi_M	T_star_below_max_T	AIC_exp	AIC_sig	delta_AIC_sig_minus_exp	R_inf_sig	R_max_sig	T0_sig_M	k_sig_M
G=4 vs G=32	iter31_iso_token	4	64.0	0.7273	0.9762	0.7273	6.634602853320922	0.6112123834312897	0.32241398138681504	3.450321144293929	True	-26.251024577325847	-9.73935031779645	16.511674259529396	0.7273	0.9762	64.0	100.0
G=4 vs G=8	iter35_pair_sweep	4	64.0	0.8	0.8542	0.8	8.568892897373686	1.0953904691783853	0.5556987889997004	116.37657726694569	True	-16.025851611640626	-22.100528160569755	-6.07467654892913	0.8	0.8542	64.0	100.0
G=4 vs G=16	iter35_pair_sweep	4	64.0	0.7529	0.8723	0.7529	8.154420394542717	0.8331616892047282	0.40056159288959536	11.870484082867014	True	-16.87043819870688	-15.751043861397466	1.1193943373094122	0.7529	0.8723	64.0	100.0
G=4 vs G=32	iter35_pair_sweep	4	64.0	0.7273	0.9762	0.7273	6.634602853320922	0.6112123834312897	0.3182068315610201	3.251854302268834	True	-26.251024577325847	-9.73935031779645	16.511674259529396	0.7273	0.9762	64.0	100.0
G=4 vs G=64	iter35_pair_sweep	4	64.0	0.7356	1.1714	0.7356	7.41225322127236	0.7053419024648219	0.39892773704305634	101.28870477018938	True	-13.877582478504593	-5.272379485618485	8.605202992886108	0.7356	1.1714	64.0	100.0
G=8 vs G=16	iter35_pair_sweep	4	64.0	0.9412	1.0213	0.9412	7.9949672477963505	4.193555943320408	2.036188219733579	166.46604687298682	True	-29.900101224841137	-18.932942196458622	10.967159028382515	0.9412	1.0213	64.0	100.0
G=8 vs G=32	iter35_pair_sweep	4	64.0	0.9091	1.1429	0.9091	6.304346140274241	1.9326668717668742	1.0974402045601563	464.4877199623835	True	-15.859774756469168	-10.191343058142667	5.668431698326501	0.9091	1.1429	64.0	100.0
G=8 vs G=64	iter35_pair_sweep	4	64.0	0.9195	1.3714	0.9195	7.446369411807354	2.636137981434418	0.0	425.5762454683141	True	-8.332315337361443	-4.939713152137667	3.392602185223776	0.9195	1.3714	64.0	100.0
G=16 vs G=32	iter35_pair_sweep	4	64.0	0.9659	1.119	0.9659	5.643064093737502	6.866265729597357	0.0	1229.2734233581152	True	-17.289565901641698	-13.439239330505767	3.8503265711359305	0.9659	1.119	64.0	100.0
G=16 vs G=64	iter35_pair_sweep	4	64.0	0.977	1.3429	0.977	7.566204514416241	0.0	0.0	743.893935499177	True	-8.84450018544337	-6.535891727090691	2.308608458352678	0.977	1.3429	52.54545454545455	100.0
G=32 vs G=64	iter35_pair_sweep	4	64.0	1.0115	1.2	1.0115	9.620510330767052	0.0	0.0	1451.280756649563	True	-12.855568498215472	-11.830265825812166	1.0253026724033063	1.0115	1.2	35.36363636363637	100.0
