T_tokens	G	acc_observed	acc_predicted_additive	intercept_term	signal_component_pp	noise_component_pp	batch_component_pp	residual_pp
1000000	4	0.41	0.5132	0.8833	1.93	-12.62	-26.315	-10.32
1000000	8	0.48	0.5442	0.8833	0.106	-7.692	-26.315	-6.425
1000000	16	0.47	0.578	0.8833	0.0	-4.207	-26.315	-10.804
1000000	32	0.42	0.6027	0.8833	0.0	-1.743	-26.315	-18.268
1000000	64	0.35	0.6201	0.8833	0.0	-0.0	-26.315	-27.01
4000000	4	0.55	0.5236	0.8833	1.712	-12.62	-25.062	2.645
4000000	8	0.67	0.561	0.8833	0.526	-7.692	-25.062	10.902
4000000	16	0.69	0.5909	0.8833	0.034	-4.207	-25.062	9.91
4000000	32	0.66	0.6152	0.8833	0.0	-1.743	-25.062	4.479
4000000	64	0.58	0.6326	0.8833	0.0	-0.0	-25.062	-5.264
16000000	4	0.63	0.5793	0.8833	2.278	-12.62	-20.05	5.067
16000000	8	0.78	0.6235	0.8833	1.77	-7.692	-20.05	15.646
16000000	16	0.82	0.6461	0.8833	0.54	-4.207	-20.05	17.391
16000000	32	0.84	0.6658	0.8833	0.049	-1.743	-20.05	17.417
16000000	64	0.8	0.6828	0.8833	0.0	-0.0	-20.05	11.724
64000000	4	0.64	0.7809	0.8833	2.384	-12.62	-0.0	-14.089
64000000	8	0.8	0.828	0.8833	2.167	-7.692	-0.0	-2.801
64000000	16	0.85	0.8508	0.8833	0.959	-4.207	-0.0	-0.077
64000000	32	0.88	0.868	0.8833	0.215	-1.743	-0.0	1.203
64000000	64	0.87	0.8833	0.8833	0.0	-0.0	-0.0	-1.325
