T_tokens	G	acc	noise_penalty_rel_G64	batch_penalty_rel_T64	T_T64_ratio	G_G64_ratio
1000000	4	0.41	3.0	0.9844	0.0156	0.0625
1000000	8	0.48	1.8284	0.9844	0.0156	0.125
1000000	16	0.47	1.0	0.9844	0.0156	0.25
1000000	32	0.42	0.4142	0.9844	0.0156	0.5
1000000	64	0.35	0.0	0.9844	0.0156	1.0
4000000	4	0.55	3.0	0.9375	0.0625	0.0625
4000000	8	0.67	1.8284	0.9375	0.0625	0.125
4000000	16	0.69	1.0	0.9375	0.0625	0.25
4000000	32	0.66	0.4142	0.9375	0.0625	0.5
4000000	64	0.58	0.0	0.9375	0.0625	1.0
16000000	4	0.63	3.0	0.75	0.25	0.0625
16000000	8	0.78	1.8284	0.75	0.25	0.125
16000000	16	0.82	1.0	0.75	0.25	0.25
16000000	32	0.84	0.4142	0.75	0.25	0.5
16000000	64	0.8	0.0	0.75	0.25	1.0
64000000	4	0.64	3.0	0.0	1.0	0.0625
64000000	8	0.8	1.8284	0.0	1.0	0.125
64000000	16	0.85	1.0	0.0	1.0	0.25
64000000	32	0.88	0.4142	0.0	1.0	0.5
64000000	64	0.87	0.0	0.0	1.0	1.0
