g_small	g_large	T_tokens	log10T	acc_small	acc_large	R	R_lo	R_hi	gu_small	gu_large
4	8	1000000	6.0000	0.4100	0.4800	0.8542	0.7720	0.9364	1.7223	1.1172
4	8	4000000	6.6021	0.5500	0.6700	0.8209	0.7630	0.8788	2.1287	1.4574
4	8	16000000	7.2041	0.6300	0.7800	0.8077	0.7583	0.8571	2.3311	1.6060
4	8	64000000	7.8062	0.6400	0.8000	0.8000	0.7520	0.8480	2.4177	1.6615
4	16	1000000	6.0000	0.4100	0.4700	0.8723	0.7876	0.9570	1.7223	0.6563
4	16	4000000	6.6021	0.5500	0.6900	0.7971	0.7415	0.8527	2.1287	0.8661
4	16	16000000	7.2041	0.6300	0.8200	0.7683	0.7222	0.8144	2.3311	0.9587
4	16	64000000	7.8062	0.6400	0.8500	0.7529	0.7088	0.7971	2.4177	0.9924
4	32	1000000	6.0000	0.4100	0.4200	0.9762	0.8764	1.0760	1.7223	0.3424
4	32	4000000	6.6021	0.5500	0.6600	0.8333	0.7742	0.8925	2.1287	0.4759
4	32	16000000	7.2041	0.6300	0.8400	0.7500	0.7054	0.7946	2.3311	0.5593
4	32	64000000	7.8062	0.6400	0.8800	0.7273	0.6851	0.7694	2.4177	0.5819
4	64	1000000	6.0000	0.4100	0.3500	1.1714	1.0394	1.3034	1.7223	0.1712
4	64	4000000	6.6021	0.5500	0.5800	0.9483	0.8770	1.0196	2.1287	0.2462
4	64	16000000	7.2041	0.6300	0.8000	0.7875	0.7398	0.8352	2.3311	0.2934
4	64	64000000	7.8062	0.6400	0.8700	0.7356	0.6928	0.7784	2.4177	0.3180
8	16	1000000	6.0000	0.4800	0.4700	1.0213	0.9300	1.1125	1.1172	0.6563
8	16	4000000	6.6021	0.6700	0.6900	0.9710	0.9104	1.0316	1.4574	0.8661
8	16	16000000	7.2041	0.7800	0.8200	0.9512	0.9007	1.0017	1.6060	0.9587
8	16	64000000	7.8062	0.8000	0.8500	0.9412	0.8927	0.9896	1.6615	0.9924
8	32	1000000	6.0000	0.4800	0.4200	1.1429	1.0344	1.2513	1.1172	0.3424
8	32	4000000	6.6021	0.6700	0.6600	1.0152	0.9504	1.0799	1.4574	0.4759
8	32	16000000	7.2041	0.7800	0.8400	0.9286	0.8798	0.9773	1.6060	0.5593
8	32	64000000	7.8062	0.8000	0.8800	0.9091	0.8630	0.9552	1.6615	0.5819
8	64	1000000	6.0000	0.4800	0.3500	1.3714	1.2259	1.5169	1.1172	0.1712
8	64	4000000	6.6021	0.6700	0.5800	1.1552	1.0761	1.2342	1.4574	0.2462
8	64	16000000	7.2041	0.7800	0.8000	0.9750	0.9226	1.0274	1.6060	0.2934
8	64	64000000	7.8062	0.8000	0.8700	0.9195	0.8727	0.9664	1.6615	0.3180
16	32	1000000	6.0000	0.4700	0.4200	1.1190	1.0119	1.2262	0.6563	0.3424
16	32	4000000	6.6021	0.6900	0.6600	1.0455	0.9797	1.1112	0.8661	0.4759
16	32	16000000	7.2041	0.8200	0.8400	0.9762	0.9263	1.0261	0.9587	0.5593
16	32	64000000	7.8062	0.8500	0.8800	0.9659	0.9185	1.0133	0.9924	0.5819
16	64	1000000	6.0000	0.4700	0.3500	1.3429	1.1993	1.4864	0.6563	0.1712
16	64	4000000	6.6021	0.6900	0.5800	1.1897	1.1093	1.2700	0.8661	0.2462
16	64	16000000	7.2041	0.8200	0.8000	1.0250	0.9713	1.0787	0.9587	0.2934
16	64	64000000	7.8062	0.8500	0.8700	0.9770	0.9288	1.0252	0.9924	0.3180
32	64	1000000	6.0000	0.4200	0.3500	1.2000	1.0661	1.3339	0.3424	0.1712
32	64	4000000	6.6021	0.6600	0.5800	1.1379	1.0596	1.2163	0.4759	0.2462
32	64	16000000	7.2041	0.8400	0.8000	1.0500	0.9956	1.1044	0.5593	0.2934
32	64	64000000	7.8062	0.8800	0.8700	1.0115	0.9624	1.0605	0.5819	0.3180
