task	algo	decile	n_points	len_min	len_max	mean_len	mean_reward
arithmetic_easy_qwen2.5-0.5b	grpo	1	20	4.1406	4.3438	4.2898	0.966
arithmetic_easy_qwen2.5-0.5b	grpo	2	20	4.3672	4.4375	4.391	0.9801
arithmetic_easy_qwen2.5-0.5b	grpo	3	20	4.4375	4.4531	4.441	0.9727
arithmetic_easy_qwen2.5-0.5b	grpo	4	20	4.4531	4.5	4.4867	0.9883
arithmetic_easy_qwen2.5-0.5b	grpo	5	20	4.5	4.5625	4.5289	0.984
arithmetic_easy_qwen2.5-0.5b	grpo	6	20	4.5625	4.6172	4.5762	0.9723
arithmetic_easy_qwen2.5-0.5b	grpo	7	20	4.6172	4.6562	4.6289	0.9758
arithmetic_easy_qwen2.5-0.5b	grpo	8	20	4.6641	4.75	4.6937	0.9824
arithmetic_easy_qwen2.5-0.5b	grpo	9	20	4.75	5.375	4.9305	0.9043
arithmetic_easy_qwen2.5-0.5b	grpo	10	20	5.5234	7.9531	6.4555	0.4758
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1	20	4.1328	4.3203	4.2691	0.9437
arithmetic_easy_qwen2.5-0.5b	dr_grpo	2	20	4.3359	4.3906	4.3676	0.948
arithmetic_easy_qwen2.5-0.5b	dr_grpo	3	20	4.3984	4.4375	4.4277	0.9812
arithmetic_easy_qwen2.5-0.5b	dr_grpo	4	20	4.4375	4.5	4.4805	0.9586
arithmetic_easy_qwen2.5-0.5b	dr_grpo	5	20	4.5	4.5547	4.5195	0.9668
arithmetic_easy_qwen2.5-0.5b	dr_grpo	6	20	4.5625	4.5859	4.566	0.9734
arithmetic_easy_qwen2.5-0.5b	dr_grpo	7	20	4.5938	4.625	4.6188	0.9816
arithmetic_easy_qwen2.5-0.5b	dr_grpo	8	20	4.625	4.7031	4.6672	0.9828
arithmetic_easy_qwen2.5-0.5b	dr_grpo	9	20	4.7266	5.2422	4.8777	0.893
arithmetic_easy_qwen2.5-0.5b	dr_grpo	10	20	5.4062	7.7266	6.3379	0.4387
gsm8k_cot_hard_qwen2.5-1.5b	grpo	1	9	152.9844	179.5938	173.3247	0.3507
gsm8k_cot_hard_qwen2.5-1.5b	grpo	2	9	181.7188	184.4844	182.9844	0.3108
gsm8k_cot_hard_qwen2.5-1.5b	grpo	3	9	185.6094	187.4219	186.2396	0.283
gsm8k_cot_hard_qwen2.5-1.5b	grpo	4	9	187.6562	189.8438	188.6667	0.3681
gsm8k_cot_hard_qwen2.5-1.5b	grpo	5	9	189.9844	190.9844	190.5295	0.2969
gsm8k_cot_hard_qwen2.5-1.5b	grpo	6	9	191.0	192.0156	191.4184	0.2535
gsm8k_cot_hard_qwen2.5-1.5b	grpo	7	9	192.2031	193.75	192.941	0.2552
gsm8k_cot_hard_qwen2.5-1.5b	grpo	8	9	194.0938	195.2031	194.5278	0.2326
gsm8k_cot_hard_qwen2.5-1.5b	grpo	9	9	195.2188	195.9531	195.5538	0.2135
gsm8k_cot_hard_qwen2.5-1.5b	grpo	10	9	196.0625	198.2812	196.9878	0.1528
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	1	9	177.8594	183.4219	181.5417	0.3594
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	2	9	183.875	187.1875	185.5851	0.3438
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	3	9	187.2188	189.2188	188.3194	0.2934
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	4	9	189.4531	190.5	189.9878	0.25
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	5	9	190.6094	191.75	191.2882	0.276
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	6	9	191.8438	192.8125	192.3472	0.3038
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	7	9	192.9844	194.6406	193.8003	0.25
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	8	9	194.7188	195.6406	195.1701	0.2049
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	9	9	195.7344	196.9219	196.3003	0.1615
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	10	9	197.0156	199.0312	197.9653	0.1597
