task	algo	seed	model	win	n_windows	mean_rho_all	mean_rho_early	mean_rho_mid	mean_rho_late	frac_late_nonneg
arithmetic_easy_qwen2.5-0.5b	grpo	42	Qwen/Qwen2.5-0.5B	8	33	-0.0092	-0.154	0.2601	-0.1336	0.3636
arithmetic_easy_qwen2.5-0.5b	grpo	42	Qwen/Qwen2.5-0.5B	10	31	0.017	-0.1646	0.2719	-0.0497	0.4545
arithmetic_easy_qwen2.5-0.5b	grpo	42	Qwen/Qwen2.5-0.5B	12	29	0.0481	-0.1824	0.361	-0.0193	0.4545
arithmetic_easy_qwen2.5-0.5b	grpo	123	Qwen/Qwen2.5-0.5B	8	33	-0.1997	-0.2949	-0.2646	-0.0395	0.3636
arithmetic_easy_qwen2.5-0.5b	grpo	123	Qwen/Qwen2.5-0.5B	10	31	-0.179	-0.3332	-0.2139	-0.0069	0.4545
arithmetic_easy_qwen2.5-0.5b	grpo	123	Qwen/Qwen2.5-0.5B	12	29	-0.1723	-0.39	-0.2073	0.0344	0.4545
arithmetic_easy_qwen2.5-0.5b	grpo	456	Qwen/Qwen2.5-0.5B	8	33	0.1242	-0.084	0.3991	0.0576	0.8182
arithmetic_easy_qwen2.5-0.5b	grpo	456	Qwen/Qwen2.5-0.5B	10	31	0.1074	-0.0734	0.3781	0.0255	0.6364
arithmetic_easy_qwen2.5-0.5b	grpo	456	Qwen/Qwen2.5-0.5B	12	29	0.0982	-0.0825	0.3361	0.0514	0.4545
arithmetic_easy_qwen2.5-0.5b	grpo	789	Qwen/Qwen2.5-0.5B	8	29	-0.301	-0.5904	-0.4447	0.0533	0.6364
arithmetic_easy_qwen2.5-0.5b	grpo	789	Qwen/Qwen2.5-0.5B	10	29	-0.29	-0.601	-0.3974	0.0523	0.5455
arithmetic_easy_qwen2.5-0.5b	grpo	789	Qwen/Qwen2.5-0.5B	12	29	-0.2743	-0.6023	-0.3345	0.0433	0.5455
arithmetic_easy_qwen2.5-0.5b	grpo	1024	Qwen/Qwen2.5-0.5B	8	33	-0.245	-0.4692	-0.3288	0.063	0.7273
arithmetic_easy_qwen2.5-0.5b	grpo	1024	Qwen/Qwen2.5-0.5B	10	31	-0.273	-0.4752	-0.3303	-0.037	0.5455
