task	algo	seed	n_steps	a_R	b_R	lam_R	t80_R	R_ident	a_L	b_L	lam_L	t80_L	L_ident	lam_ratio	resid_rho
arithmetic_easy	grpo	42	40	0.1199	0.9879	0.3819	4.21	1	7.941	4.5157	0.4699	3.43	1	1.2305	0.1364
arithmetic_easy	grpo	123	40	0.2007	0.9761	0.3761	4.28	1	7.8304	4.5375	0.4894	3.29	1	1.3013	-0.2146
arithmetic_easy	grpo	456	40	0.2493	0.988	0.3322	4.84	1	7.4379	4.4648	0.4137	3.89	1	1.2455	0.0523
arithmetic_easy	grpo	789	40	0.2245	0.9903	0.3339	4.82	1	7.4364	4.5083	0.3665	4.39	1	1.0978	-0.2135
arithmetic_easy	grpo	1024	40	0.185	0.993	0.3321	4.85	1	7.2063	4.4803	0.2525	6.37	1	0.7604	-0.3377
arithmetic_easy	dr_grpo	42	40	0.1567	0.9795	0.2985	5.39	1	7.7399	4.4964	0.4592	3.51	1	1.5385	0.3013
arithmetic_easy	dr_grpo	123	40	0.1777	0.9798	0.3032	5.31	1	7.0521	4.4585	0.347	4.64	1	1.1445	-0.0133
arithmetic_easy	dr_grpo	456	40	0.2627	0.9792	0.2645	6.09	1	7.5118	4.5001	0.4611	3.49	1	1.7433	-0.1497
arithmetic_easy	dr_grpo	789	40	0.2079	0.9894	0.2665	6.04	1	7.2992	4.5159	0.3659	4.4	1	1.3731	-0.0591
arithmetic_easy	dr_grpo	1024	40	0.1858	0.9946	0.3321	4.85	1	7.4145	4.5054	0.4071	3.95	1	1.226	-0.1199
gsm8k_cot	grpo	42	30	0.2039	0.2989	0.1475	10.91	1	199.1072	-8628.4772	0.0001	16094.38	0	0.0007	-0.576
gsm8k_cot	grpo	123	30	0.3071	0.2694	0.377	4.27	1	195.8647	-4103.3595	0.0001	16094.38	0	0.0003	-0.3344
gsm8k_cot	grpo	456	30	0.1282	0.2766	0.602	2.67	1	196.9424	191.2204	0.2825	5.7	1	0.4693	-0.7406
gsm8k_cot	dr_grpo	42	30	0.2213	0.2852	0.1659	9.7	1	195.2591	-2989.4251	0.0001	16094.38	0	0.0006	-0.6512
gsm8k_cot	dr_grpo	123	30	0.3125	0.2592	10.0	0.16	0	194.184	-2577.6833	0.0001	16094.38	0	0.0	-0.6458
gsm8k_cot	dr_grpo	456	30	0.1405	0.257	0.6022	2.67	1	196.7015	192.3704	0.3353	4.8	1	0.5569	-0.7072
