task	algo	seed	regime	median_R	n_steps	slope_dL_dt	intercept	R_mean	L_mean	ZVF_mean	L_first	L_last
arithmetic_easy	grpo	42	below	0.984375	17	-0.041944	5.517339	0.815717	5.004136	0.621324	7.953125	4.4375
arithmetic_easy	grpo	42	above	0.984375	23	0.002224	4.496652	0.996264	4.55197	0.975543	4.445312	4.6875
arithmetic_easy	grpo	123	below	0.980469	20	-0.041736	5.579782	0.835156	4.974609	0.665625	7.875	4.6875
arithmetic_easy	grpo	123	above	0.980469	20	0.005666	4.386958	0.993359	4.525781	0.95625	4.46875	4.5
arithmetic_easy	grpo	456	below	0.992188	19	-0.048514	5.439836	0.839638	4.89597	0.618421	7.34375	4.3125
arithmetic_easy	grpo	456	above	0.992188	21	-0.006191	4.659714	0.997768	4.49256	0.982143	4.4375	4.375
arithmetic_easy	grpo	789	below	0.988281	20	-0.051264	5.565584	0.847656	4.968359	0.640625	7.453125	4.429688
arithmetic_easy	grpo	789	above	0.988281	20	-0.002842	4.603108	0.998047	4.525391	0.984375	4.828125	4.5
arithmetic_easy	grpo	1024	below	0.992188	19	-0.045046	5.688634	0.837582	5.088816	0.638158	7.375	4.5
arithmetic_easy	grpo	1024	above	0.992188	21	-0.003749	4.60561	0.997396	4.511533	0.979167	4.65625	4.5625
arithmetic_easy	dr_grpo	42	below	0.964844	20	-0.03157	5.351191	0.805469	4.887109	0.56875	7.726562	4.5625
arithmetic_easy	dr_grpo	42	above	0.964844	20	0.000399	4.53639	0.994141	4.546094	0.971875	4.4375	4.6875
arithmetic_easy	dr_grpo	123	below	0.964844	20	-0.055379	5.531521	0.815625	4.853125	0.5875	6.804688	4.4375
arithmetic_easy	dr_grpo	123	above	0.964844	20	0.008113	4.289234	0.990625	4.50625	0.940625	4.429688	4.5
arithmetic_easy	dr_grpo	456	below	0.976562	19	-0.080449	5.669055	0.800576	4.898438	0.513158	7.34375	4.5
arithmetic_easy	dr_grpo	456	above	0.976562	21	-0.003621	4.631002	0.994048	4.527902	0.958333	4.460938	4.40625
arithmetic_easy	dr_grpo	789	below	0.984375	18	-0.043772	5.503891	0.796875	5.019965	0.53125	7.289062	4.4375
arithmetic_easy	dr_grpo	789	above	0.984375	22	-0.000224	4.522256	0.995028	4.516335	0.96875	4.625	4.5
arithmetic_easy	dr_grpo	1024	below	0.992188	17	-0.072746	5.67416	0.821232	5.015165	0.577206	7.5	4.5
arithmetic_easy	dr_grpo	1024	above	0.992188	23	-0.003081	4.590643	0.998302	4.506793	0.986413	4.375	4.5
gsm8k_cot	grpo	42	below	0.273438	15	-0.671415	198.966972	0.182292	190.283333	0.383333	195.890625	175.359375
gsm8k_cot	grpo	42	above	0.273438	15	-1.003981	198.48688	0.369792	182.35625	0.225	192.234375	166.828125
gsm8k_cot	grpo	123	below	0.265625	15	-0.527358	198.708296	0.211458	190.235417	0.4	195.6875	176.375
gsm8k_cot	grpo	123	above	0.265625	15	-0.369498	193.817388	0.335417	189.038542	0.266667	189.84375	184.484375
gsm8k_cot	grpo	456	below	0.25	13	-0.063833	196.067527	0.164663	195.19351	0.451923	196.125	191.359375
gsm8k_cot	grpo	456	above	0.25	17	-0.139824	191.663442	0.342831	189.549632	0.301471	195.203125	191.921875
gsm8k_cot	dr_grpo	42	below	0.257812	15	-0.172838	196.045003	0.186458	193.763542	0.4	195.640625	183.421875
gsm8k_cot	dr_grpo	42	above	0.257812	15	-0.395223	193.772644	0.35625	187.528125	0.241667	190.8125	180.59375
gsm8k_cot	dr_grpo	123	below	0.265625	14	-0.253705	196.396293	0.189732	192.645089	0.392857	196.5625	190.5
gsm8k_cot	dr_grpo	123	above	0.265625	16	-0.308261	192.394672	0.323242	188.001953	0.3125	189.21875	180.640625
gsm8k_cot	dr_grpo	456	below	0.234375	14	0.077576	194.268566	0.159598	195.315848	0.473214	196.125	196.109375
gsm8k_cot	dr_grpo	456	above	0.234375	16	-0.114786	192.508005	0.326172	190.743164	0.320312	198.703125	191.75
