task	kind	metric	n_pairs	mean_grpo	mean_drgrpo	mean_diff	ci_lo	ci_hi	p_le0	interpretation
arithmetic_easy	elasticity	mean_eps	5	-0.02927267	-0.096831	-0.06755833	-0.21115849	0.0698814	0.8103	inconclusive
arithmetic_easy	elasticity	median_eps	5	-0.00451389	-0.0620344	-0.05752051	-0.10671075	-0.00251517	0.982	inconclusive
arithmetic_easy	elasticity	pos_frac	5	0.373846	0.3291092	-0.0447368	-0.1278206	0.0279622	0.859	inconclusive
arithmetic_easy	elasticity	neg_frac	5	0.4798716	0.5631784	0.0833068	0.0057158	0.163462	0.0162	Dr.GRPO more negative-elasticity steps
arithmetic_easy	curvature	L_star	5	-14.0375032	-6.5748738	7.4626294	-12.2202522	27.574617	0.2089	inconclusive
arithmetic_easy	curvature	a	5	-0.01876803	-0.03748023	-0.0187122	-0.07650051	0.02173774	0.7376	inconclusive
arithmetic_easy	curvature	R_max_fit	5	3.1336958	2.334032	-0.7996638	-3.3514304	1.6402456	0.7398	inconclusive
arithmetic_easy	curvature	R2	5	0.90587	0.8633536	-0.0425164	-0.0837404	0.0126286	0.951	inconclusive
arithmetic_easy	iso_band	width	5	0.56248	0.47812	-0.08436	-0.15312	-0.0156	0.9928	inconclusive
arithmetic_easy	iso_band	n_pts	5	22.6	20.4	-2.2	-4.4	0.4	0.9683	inconclusive
gsm8k_cot	elasticity	mean_eps	3	0.00988849	0.00552091	-0.00436758	-0.02355969	0.01688257	0.6306	inconclusive
gsm8k_cot	elasticity	median_eps	3	-0.00582065	-0.01502258	-0.00920193	-0.02646178	0.00182647	0.8395	inconclusive
gsm8k_cot	elasticity	pos_frac	3	0.411111	0.25555533	-0.15555567	-0.233333	-0.066667	1.0	Dr.GRPO fewer positive-elasticity steps
gsm8k_cot	elasticity	neg_frac	3	0.588889	0.711111	0.122222	0.066667	0.166666	0.0002	Dr.GRPO more negative-elasticity steps
gsm8k_cot	curvature	L_star	3	175.20574767	256.24380833	81.03806067	12.16922	194.766172	0.0002	Dr.GRPO optimal length L* larger
gsm8k_cot	curvature	a	3	-0.00039525	-1.489e-05	0.00038036	-0.000394	0.00112073	0.1435	inconclusive
gsm8k_cot	curvature	R_max_fit	3	0.38012033	-0.11931533	-0.49943567	-1.091914	-0.016799	1.0	inconclusive
gsm8k_cot	curvature	R2	3	0.30109933	0.43005533	0.128956	-0.018073	0.293917	0.0385	inconclusive
gsm8k_cot	iso_band	width	3	2.7448	0.0	-2.7448	-8.2344	0.0	1.0	inconclusive
gsm8k_cot	iso_band	n_pts	3	1.333333	1.0	-0.33333333	-1.0	0.0	1.0	inconclusive
