experiment	algo	seed	n_steps	n_pairs	phi	half_life	c_dR	alpha	resid_var	mean_dL	std_dL	mean_L	lc0	lc1	lc2
drgrpo_gsm8k_cot	grpo	42	24	23	-0.539761	0.000000	-25.874186	-1.418669	33.413607	-0.828776	9.005880	186.319792	-0.570133	0.420916	-0.162300
drgrpo_gsm8k_cot	drgrpo	42	24	23	-0.349894	0.000000	-18.263828	-0.471293	23.024037	-0.400391	5.861875	190.645833	-0.487234	0.152623	-0.025260
drgrpo_gsm8k_cot	grpo	123	24	23	-0.499127	0.000000	-15.438847	-0.908738	14.137826	-0.651693	5.270276	189.636979	-0.543354	0.510945	-0.241519
drgrpo_gsm8k_cot	drgrpo	123	24	23	-0.507767	0.000000	-32.065104	-0.309138	6.210933	-0.457031	6.424263	190.168750	-0.794559	0.640835	-0.165821
drgrpo_gsm8k_cot	grpo	456	24	23	-0.218271	0.000000	-35.876315	0.241494	8.786862	0.049479	7.852700	191.995313	-0.908450	0.686757	-0.246108
drgrpo_gsm8k_cot	drgrpo	456	24	23	-0.320624	0.000000	-30.067326	0.138270	9.725625	-0.038411	7.435963	192.877083	-0.858366	0.574134	-0.187171
drgrpo_vs_grpo	grpo	42	32	31	-0.526141	0.000000	0.074493	0.008589	0.031342	-0.000488	0.218749	4.744141	0.149567	0.192091	-0.284739
drgrpo_vs_grpo	drgrpo	42	32	31	-0.509267	0.000000	0.372368	0.014028	0.032514	0.007324	0.213585	4.716602	0.231290	0.055582	-0.038313
drgrpo_vs_grpo	grpo	123	32	31	-0.293064	0.000000	-0.786872	0.003570	0.032563	0.001953	0.189775	4.750195	-0.179254	-0.092610	0.321196
drgrpo_vs_grpo	drgrpo	123	32	31	-0.017678	0.000000	0.705303	0.003186	0.019425	0.007812	0.141407	4.679688	0.232503	-0.009017	-0.246958
drgrpo_vs_grpo	grpo	456	32	31	-0.647573	0.000000	2.014549	-0.009688	0.024200	-0.002197	0.234528	4.684180	0.395531	-0.551444	0.637721
drgrpo_vs_grpo	drgrpo	456	32	31	-0.636651	0.000000	-0.087764	-0.008214	0.037214	-0.001465	0.243614	4.703906	0.062902	-0.139698	0.340825
drgrpo_vs_grpo	grpo	789	32	31	-0.361691	0.000000	0.130095	-0.007725	0.024086	-0.012939	0.172955	4.746875	-0.030577	-0.158587	0.376047
drgrpo_vs_grpo	drgrpo	789	32	31	-0.408775	0.000000	-0.311930	-0.007221	0.021295	-0.010742	0.165130	4.742969	-0.171672	-0.100615	0.287023
drgrpo_vs_grpo	grpo	1024	32	31	-0.295692	0.000000	-0.508867	-0.005711	0.020196	-0.010742	0.154536	4.785742	-0.170159	0.124000	-0.033844
drgrpo_vs_grpo	drgrpo	1024	32	31	-0.289565	0.000000	-0.724263	-0.004629	0.023647	-0.009766	0.164655	4.722852	-0.220010	0.087199	0.010854
