task	algo	seed	direction	F	p	r2
arithmetic	grpo	42	L_to_R	1.7518	0.1892	0.0960
arithmetic	grpo	42	R_to_L	1.3625	0.2700	0.0763
arithmetic	grpo	123	L_to_R	0.0853	0.9184	0.0051
arithmetic	grpo	123	R_to_L	3.1364	0.0566	0.1597
arithmetic	grpo	456	L_to_R	0.0450	0.9560	0.0027
arithmetic	grpo	456	R_to_L	2.9280	0.0675	0.1507
arithmetic	grpo	789	L_to_R	0.6916	0.5079	0.0402
arithmetic	grpo	789	R_to_L	1.8951	0.1663	0.1030
arithmetic	grpo	1024	L_to_R	3.1666	0.0552	0.1610
arithmetic	grpo	1024	R_to_L	1.0890	0.3484	0.0619
arithmetic	dr_grpo	42	L_to_R	0.4731	0.6273	0.0279
arithmetic	dr_grpo	42	R_to_L	5.4529	0.0090	0.2484
arithmetic	dr_grpo	123	L_to_R	1.3785	0.2661	0.0771
arithmetic	dr_grpo	123	R_to_L	4.5192	0.0184	0.2150
arithmetic	dr_grpo	456	L_to_R	0.2893	0.7507	0.0172
arithmetic	dr_grpo	456	R_to_L	4.8463	0.0143	0.2270
arithmetic	dr_grpo	789	L_to_R	3.8356	0.0318	0.1886
arithmetic	dr_grpo	789	R_to_L	0.5182	0.6004	0.0305
arithmetic	dr_grpo	1024	L_to_R	1.0676	0.3554	0.0608
arithmetic	dr_grpo	1024	R_to_L	0.9392	0.4011	0.0539
gsm8k_cot	grpo	42	L_to_R	0.1409	0.8693	0.0121
gsm8k_cot	grpo	42	R_to_L	15.8667	4.677e-05	0.5798
gsm8k_cot	grpo	123	L_to_R	0.4271	0.6575	0.0358
gsm8k_cot	grpo	123	R_to_L	8.5254	0.0017	0.4257
gsm8k_cot	grpo	456	L_to_R	1.1105	0.3464	0.0881
gsm8k_cot	grpo	456	R_to_L	1.3794	0.2718	0.1071
gsm8k_cot	dr_grpo	42	L_to_R	1.3595	0.2767	0.1057
gsm8k_cot	dr_grpo	42	R_to_L	6.1192	0.0074	0.3473
gsm8k_cot	dr_grpo	123	L_to_R	1.1089	0.3469	0.0879
gsm8k_cot	dr_grpo	123	R_to_L	7.6489	0.0028	0.3994
gsm8k_cot	dr_grpo	456	L_to_R	1.2314	0.3104	0.0967
gsm8k_cot	dr_grpo	456	R_to_L	1.2345	0.3095	0.0969
