task	algo	seed	n	hurst_L	hurst_R	coh_vlow	coh_low	coh_mid	coh_high	F_lr	F_rl	p_lr	p_rl	r2_lr	r2_rl	spearman_rho	spearman_p	L_mean	L_std	R_mean	R_std	last10_acc
arithmetic	grpo	42	40	0.6839	0.7176	0.9060	0.7421	0.2680	0.0112	1.7518	1.3625	0.1892	0.2700	0.0960	0.0763	-0.2809	0.0791	4.7441	0.6724	0.9195	0.1776	0.9789
arithmetic	grpo	123	40	0.6812	0.6306	0.9253	0.8334	0.4685	0.1825	0.0853	3.1364	0.9184	0.0566	0.0051	0.1597	-0.3635	0.0211	4.7502	0.6533	0.9143	0.1621	0.9859
arithmetic	grpo	456	40	0.6305	0.8017	0.8846	0.8460	0.0725	0.0886	0.0450	2.9280	0.9560	0.0675	0.0027	0.1507	-0.2909	0.0686	4.6842	0.6168	0.9227	0.1569	0.9898
arithmetic	grpo	789	40	0.7719	0.7673	0.9042	0.8941	0.5219	0.1096	0.6916	1.8951	0.5079	0.1663	0.0402	0.1030	-0.5250	5.053e-04	4.7469	0.6142	0.9229	0.1624	0.9945
arithmetic	grpo	1024	40	0.9355	0.9257	0.7884	0.7203	0.2689	0.2593	3.1666	1.0890	0.0552	0.3484	0.1610	0.0619	-0.6354	1.061e-05	4.7857	0.6366	0.9215	0.1710	0.9914
arithmetic	dr_grpo	42	40	0.6887	0.7582	0.7836	0.5675	0.0382	0.1469	0.4731	5.4529	0.6273	0.0090	0.0279	0.2484	-0.1104	0.4977	4.7166	0.6447	0.8998	0.1806	0.9711
arithmetic	dr_grpo	123	40	0.7405	0.7849	0.8679	0.8099	0.4079	0.2585	1.3785	4.5192	0.2661	0.0184	0.0771	0.2150	-0.1098	0.5000	4.6797	0.5785	0.9031	0.1749	0.9875
arithmetic	dr_grpo	456	40	0.5864	0.7437	0.9720	0.8320	0.4157	0.0473	0.2893	4.8463	0.7507	0.0143	0.0172	0.2270	-0.2981	0.0617	4.7039	0.6178	0.9021	0.1634	0.9914
arithmetic	dr_grpo	789	40	0.7312	0.8464	0.8342	0.7668	0.0086	0.1892	3.8356	0.5182	0.0318	0.6004	0.1886	0.0305	-0.4511	0.0035	4.7430	0.5883	0.9059	0.1766	0.9922
arithmetic	dr_grpo	1024	40	0.7507	0.8709	0.9321	0.7682	0.4337	0.0453	1.0676	0.9392	0.3554	0.4011	0.0608	0.0539	-0.4947	0.0012	4.7229	0.5984	0.9230	0.1703	0.9984
gsm8k_cot	grpo	42	30	0.5008	0.2679	0.1165	0.5726	0.4564	0.2982	0.1409	15.8667	0.8693	4.677e-05	0.0121	0.5798	-0.5070	0.0042	186.3198	9.6724	0.2760	0.1096	0.2734
gsm8k_cot	grpo	123	30	0.4295	0.2591	4.072e-05	0.1619	0.1759	0.5014	0.4271	8.5254	0.6575	0.0017	0.0358	0.4257	-0.2407	0.2001	189.6370	5.0602	0.2734	0.0842	0.2625
gsm8k_cot	grpo	456	30	0.3207	0.3828	0.4638	0.5694	0.5788	0.7558	1.1105	1.3794	0.3464	0.2718	0.0881	0.1071	-0.7563	1.335e-06	191.9953	4.4830	0.2656	0.1105	0.2578
gsm8k_cot	dr_grpo	42	30	0.5100	0.2977	0.8327	0.8491	0.4738	0.0270	1.3595	6.1192	0.2767	0.0074	0.1057	0.3473	-0.6079	3.667e-04	190.6458	5.4310	0.2714	0.1001	0.2562
gsm8k_cot	dr_grpo	123	30	0.3931	0.1548	0.6287	0.5661	0.7284	0.7433	1.1089	7.6489	0.3469	0.0028	0.0879	0.3994	-0.5054	0.0044	190.1687	4.4475	0.2609	0.0846	0.2641
gsm8k_cot	dr_grpo	456	30	0.3824	0.3916	0.3778	0.6996	0.5274	0.5637	1.2314	1.2345	0.3104	0.3095	0.0967	0.0969	-0.7410	2.817e-06	192.8771	4.1611	0.2484	0.1087	0.2359
