task	algo	key	n_seeds	mean	std
arithmetic_easy	grpo	partial_spear_rho	5	-0.231670	0.106888
arithmetic_easy	grpo	q10	5	-0.269856	0.029404
arithmetic_easy	grpo	q25	5	-0.244641	0.018963
arithmetic_easy	grpo	q50	5	-0.244242	0.024574
arithmetic_easy	grpo	q75	5	-0.236227	0.024014
arithmetic_easy	grpo	q90	5	-0.139813	0.115121
arithmetic_easy	grpo	iqr_q	5	0.008414	0.039596
arithmetic_easy	grpo	tail_ratio	5	0.571021	0.478502
arithmetic_easy	grpo	monotone_q	5	0.420000	0.661060
arithmetic_easy	dr_grpo	partial_spear_rho	5	-0.148856	0.079928
arithmetic_easy	dr_grpo	q10	5	-0.276229	0.043851
arithmetic_easy	dr_grpo	q25	5	-0.265032	0.028028
arithmetic_easy	dr_grpo	q50	5	-0.257403	0.016004
arithmetic_easy	dr_grpo	q75	5	-0.256844	0.018855
arithmetic_easy	dr_grpo	q90	5	-0.133792	0.132263
arithmetic_easy	dr_grpo	iqr_q	5	0.008188	0.038345
arithmetic_easy	dr_grpo	tail_ratio	5	0.511496	0.503475
arithmetic_easy	dr_grpo	monotone_q	5	0.460000	0.477493
gsm8k_cot	grpo	partial_spear_rho	3	-0.654727	0.160569
gsm8k_cot	grpo	q10	3	-0.008779	0.006667
gsm8k_cot	grpo	q25	3	-0.008718	0.010869
gsm8k_cot	grpo	q50	3	-0.008862	0.007938
gsm8k_cot	grpo	q75	3	-0.011058	0.008413
gsm8k_cot	grpo	q90	3	-0.006963	0.001737
gsm8k_cot	grpo	iqr_q	3	-0.002340	0.007556
gsm8k_cot	grpo	tail_ratio	3	1.215831	0.729808
gsm8k_cot	grpo	monotone_q	3	0.033333	0.737111
gsm8k_cot	dr_grpo	partial_spear_rho	3	-0.680089	0.068308
gsm8k_cot	dr_grpo	q10	3	-0.011985	0.009441
gsm8k_cot	dr_grpo	q25	3	-0.014889	0.008051
gsm8k_cot	dr_grpo	q50	3	-0.015048	0.005556
gsm8k_cot	dr_grpo	q75	3	-0.016343	0.007239
gsm8k_cot	dr_grpo	q90	3	-0.014475	0.003229
gsm8k_cot	dr_grpo	iqr_q	3	-0.001454	0.005076
gsm8k_cot	dr_grpo	tail_ratio	3	1.017825	0.325570
gsm8k_cot	dr_grpo	monotone_q	3	-0.266667	0.665833
