test	key	metric	n	mean	ci_lo	ci_hi	sig
T1	('arithmetic_qwen2.5-0.5b', 'dr_grpo')	rho_len_zvf	5	-0.2913	-0.4284	-0.1391	yes
T1	('arithmetic_qwen2.5-0.5b', 'grpo')	rho_len_zvf	5	-0.4494	-0.5845	-0.3244	yes
T1	('gsm8k_cot_qwen2.5-1.5b', 'dr_grpo')	rho_len_zvf	3	0.1875	0.1480	0.2251	yes
T1	('gsm8k_cot_qwen2.5-1.5b', 'grpo')	rho_len_zvf	3	0.2862	0.2307	0.3484	yes
T2	arithmetic_qwen2.5-0.5b	delta_rho	5	0.1581	0.0750	0.2391	yes
T2	gsm8k_cot_qwen2.5-1.5b	delta_rho	3	-0.0987	-0.1316	-0.0414	yes
T3	('arithmetic_qwen2.5-0.5b', 'dr_grpo', 'L1')	zvf	5	0.8512	0.8259	0.8765	-
T3	('arithmetic_qwen2.5-0.5b', 'dr_grpo', 'L2')	zvf	5	0.8815	0.8423	0.9206	-
T3	('arithmetic_qwen2.5-0.5b', 'dr_grpo', 'L3')	zvf	5	0.6180	0.5908	0.6351	-
T3	('arithmetic_qwen2.5-0.5b', 'grpo', 'L1')	zvf	5	0.9190	0.8938	0.9483	-
T3	('arithmetic_qwen2.5-0.5b', 'grpo', 'L2')	zvf	5	0.9428	0.9197	0.9587	-
T3	('arithmetic_qwen2.5-0.5b', 'grpo', 'L3')	zvf	5	0.6197	0.6029	0.6381	-
T3	('gsm8k_cot_qwen2.5-1.5b', 'dr_grpo', 'L1')	zvf	3	0.3333	0.3125	0.3625	-
T3	('gsm8k_cot_qwen2.5-1.5b', 'dr_grpo', 'L2')	zvf	3	0.3208	0.2750	0.3750	-
T3	('gsm8k_cot_qwen2.5-1.5b', 'dr_grpo', 'L3')	zvf	3	0.4083	0.3750	0.4375	-
T3	('gsm8k_cot_qwen2.5-1.5b', 'grpo', 'L1')	zvf	3	0.3042	0.2750	0.3375	-
T3	('gsm8k_cot_qwen2.5-1.5b', 'grpo', 'L2')	zvf	3	0.2875	0.2625	0.3000	-
T3	('gsm8k_cot_qwen2.5-1.5b', 'grpo', 'L3')	zvf	3	0.4125	0.3750	0.4625	-
