task	algo	seed	model	n_steps	rho_step_len	rho_step_zvf	rho_step_rew	rho_len_zvf	rho_len_zvf_p	rho_len_rew	rho_zvf_rew	len_first5	len_last5	zvf_first5	zvf_last5	rew_first5	rew_last5
arithmetic_qwen2.5-0.5b	grpo	42	Qwen/Qwen2.5-0.5B	40	-0.2797447262005669	0.6955295868932587	0.6236378270551521	-0.28680882568808425	0.07276106932843168	-0.28090762921551166	0.9213195037124303	6.171875	4.596875	0.1875	0.9875	0.528125	0.9765625
arithmetic_qwen2.5-0.5b	grpo	123	Qwen/Qwen2.5-0.5B	40	-0.19899527968448275	0.7373352845822214	0.6639478397377717	-0.3748928564908488	0.01714885688247328	-0.36350066002009496	0.8806147414002695	6.0625	4.55	0.225	0.9875	0.5609375	0.9984375
arithmetic_qwen2.5-0.5b	grpo	456	Qwen/Qwen2.5-0.5B	40	-0.38918772317351263	0.7687362014886325	0.7986768411112815	-0.33674994741527503	0.033607186112294046	-0.29089145821935475	0.9269889983068631	6.0453125	4.45	0.0875	0.9875	0.559375	0.9984375
arithmetic_qwen2.5-0.5b	grpo	789	Qwen/Qwen2.5-0.5B	40	-0.520068688670252	0.8557204738214493	0.7951298213160801	-0.5550619763289317	0.0002013652619039433	-0.5249774180632587	0.949763805040992	6.1671875	4.4859375	0.1375	0.9875	0.5484375	0.9890625
arithmetic_qwen2.5-0.5b	grpo	1024	Qwen/Qwen2.5-0.5B	40	-0.6349385903784017	0.6883894257842501	0.6653414200391655	-0.6934914191701557	7.020813786622158e-07	-0.6353529106766506	0.9105770825369481	6.2625	4.5	0.1125	0.9625	0.509375	0.9859375
arithmetic_qwen2.5-0.5b	dr_grpo	42	Qwen/Qwen2.5-0.5B	40	-0.1775379076298555	0.6660073655747593	0.6265991447777792	-0.10153127124630267	0.5330268549268932	-0.11040366331996385	0.9668639065032765	6.1125	4.575	0.075	0.9375	0.478125	0.9734375
arithmetic_qwen2.5-0.5b	dr_grpo	123	Qwen/Qwen2.5-0.5B	40	-0.08113060894468482	0.8160627213563718	0.8203185708691104	-0.07878201419006159	0.6289440933845933	-0.1097953802413571	0.8689142381729336	5.9640625	4.5375	0.15	0.95	0.503125	0.990625
arithmetic_qwen2.5-0.5b	dr_grpo	456	Qwen/Qwen2.5-0.5B	40	-0.31000989629605785	0.7551541156411694	0.7665068402208044	-0.3350972417089409	0.0345429607057251	-0.2981341091588712	0.9834012294228535	5.99375	4.465625	0.0375	0.95	0.528125	0.9921875
arithmetic_qwen2.5-0.5b	dr_grpo	789	Qwen/Qwen2.5-0.5B	40	-0.46342253864609223	0.8378161428248316	0.7653244172204278	-0.4327765811918323	0.00528417357723739	-0.451107105770621	0.9471023875752296	6.1375	4.4875	0.0875	0.975	0.496875	0.984375
arithmetic_qwen2.5-0.5b	dr_grpo	1024	Qwen/Qwen2.5-0.5B	40	-0.5031396834195945	0.775101144421662	0.7845135668166172	-0.5085510210685245	0.0008063732223453652	-0.4946778579646554	0.9855324604583657	6.0796875	4.5	0.125	0.975	0.525	0.996875
gsm8k_cot_qwen2.5-1.5b	grpo	42	Qwen/Qwen2.5-1.5B-Instruct	30	-0.8642936596218019	-0.12267378671094106	0.18238618356595626	0.27961399429086004	0.1345322683377429	-0.5070246716735751	-0.6119906296611832	195.7375	170.134375	0.3	0.325	0.215625	0.278125
gsm8k_cot_qwen2.5-1.5b	grpo	123	Qwen/Qwen2.5-1.5B-Instruct	30	-0.7156840934371523	0.02542583371960617	-0.13344053139088616	0.2306649959967875	0.22007064780057042	-0.24068552222349435	-0.4898717070525003	193.728125	181.109375	0.35	0.275	0.2875	0.284375
gsm8k_cot_qwen2.5-1.5b	grpo	456	Qwen/Qwen2.5-1.5B-Instruct	30	-0.2849833147942158	-0.1530058158800814	0.08779956552116162	0.34837178956054843	0.05921177823299425	-0.756324176088382	-0.4068044482617545	195.384375	189.565625	0.425	0.275	0.21875	0.334375
gsm8k_cot_qwen2.5-1.5b	dr_grpo	42	Qwen/Qwen2.5-1.5B-Instruct	30	-0.44560622914349274	-0.038958847207975274	0.11331738120828444	0.14804361939030605	0.4349613749863514	-0.6078540625838093	-0.6263910457288578	192.6125	183.75625	0.375	0.375	0.221875	0.28125
gsm8k_cot_qwen2.5-1.5b	dr_grpo	123	Qwen/Qwen2.5-1.5B-Instruct	30	-0.5519466073414906	0.11856804115686466	-0.06849649517630318	0.18924389314056436	0.31654859661270257	-0.5053568780922695	-0.3995225053265175	193.290625	185.44375	0.375	0.4	0.26875	0.2875
gsm8k_cot_qwen2.5-1.5b	dr_grpo	456	Qwen/Qwen2.5-1.5B-Instruct	30	-0.06740823136818688	0.16301053045309685	0.03123968207440422	0.22512077505916347	0.2316686205612282	-0.7410498869221173	-0.5981961748174296	195.74375	191.2375	0.425	0.375	0.20625	0.309375
