dropped_method	metric	eta2_full	eta2_lomo	rel_drop
aero	zvf_risk	0.763	0.8274	0.0844
aero	mean_zvf	0.9989	0.9989	0.0
aero	lag1_zvf_rolling_w15	0.8222	0.8451	0.0278
aero	slope	0.994	0.9943	0.0004
aero	risk_mag	0.9991	0.9991	0.0
aero	risk_csd	0.7884	0.8469	0.0742
aero	risk_drift	0.9943	0.9946	0.0003
areal	zvf_risk	0.763	0.7671	0.0053
areal	mean_zvf	0.9989	0.9989	0.0
areal	lag1_zvf_rolling_w15	0.8222	0.8336	0.0138
areal	slope	0.994	0.9939	-0.0001
areal	risk_mag	0.9991	0.9991	0.0
areal	risk_csd	0.7884	0.7865	-0.0025
areal	risk_drift	0.9943	0.9942	-0.0001
cppo	zvf_risk	0.763	0.7594	-0.0047
cppo	mean_zvf	0.9989	0.9989	-0.0
cppo	lag1_zvf_rolling_w15	0.8222	0.8121	-0.0123
cppo	slope	0.994	0.9942	0.0002
cppo	risk_mag	0.9991	0.9991	0.0
cppo	risk_csd	0.7884	0.7796	-0.0112
cppo	risk_drift	0.9943	0.9946	0.0003
es	zvf_risk	0.763	0.7472	-0.0207
es	mean_zvf	0.9989	0.9989	0.0
es	lag1_zvf_rolling_w15	0.8222	0.8018	-0.0247
es	slope	0.994	0.9943	0.0003
es	risk_mag	0.9991	0.9991	-0.0
es	risk_csd	0.7884	0.7587	-0.0377
es	risk_drift	0.9943	0.9947	0.0003
gift	zvf_risk	0.763	0.7513	-0.0154
gift	mean_zvf	0.9989	0.9989	0.0
gift	lag1_zvf_rolling_w15	0.8222	0.8185	-0.0044
gift	slope	0.994	0.9938	-0.0001
gift	risk_mag	0.9991	0.9991	-0.0
gift	risk_csd	0.7884	0.7698	-0.0237
gift	risk_drift	0.9943	0.9942	-0.0001
grpo	zvf_risk	0.763	0.7336	-0.0385
grpo	mean_zvf	0.9989	0.9976	-0.0013
grpo	lag1_zvf_rolling_w15	0.8222	0.8079	-0.0174
grpo	slope	0.994	0.925	-0.0694
grpo	risk_mag	0.9991	0.9981	-0.0011
grpo	risk_csd	0.7884	0.7794	-0.0114
grpo	risk_drift	0.9943	0.9194	-0.0754
mcgrpo	zvf_risk	0.763	0.7824	0.0254
mcgrpo	mean_zvf	0.9989	0.9992	0.0003
mcgrpo	lag1_zvf_rolling_w15	0.8222	0.8282	0.0073
mcgrpo	slope	0.994	0.9943	0.0003
mcgrpo	risk_mag	0.9991	0.9994	0.0003
mcgrpo	risk_csd	0.7884	0.808	0.0249
mcgrpo	risk_drift	0.9943	0.9945	0.0002
ngrpo	zvf_risk	0.763	0.7637	0.0009
ngrpo	mean_zvf	0.9989	0.9989	-0.0
ngrpo	lag1_zvf_rolling_w15	0.8222	0.8117	-0.0127
ngrpo	slope	0.994	0.9944	0.0005
ngrpo	risk_mag	0.9991	0.9991	0.0
ngrpo	risk_csd	0.7884	0.782	-0.0082
ngrpo	risk_drift	0.9943	0.9949	0.0005
scafgrpo	zvf_risk	0.763	0.6835	-0.1042
scafgrpo	mean_zvf	0.9989	0.9989	0.0001
scafgrpo	lag1_zvf_rolling_w15	0.8222	0.8127	-0.0116
scafgrpo	slope	0.994	0.9966	0.0027
scafgrpo	risk_mag	0.9991	0.9992	0.0001
scafgrpo	risk_csd	0.7884	0.7557	-0.0415
scafgrpo	risk_drift	0.9943	0.9974	0.0031
