field	family	corpus	n	k_filled	fill_p	fill_lo	fill_hi
model	identity	mega	98	98	1.0000	0.9623	1.0000
task_slice	identity	mega	98	98	1.0000	0.9623	1.0000
G	identity	mega	98	98	1.0000	0.9623	1.0000
temperature	identity	mega	98	98	1.0000	0.9623	1.0000
seed	identity	mega	98	98	1.0000	0.9623	1.0000
mean_reward	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
zvf	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
pcd	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
n_groups	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
sample_errors	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
mean_completion_len	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
std_completion_len	rollout_outcomes	mega	98	98	1.0000	0.9623	1.0000
sampled_tokens	operational	mega	98	98	1.0000	0.9623	1.0000
model	identity	n10	5	5	1.0000	0.5655	1.0000
task_slice	identity	n10	5	5	1.0000	0.5655	1.0000
G	identity	n10	5	5	1.0000	0.5655	1.0000
temperature	identity	n10	5	5	1.0000	0.5655	1.0000
seed	identity	n10	5	5	1.0000	0.5655	1.0000
mean_reward	rollout_outcomes	n10	5	5	1.0000	0.5655	1.0000
zvf	rollout_outcomes	n10	5	5	1.0000	0.5655	1.0000
pcd	rollout_outcomes	n10	5	0	0.0000	0.0000	0.4345
n_groups	rollout_outcomes	n10	5	0	0.0000	0.0000	0.4345
sample_errors	rollout_outcomes	n10	5	5	1.0000	0.5655	1.0000
mean_completion_len	rollout_outcomes	n10	5	5	1.0000	0.5655	1.0000
std_completion_len	rollout_outcomes	n10	5	0	0.0000	0.0000	0.4345
sampled_tokens	operational	n10	5	0	0.0000	0.0000	0.4345
model	identity	n2	3	3	1.0000	0.4385	1.0000
task_slice	identity	n2	3	3	1.0000	0.4385	1.0000
G	identity	n2	3	3	1.0000	0.4385	1.0000
temperature	identity	n2	3	3	1.0000	0.4385	1.0000
seed	identity	n2	3	3	1.0000	0.4385	1.0000
mean_reward	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
zvf	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
pcd	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
n_groups	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
sample_errors	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
mean_completion_len	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
std_completion_len	rollout_outcomes	n2	3	3	1.0000	0.4385	1.0000
sampled_tokens	operational	n2	3	3	1.0000	0.4385	1.0000
