delta_id	metric	panel	delta	ci_low	ci_high	ci_half	abs_delta	n	significant	snr	ci_method	n_boot	bucket	source
delta_drgrpo	L_star	length_bias_iter60_grpo_vs_drgrpo_paired	44.2503	-27.8523	116.3529	72.1026	44.2503	2	0	0.614	welch_pooled_task_mean	4000	UNDERPOWERED	experiments/results/length_bias_iter60_grpo_vs_drgrpo.tsv
delta_aero	mean_len	n2_same_stack_last10	31.077344	27.384375	35.092969	3.854296999999999	31.077344	10	1	8.063	paired_step_bootstrap_pct	2000	LOAD_BEARING	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_areal	mean_len	n2_same_stack_last10	30.125781	25.170313	34.602344	4.716015500000001	30.125781	10	1	6.388	paired_step_bootstrap_pct	2000	LOAD_BEARING	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_gift	mean_len	n2_same_stack_last10	-3.889063	-10.63125	3.10625	6.86875	3.889063	10	0	0.566	paired_step_bootstrap_pct	2000	FRAGILE_NS	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_gift	mean_zvf	zvf130_5seed	-0.36658	-0.36658	-0.36658	0.0	0.36658	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_es	mean_zvf	zvf130_5seed	-0.36656	-0.36656	-0.36656	0.0	0.36656	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_areal	mean_zvf	zvf130_5seed	-0.35988	-0.35988	-0.35988	0.0	0.35988	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_scafgrpo	zvf_risk_mean	zvf130_5seed	-0.352361	-0.455533	-0.249189	0.10317200000000001	0.352361	5	1	3.415	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_mcgrpo	mean_zvf	zvf130_5seed	-0.33474	-0.33474	-0.33474	0.0	0.33474	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_es	zvf_risk_mean	zvf130_5seed	-0.272578	-0.374617	-0.170539	0.10203899999999999	0.272578	5	1	2.671	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_gift	zvf_risk_mean	zvf130_5seed	-0.263187	-0.365427	-0.160948	0.1022395	0.263187	5	1	2.574	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_aero	mean_zvf	zvf130_5seed	-0.26052	-0.26052	-0.26052	0.0	0.26052	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_areal	zvf_risk_mean	zvf130_5seed	-0.245767	-0.354535	-0.137	0.10876749999999999	0.245767	5	1	2.260	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_cppo	mean_zvf	zvf130_5seed	-0.18558	-0.18558	-0.18558	0.0	0.18558	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_ngrpo	mean_zvf	zvf130_5seed	-0.18042	-0.18042	-0.18042	0.0	0.18042	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_mcgrpo	zvf_risk_mean	zvf130_5seed	-0.174277	-0.288771	-0.059783	0.114494	0.174277	5	1	1.522	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_scafgrpo	mean_zvf	zvf130_5seed	-0.16414	-0.16414	-0.16414	0.0	0.16414	5	0		point_no_perseed_sd		POINT_ONLY	experiments/results/zvf_iter130_method_risk.tsv
delta_cppo	zvf_risk_mean	zvf130_5seed	-0.151077	-0.253342	-0.048813	0.10226450000000001	0.151077	5	1	1.477	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_aero	zvf_risk_mean	zvf130_5seed	-0.147637	-0.285921	-0.009354	0.1382835	0.147637	5	1	1.068	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_ngrpo	zvf_risk_mean	zvf130_5seed	-0.131025	-0.239395	-0.022656	0.1083695	0.131025	5	1	1.209	normal_approx_welch		UNDERPOWERED	experiments/results/zvf_iter130_method_risk.tsv
delta_gift	zvf	n2_same_stack_last10	0.125	0.08125	0.175	0.04687499999999999	0.125	10	1	2.667	paired_step_bootstrap_pct	2000	FRAGILE_SIG	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_drgrpo	neg_frac	length_bias_iter60_grpo_vs_drgrpo_paired	0.1028	0.0646	0.1409	0.038149999999999996	0.1028	2	1	2.695	welch_pooled_task_mean	4000	UNDERPOWERED	experiments/results/length_bias_iter60_grpo_vs_drgrpo.tsv
delta_drgrpo	pos_frac	length_bias_iter60_grpo_vs_drgrpo_paired	-0.1001	-0.2087	0.0085	0.1086	0.1001	2	0	0.922	welch_pooled_task_mean	4000	UNDERPOWERED	experiments/results/length_bias_iter60_grpo_vs_drgrpo.tsv
delta_adaptiveg	zvf	qp7_adaptive_armB_vs_armA_paired	-0.074219	-0.121094	-0.03125	0.044922	0.074219	16	1	1.652	paired_step_bootstrap_pct	2000	FRAGILE_SIG	experiments/results/quick_20260704/qp7_adaptive.tsv
delta_areal	zvf	n2_same_stack_last10	-0.05625	-0.1125	0.00625	0.059375000000000004	0.05625	10	0	0.947	paired_step_bootstrap_pct	2000	FRAGILE_NS	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_aero	zvf	n2_same_stack_last10	-0.025	-0.0625	0.0125	0.0375	0.025	10	0	0.667	paired_step_bootstrap_pct	2000	FRAGILE_NS	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_areal	reward_mean	n2_same_stack_last10	-0.019531	-0.032031	-0.007812	0.012109499999999999	0.019531	10	1	1.613	paired_step_bootstrap_pct	2000	FRAGILE_SIG	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_gift	pcd	n2_same_stack_last10	-0.018457	-0.026172	-0.010352	0.00791	0.018457	10	1	2.333	paired_step_bootstrap_pct	2000	FRAGILE_SIG	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
delta_gift	reward_mean	n2_same_stack_last10	0.016406	-0.007031	0.039844	0.0234375	0.016406	10	0	0.700	paired_step_bootstrap_pct	2000	FRAGILE_NS	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv
