entry_id	n_deltas	n_expected_effects	n_measured	n_claim_validation	n_distinct_keys	n_joined	registry_completeness
delta_dapo	5	3	0	0	3	0	0.0000
delta_gspo	2	3	0	0	3	0	0.0000
delta_ppo	4	3	0	0	3	0	0.0000
delta_tool_use_llama-8b-inst	1	0	1	0	1	0	0.0000
delta_tool_use_qwen3-32b	1	0	1	0	1	0	0.0000
delta_cppo	1	1	3	3	3	1	0.3333
delta_es	1	1	3	3	3	1	0.3333
delta_mcgrpo	2	1	3	3	3	1	0.3333
delta_ngrpo	1	1	3	3	3	1	0.3333
delta_scafgrpo	1	1	3	3	3	1	0.3333
delta_aero	1	3	6	6	6	3	0.5000
delta_areal	1	3	6	6	6	3	0.5000
delta_gift	1	3	6	6	6	3	0.5000
delta_adaptiveg	1	2	2	2	2	2	1.0000
delta_drgrpo	2	3	3	3	3	3	1.0000
delta_liteppo	2	0	0	0	0	0	NA
delta_reinforce	2	0	0	0	0	0	NA
