item	leaf	stacks_with_item	n_non_null	null_rate
loss_form	advantage_normalization	26	8	0.6923076923076923
loss_form	clip_eps_high	26	5	0.8076923076923077
loss_form	clip_eps_low	26	5	0.8076923076923077
loss_form	importance_ratio_level	26	11	0.5769230769230769
loss_form	length_normalization	26	5	0.8076923076923077
loss_form	reward_shaping_type	26	3	0.8846153846153846
loss_form	sampling_dynamic_filter	26	2	0.9230769230769231
loss_form	token_aggregation	26	3	0.8846153846153846
loss_form	token_mask	26	4	0.8461538461538461
reference_kl	kl_beta	26	7	0.7307692307692308
reference_kl	kl_estimator	26	7	0.7307692307692308
reference_kl	reference_policy	26	15	0.42307692307692313
sampler_backend	backend	26	26	0.0
sampler_backend	precision	26	22	0.15384615384615385
sampler_backend	temperature	26	26	0.0
sampler_backend	top_p	26	26	0.0
telemetry	per_step_gu	26	24	0.07692307692307687
telemetry	per_step_zvf	26	24	0.07692307692307687
telemetry	source	26	24	0.07692307692307687
group_size_schedule	adaptation_rule	26	15	0.42307692307692313
group_size_schedule	initial_g	26	11	0.5769230769230769
group_size_schedule	schedule	26	15	0.42307692307692313
heldout_split	description	26	26	0.0
heldout_split	disjoint_from_reward_env	26	26	0.0
decontamination	parser_robustness_probe	26	4	0.8461538461538461
decontamination	performed	26	4	0.8461538461538461
