delta_id	component	n_stacks_declaring	implemented	surrogate	absent	unknown	managed_by_tinker	reproducible_fraction	example_stacks
delta_dapo	clip_higher	2	1	1	0	0	0	1.0000	colab-open_dapo_e3(implemented)|tinker_dapo_qwen3.5-4b_gsm8k(surrogate)
delta_dapo	dynamic_sampling	2	1	0	1	0	0	0.5000	colab-open_dapo_e3(implemented)|tinker_dapo_qwen3.5-4b_gsm8k(absent)
delta_dapo	kl_removed	2	1	0	0	1	0	0.5000	colab-open_dapo_e3(implemented)|tinker_dapo_qwen3.5-4b_gsm8k(unknown)
delta_dapo	overlong_reward_shaping	2	0	0	2	0	0	0.0000	colab-open_dapo_e3(absent)|tinker_dapo_qwen3.5-4b_gsm8k(absent)
delta_dapo	token_level_loss	2	1	0	0	1	0	0.5000	colab-open_dapo_e3(implemented)|tinker_dapo_qwen3.5-4b_gsm8k(unknown)
delta_drgrpo	advantage_std_normalization	2	1	1	0	0	0	1.0000	colab-open_drgrpo_e3(implemented)|tinker_drgrpo_qwen3.5-4b_gsm8k(surrogate)
delta_drgrpo	length_normalization	2	1	1	0	0	0	1.0000	colab-open_drgrpo_e3(implemented)|tinker_drgrpo_qwen3.5-4b_gsm8k(surrogate)
delta_adaptiveg	zvf_driven_group_size_ladder	1	1	0	0	0	0	1.0000	colab-open_grpo-adaptiveg_e3(implemented)
delta_aero	advantage_guided_evolution	1	1	0	0	0	0	1.0000	tinker_aero_qwen3.5-4b_gsm8k(implemented)
delta_areal	autoscaling_Rollout	1	1	0	0	0	0	1.0000	tinker_areal_qwen3.5-4b_gsm8k(implemented)
delta_cppo	continuity_penalty	1	0	0	0	1	0	0.0000	zvf130_cppo(unknown)
delta_es	black_box_perturbation	1	0	0	0	1	0	0.0000	zvf130_es(unknown)
delta_gift	gamma_likelihood_baseline	1	1	0	0	0	0	1.0000	tinker_gift_qwen3.5-4b_gsm8k(implemented)
delta_gspo	sequence_level_clip	1	0	0	0	1	0	0.0000	tinker_gspo_qwen3.5-4b_gsm8k(unknown)
delta_gspo	sequence_level_ratio	1	0	1	0	0	0	1.0000	tinker_gspo_qwen3.5-4b_gsm8k(surrogate)
delta_mcgrpo	mcts_rollout	1	0	0	0	1	0	0.0000	zvf130_mcgrpo(unknown)
delta_mcgrpo	per_prompt_diversity_bonus	1	0	0	0	1	0	0.0000	zvf130_mcgrpo(unknown)
delta_ngrpo	per_prompt_normalization	1	0	0	0	1	0	0.0000	zvf130_ngrpo(unknown)
delta_scafgrpo	scaffold_aware_advantage	1	0	0	0	1	0	0.0000	zvf130_scafgrpo(unknown)
