metric	window	n_steps	grpo_mean	aero_delta	aero_ci_lo	aero_ci_hi	aero_sig	gift_delta	gift_ci_lo	gift_ci_hi	gift_sig	areal_delta	areal_ci_lo	areal_ci_hi	areal_sig
zvf	full40	40	0.7203125	0.0	-0.025	0.0234375	False	0.05	0.0203125	0.0796875	True	-0.0140625	-0.0421875	0.0125	False
zvf	last20	20	0.775	-0.003125	-0.03125	0.025	False	0.09375	0.0625	0.13125	True	-0.015625	-0.053125	0.021875	False
zvf	last10	10	0.775	-0.025	-0.06875	0.0125	False	0.125	0.08125	0.16875	True	-0.05625	-0.1125	0.0	False
zvf	last5	5	0.7875	-0.0625	-0.1125	-0.0125	True	0.1125	0.05	0.1875	True	-0.025	-0.0875	0.05	False
zvf	early10	10	0.675	0.0125	-0.05	0.06875	False	-0.01875	-0.06875	0.025	False	-0.00625	-0.06875	0.05	False
reward_mean	full40	40	0.8341796875	-0.006640625	-0.0166015625	0.0029296875	False	0.010546875	0.000390625	0.0205078125	True	-0.00546875	-0.0140625	0.0029296875	False
reward_mean	last20	20	0.873828125	-0.005859375	-0.015625	0.004296875	False	0.015234375	0.0015625	0.028515625	True	-0.009375	-0.019140625	0.00078125	False
reward_mean	last10	10	0.8609375	-0.0140625	-0.02265625	-0.00625	True	0.01640625	-0.00859375	0.0390625	False	-0.01953125	-0.03125	-0.0078125	True
reward_mean	last5	5	0.81875	-0.0203125	-0.0359375	-0.0046875	True	0.0234375	-0.0109375	0.053125	False	-0.0203125	-0.0375	-0.00625	True
reward_mean	early10	10	0.78671875	-0.01015625	-0.02890625	0.00859375	False	-0.003125	-0.0234375	0.0171875	False	0.00625	-0.0140625	0.02578125	False
mean_len	full40	40	351.645703125	14.1630859375	10.0517578125	18.51171875	True	-0.7419921875	-3.20078125	1.7517578125	False	14.6048828125	10.5583984375	18.7462890625	True
mean_len	last20	20	325.81015625	25.330859375	21.596875	29.151953125	True	-1.38671875	-5.9375	2.971484375	False	24.98203125	21.0359375	29.305859375	True
mean_len	last10	10	319.6109375	31.07734375	27.384375	35.09296875	True	-3.8890625	-10.63125	3.10625	False	30.12578125	25.1703125	34.60234375	True
mean_len	last5	5	330.2421875	33.075	28.3625	37.875	True	-11.6109375	-18.546875	-4.675	True	31.8625	27.8375	36.5203125	True
mean_len	early10	10	382.43203125	-0.14140625	-4.73984375	4.875	False	0.16875	-3.1140625	3.440625	False	0.38828125	-2.68125	4.17734375	False
cv_len	full40	40	0.28483938289033717	-0.013367394358307371	-0.020205585266357684	-0.00680606747699905	True	-0.0007558899120535756	-0.005788684263706166	0.004420989351467955	False	-0.018231617255535015	-0.023821769417936532	-0.012927081402569813	True
cv_len	last20	20	0.3033306728694743	-0.028121190332436385	-0.037043485881046764	-0.020069064982802774	True	-0.00220763872631794	-0.010550686159534934	0.006555530052309982	False	-0.030911604148329774	-0.03763309450448509	-0.024753704865208826	True
cv_len	last10	10	0.32525414626570626	-0.03435732722561173	-0.04625170323064616	-0.023751538923670757	True	0.001978558036649891	-0.009363002230548895	0.013615679100234923	False	-0.038297942907981844	-0.047443211051673595	-0.02988809626360319	True
cv_len	last5	5	0.3251366804766803	-0.04383782110328453	-0.06184519476723986	-0.025830447439329208	True	0.0034374890870649934	-0.011470414420778573	0.015371512129820564	False	-0.05069107687409853	-0.05806766100402645	-0.04327873262016545	True
cv_len	early10	10	0.2603349326271582	0.008003354987634746	0.001126527084542736	0.015166213337928188	True	0.005341554574441893	-0.0017998462762228301	0.013599475517608964	False	0.0005070177957434308	-0.005054955997974467	0.005826918543686549	False
