item	sub_field	n_total	n_populated	pop_rate	n_unique_values	entropy_bits
loss_form	importance_ratio_level	20	11	0.55	2	0.994
loss_form	clip_eps_low	20	5	0.25	1	0.0
loss_form	clip_eps_high	20	5	0.25	2	0.971
loss_form	length_normalization	20	5	0.25	2	0.971
loss_form	advantage_normalization	20	8	0.4	2	0.8113
loss_form	token_mask	20	4	0.2	1	0.0
reference_kl	reference_policy	20	15	0.75	2	0.8366
reference_kl	kl_beta	20	7	0.35	3	1.3788
reference_kl	kl_estimator	20	7	0.35	2	0.9852
sampler_backend	backend	20	20	1.0	6	2.1414
sampler_backend	precision	20	16	0.8	1	0.0
sampler_backend	temperature	20	20	1.0	1	0.0
sampler_backend	top_p	20	20	1.0	1	0.0
telemetry	per_step_zvf	20	18	0.9	1	0.0
telemetry	per_step_gu	20	18	0.9	1	0.0
telemetry	source	20	18	0.9	4	1.8776
group_size_schedule	initial_g	20	11	0.55	2	0.9457
group_size_schedule	schedule	20	15	0.75	2	0.3534
group_size_schedule	adaptation_rule	20	15	0.75	2	0.3534
heldout_split	disjoint_from_reward_env	20	20	1.0	1	0.0
heldout_split	description	20	20	1.0	4	1.9589
decontamination	performed	20	4	0.2	1	0.0
decontamination	parser_robustness_probe	20	4	0.2	1	0.0
