method	step	z_step	n_mixed	ceiling_sum	c1_recovery	c2_recovery	c3_recovery	c1_g	c2_g	c3_g
grpo	0	0.7797	5	0.9921	1.0	-1.2009	1.0	16	4	16
grpo	1	0.5784	8	0.8801	0.0	0.0	0.0	8	8	8
grpo	2	0.7435	5	0.639	1.0	-1.6326	1.0	16	4	16
grpo	3	0.8055	4	0.6312	1.0	-1.467	1.0	16	4	16
grpo	4	0.7282	5	0.5036	1.0	-2.0266	1.0	16	4	16
grpo	5	0.7377	5	0.5567	1.0	-1.6889	1.0	16	4	16
grpo	6	0.8417	3	0.3387	1.0	-1.806	1.0	16	4	16
grpo	7	0.7587	5	0.7744	1.0	-1.3763	1.0	16	4	16
grpo	8	0.6424	7	0.9029	0.0	0.0	0.0	8	8	8
grpo	9	0.7444	5	0.6543	1.0	-1.6425	1.0	16	4	16
grpo	10	0.7444	5	0.6543	1.0	-1.6425	1.0	16	4	16
grpo	11	0.7377	5	0.5567	1.0	-1.6889	1.0	16	4	16
grpo	12	0.8265	3	0.2033	1.0	-2.8977	1.0	16	4	16
grpo	13	0.6566	7	1.023	0.0	0.0	0.0	8	8	8
grpo	14	0.7997	4	0.5489	1.0	-1.4994	1.0	16	4	16
grpo	15	0.7749	4	0.2795	1.0	-2.3521	1.0	16	4	16
grpo	16	0.6634	6	0.475	0.0	0.0	0.0	8	8	8
grpo	17	0.5852	8	0.9777	0.0	0.0	0.0	8	8	8
grpo	18	0.5862	7	0.3474	0.0	0.0	0.0	8	8	8
grpo	19	0.7139	6	0.9482	1.0	-1.3379	1.0	16	4	16
grpo	20	0.6672	6	0.5267	0.0	0.0	0.0	8	8	8
grpo	21	0.7959	4	0.4972	1.0	-1.5748	1.0	16	4	16
grpo	22	0.7807	4	0.3618	1.0	-2.1017	1.0	16	4	16
grpo	23	0.9027	2	0.3156	1.0	-1.467	-1.467	16	4	4
grpo	24	0.8769	3	0.6765	1.0	-1.0767	1.0	16	4	16
grpo	25	0.6366	7	0.8206	0.0	0.0	0.0	8	8	8
grpo	26	0.8617	3	0.5411	1.0	-1.3044	1.0	16	4	16
grpo	27	0.938	1	0.0078	1.0	-15.0256	-15.0256	16	4	4
grpo	28	0.8569	3	0.4741	1.0	-1.3379	1.0	16	4	16
grpo	29	0.8559	3	0.4588	1.0	-1.3139	1.0	16	4	16
grpo	30	0.8617	3	0.5411	1.0	-1.3044	1.0	16	4	16
grpo	31	0.8207	4	0.7666	1.0	-1.2374	1.0	16	4	16
grpo	32	0.7235	5	0.4366	1.0	-2.1738	1.0	16	4	16
grpo	33	0.7597	5	0.7897	1.0	-1.3895	1.0	16	4	16
grpo	34	0.9027	2	0.3156	1.0	-1.467	-1.467	16	4	4
grpo	35	0.9438	1	0.0901	1.0	-2.444	-2.444	16	4	4
grpo	36	0.8569	3	0.4741	1.0	-1.3379	1.0	16	4	16
grpo	37	0.7845	4	0.4135	1.0	-1.9357	1.0	16	4	16
grpo	38	0.7444	5	0.6543	1.0	-1.6425	1.0	16	4	16
grpo	39	0.7807	4	0.3618	1.0	-2.1017	1.0	16	4	16
aero	0	0.7749	5	0.9251	1.0	-1.2106	1.0	16	4	16
aero	1	0.6987	5	0.1672	0.0	0.0	0.0	8	8	8
aero	2	0.8769	3	0.6765	1.0	-1.0767	1.0	16	4	16
aero	3	0.7245	5	0.4519	1.0	-2.1699	1.0	16	4	16
aero	4	0.7577	4	0.1135	1.0	-5.0379	1.0	16	4	16
