method	controller	savings_frac	contrast_intent
gift	C1	0.379296875	147
gift	C4_ucg@0.5	0.379296875	147
gift	C4_ucg@0.6	0.379296875	147
gift	C4_ucg@0.7	0.379296875	147
gift	C4_ucg@0.8	0.379296875	147
gift	C4_ucg@0.9	0.379296875	147
grpo	C1	0.344921875	179
grpo	C4_ucg@0.5	0.344921875	179
grpo	C4_ucg@0.6	0.344921875	179
grpo	C4_ucg@0.7	0.344921875	179
grpo	C4_ucg@0.8	0.344921875	179
grpo	C4_ucg@0.9	0.344921875	179
gift	C3_ucc@0.9	0.33359375	147
grpo	C3_ucc@0.9	0.332421875	179
areal	C1	0.3265625	188
areal	C4_ucg@0.5	0.3265625	188
areal	C4_ucg@0.6	0.3265625	188
areal	C4_ucg@0.7	0.3265625	188
areal	C4_ucg@0.8	0.3265625	188
areal	C4_ucg@0.9	0.3265625	188
aero	C1	0.323046875	179
aero	C4_ucg@0.5	0.323046875	179
aero	C4_ucg@0.6	0.323046875	179
aero	C4_ucg@0.7	0.323046875	179
aero	C4_ucg@0.8	0.323046875	179
aero	C4_ucg@0.9	0.323046875	179
areal	C3_ucc@0.9	0.320703125	188
aero	C3_ucc@0.9	0.3171875	179
gift	C3_ucc@0.8	0.280078125	147
grpo	C3_ucc@0.8	0.269140625	179
areal	C3_ucc@0.8	0.259375	188
aero	C3_ucc@0.8	0.231640625	179
areal	C3_ucc@0.7	0.224609375	188
gift	C3_ucc@0.7	0.22421875	147
grpo	C3_ucc@0.7	0.21875	179
aero	C3_ucc@0.7	0.200390625	179
gift	C3_ucc@0.6	0.15078125	147
gift	C3_ucc@0.5	0.13046875	147
areal	C3_ucc@0.6	0.12578125	188
grpo	C3_ucc@0.6	0.124609375	179
aero	C3_ucc@0.6	0.10390625	179
grpo	C3_ucc@0.5	0.08671875	179
areal	C3_ucc@0.5	0.078125	188
aero	C3_ucc@0.5	0.07421875	179
areal	C0	0.0	188
grpo	C0	0.0	179
aero	C0	0.0	179
gift	C0	0.0	147
areal	C2_zt@0.9	-0.025	188
aero	C2_zt@0.9	-0.025	179
grpo	C2_zt@0.9	-0.05	179
gift	C2_zt@0.9	-0.2	147
areal	C2_zt@0.8	-0.275	188
grpo	C2_zt@0.8	-0.3	179
aero	C2_zt@0.8	-0.35	179
areal	C2_zt@0.7	-0.425	188
gift	C2_zt@0.8	-0.425	147
aero	C2_zt@0.7	-0.475	179
grpo	C2_zt@0.7	-0.5	179
gift	C2_zt@0.7	-0.65	147
areal	C2_zt@0.6	-0.825	188
grpo	C2_zt@0.6	-0.85	179
aero	C2_zt@0.6	-0.875	179
gift	C2_zt@0.6	-0.925	147
areal	C2_zt@0.5	-1.0	188
grpo	C2_zt@0.5	-1.0	179
aero	C2_zt@0.5	-1.0	179
gift	C2_zt@0.5	-1.0	147
