method	controller	rollouts	baseline_rollouts	savings_frac	fired_steps	saved_prompts	wasted_prompts	contrast_intent	contrast_magnitude
grpo	C0	5120	5120	0.0	0	179	461	179	147.20115899290866
grpo	C1	3354	5120	0.344921875	0	179	461	179	141.06282338259805
grpo	C2_zt@0.5	10240	5120	-1.0	40	179	461	179	169.61583045614694
grpo	C3_ucc@0.5	4676	5120	0.08671875	40	179	461	179	157.2110214707407
grpo	C4_ucg@0.5	3354	5120	0.344921875	0	179	461	179	141.06282338259805
grpo	C2_zt@0.6	9472	5120	-0.85	34	179	461	179	164.6632321271268
grpo	C3_ucc@0.6	4482	5120	0.124609375	34	179	461	179	153.5137694338006
grpo	C4_ucg@0.6	3354	5120	0.344921875	0	179	461	179	141.06282338259805
grpo	C2_zt@0.7	7680	5120	-0.5	20	179	461	179	155.50005749475787
grpo	C3_ucc@0.7	4000	5120	0.21875	20	179	461	179	147.21574379760702
grpo	C4_ucg@0.7	3354	5120	0.344921875	0	179	461	179	141.06282338259805
grpo	C2_zt@0.8	6656	5120	-0.3	12	179	461	179	151.63876659636446
grpo	C3_ucc@0.8	3742	5120	0.269140625	12	179	461	179	144.73257570586466
grpo	C4_ucg@0.8	3354	5120	0.344921875	0	179	461	179	141.06282338259805
grpo	C2_zt@0.9	5376	5120	-0.05	2	179	461	179	147.2990467931682
grpo	C3_ucc@0.9	3418	5120	0.332421875	2	179	461	179	141.15292901643573
grpo	C4_ucg@0.9	3354	5120	0.344921875	0	179	461	179	141.06282338259805
aero	C0	5120	5120	0.0	0	179	461	179	149.99745105948276
aero	C1	3466	5120	0.323046875	0	179	461	179	145.86560873382615
aero	C2_zt@0.5	10240	5120	-1.0	40	179	461	179	170.49153509786976
aero	C3_ucc@0.5	4740	5120	0.07421875	40	179	461	179	159.89106121957707
aero	C4_ucg@0.5	3466	5120	0.323046875	0	179	461	179	145.86560873382615
aero	C2_zt@0.6	9600	5120	-0.875	35	179	461	179	167.42780338437998
aero	C3_ucc@0.6	4588	5120	0.10390625	35	179	461	179	158.28905487135518
