method	class	share_obs	ci_lo	ci_hi	ci_excludes_zero
grpo	A_HIT	0.05	0.0	0.125	0
grpo	B_FN_BDRY	0.0	0.0	0.0	1
grpo	C_FN_DRIFT	0.95	0.875	1.0	0
grpo	D_FP_BDRY	0.0	0.0	0.0	1
grpo	E_TN	0.0	0.0	0.0	1
aero	A_HIT	0.025	0.0	0.075	0
aero	B_FN_BDRY	0.0	0.0	0.0	1
aero	C_FN_DRIFT	0.975	0.925	1.0	0
aero	D_FP_BDRY	0.0	0.0	0.0	1
aero	E_TN	0.0	0.0	0.0	1
gift	A_HIT	0.175	0.075	0.3	0
gift	B_FN_BDRY	0.0	0.0	0.0	1
gift	C_FN_DRIFT	0.8	0.675	0.925	0
gift	D_FP_BDRY	0.025	0.0	0.075	0
gift	E_TN	0.0	0.0	0.0	1
areal	A_HIT	0.025	0.0	0.075	0
areal	B_FN_BDRY	0.0	0.0	0.0	1
areal	C_FN_DRIFT	0.975	0.925	1.0	0
areal	D_FP_BDRY	0.0	0.0	0.0	1
areal	E_TN	0.0	0.0	0.0	1
POOLED	A_HIT	0.06875	0.06875	0.06875	0
POOLED	B_FN_BDRY	0.0	0.0	0.0	0
POOLED	C_FN_DRIFT	0.925	0.925	0.925	0
POOLED	D_FP_BDRY	0.00625	0.00625	0.00625	0
POOLED	E_TN	0.0	0.0	0.0	0
