method	tau	savings_frac	magnitude_retention	combined	fires	rollouts	magnitude	base_mag	base_rollouts	is_optimal	optimal_tau
grpo	0.9	0.332421875	0.9589118046498242	0.31876326006132827	2	3418	141.15292901643573	147.20115899290866	5120	1	0.9
grpo	0.85	0.32109375	0.9605613627205678	0.30843025006105734	4	3476	141.3957458762753	147.20115899290866	5120	0	0.9
grpo	0.8	0.269140625	0.9832298651455392	0.26462710042393617	12	3742	144.73257570586466	147.20115899290866	5120	0	0.9
grpo	0.7	0.21875	1.0000990807735357	0.21877167391921093	20	4000	147.21574379760702	147.20115899290866	5120	0	0.9
grpo	0.75	0.21875	1.0000990807735357	0.21877167391921093	20	4000	147.21574379760702	147.20115899290866	5120	0	0.9
grpo	0.65	0.1421875	1.0334122043309173	0.1469382978033023	31	4392	152.11947419492756	147.20115899290866	5120	0	0.9
grpo	0.6	0.124609375	1.0428842441464476	0.12995315386043624	34	4482	153.5137694338006	147.20115899290866	5120	0	0.9
grpo	0.55	0.10234375	1.056267524888719	0.10810237950032983	38	4596	155.48380387019043	147.20115899290866	5120	0	0.9
grpo	0.5	0.08671875	1.068001247723289	0.09261573320100397	40	4676	157.2110214707407	147.20115899290866	5120	0	0.9
aero	0.9	0.3171875	0.9724539166067689	0.3084502266737095	1	3496	145.86560876382615	149.99745105948276	5120	1	0.9
aero	0.85	0.298046875	0.975274151460941	0.29067741311121015	4	3594	146.28863680334106	149.99745105948276	5120	0	0.9
aero	0.8	0.231640625	0.9993222041953298	0.2314836199561838	14	3934	149.8957834164434	149.99745105948276	5120	0	0.9
aero	0.7	0.200390625	1.0082002860380723	0.20203388544434808	19	4094	151.22747306315227	149.99745105948276	5120	0	0.9
aero	0.75	0.200390625	1.0082002860380723	0.20203388544434808	19	4094	151.22747306315227	149.99745105948276	5120	0	0.9
aero	0.65	0.149609375	1.0300288180451045	0.1541019676997168	28	4354	154.50169722457744	149.99745105948276	5120	0	0.9
aero	0.6	0.10390625	1.055278298086441	0.10965001066054426	35	4588	158.28905487135518	149.99745105948276	5120	0	0.9
aero	0.5	0.07421875	1.0659585218962881	0.07911410904699014	40	4740	159.89106121957707	149.99745105948276	5120	0	0.9
aero	0.55	0.07421875	1.0659585218962881	0.07911410904699014	40	4740	159.89106121957707	149.99745105948276	5120	0	0.9
gift	0.9	0.33359375	0.9735773135156043	0.32477930693059615	8	3412	118.55009333221675	121.76751829202998	5120	1	0.9
gift	0.85	0.298046875	0.982293701712417	0.29276956812756805	14	3594	119.61146629141258	121.76751829202998	5120	0	0.9
gift	0.8	0.280078125	0.9870218859900665	0.2764432391620616	17	3686	120.18720555692934	121.76751829202998	5120	0	0.9
gift	0.7	0.22421875	1.006160461863408	0.22560004105843598	26	3972	122.51766244466985	121.76751829202998	5120	0	0.9
gift	0.75	0.22421875	1.006160461863408	0.22560004105843598	26	3972	122.51766244466985	121.76751829202998	5120	0	0.9
gift	0.65	0.19609375	1.0250731971344342	0.20101044725058048	30	4116	124.82061928273686	121.76751829202998	5120	0	0.9
gift	0.6	0.15078125	1.0549222608564937	0.1590624971447682	37	4348	128.4552656955127	121.76751829202998	5120	0	0.9
gift	0.5	0.13046875	1.069846792618975	0.13958157372450689	40	4452	130.27258888990065	121.76751829202998	5120	0	0.9
gift	0.55	0.13046875	1.069846792618975	0.13958157372450689	40	4452	130.27258888990065	121.76751829202998	5120	0	0.9
areal	0.9	0.320703125	0.9317885192443773	0.29882748996079445	1	3478	143.44853748826802	153.94967261948653	5120	1	0.9
areal	0.85	0.296484375	0.936113600655886	0.27754305581946	5	3602	144.1143823556224	153.94967261948653	5120	0	0.9
areal	0.8	0.259375	0.9483249221258491	0.2459717766763921	11	3792	145.99431129817452	153.94967261948653	5120	0	0.9
areal	0.7	0.224609375	0.9595442879689929	0.2155226428055355	17	3970	147.72152899672477	153.94967261948653	5120	0	0.9
areal	0.75	0.224609375	0.9595442879689929	0.2155226428055355	17	3970	147.72152899672477	153.94967261948653	5120	0	0.9
areal	0.65	0.150390625	1.0003247025454811	0.15043945721875399	29	4350	153.99966047006205	153.94967261948653	5120	0	0.9
areal	0.6	0.12578125	1.0131213159768009	0.127431665525207	33	4476	155.96969491845186	153.94967261948653	5120	0	0.9
areal	0.55	0.10703125	1.0284871326880718	0.11008026342052017	36	4572	158.33525737068305	153.94967261948653	5120	0	0.9
areal	0.5	0.078125	1.0529097741210123	0.08225857610320408	40	4720	162.09511502378734	153.94967261948653	5120	0	0.9
