controller	method	step	fired	zvf_obs	Gstar	zvf_target	cost_ratio	delta_z	net_benefit
STATIC_G16	grpo	0	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	1	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
STATIC_G16	grpo	2	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	3	1	0.7500	16	0.7660	2.0000	-0.0160	-0.5160
STATIC_G16	grpo	4	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	5	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	6	1	0.8125	16	0.8205	2.0000	-0.0080	-0.5080
STATIC_G16	grpo	7	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	8	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	grpo	9	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	10	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	11	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	grpo	12	1	0.8125	16	0.8138	2.0000	-0.0013	-0.5013
STATIC_G16	grpo	13	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	grpo	14	1	0.7500	16	0.7654	2.0000	-0.0154	-0.5154
STATIC_G16	grpo	15	1	0.7500	16	0.7574	2.0000	-0.0074	-0.5074
STATIC_G16	grpo	16	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	grpo	17	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
STATIC_G16	grpo	18	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	grpo	19	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	grpo	20	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	grpo	21	1	0.7500	16	0.7648	2.0000	-0.0148	-0.5148
STATIC_G16	grpo	22	1	0.7500	16	0.7581	2.0000	-0.0081	-0.5081
STATIC_G16	grpo	23	1	0.8750	16	0.8830	2.0000	-0.0080	-0.5080
STATIC_G16	grpo	24	1	0.8125	16	0.8346	2.0000	-0.0221	-0.5221
STATIC_G16	grpo	25	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	grpo	26	1	0.8125	16	0.8279	2.0000	-0.0154	-0.5154
STATIC_G16	grpo	27	1	0.9375	16	0.9375	2.0000	-0.0000	-0.5000
STATIC_G16	grpo	28	1	0.8125	16	0.8273	2.0000	-0.0148	-0.5148
STATIC_G16	grpo	29	1	0.8125	16	0.8273	2.0000	-0.0148	-0.5148
STATIC_G16	grpo	30	1	0.8125	16	0.8279	2.0000	-0.0154	-0.5154
