dataset	id	zvf_obs	reward	G_obs	G_dualformer	G_alphaproof	G_adaptive_gstar	G_ccc	contrast_saved	cost_ratio	net_benefit
n2	grpo_s0_t0	0.687500	0.812500	8	4	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t1	0.500000	0.820312	8	4	8	8	8	0.000000	1.000000	0.000000
n2	grpo_s0_t2	0.687500	0.828125	8	4	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t3	0.750000	0.796875	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t4	0.687500	0.804688	8	4	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t5	0.687500	0.687500	8	8	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t6	0.812500	0.796875	8	4	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t7	0.687500	0.710938	8	4	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t8	0.562500	0.726562	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t9	0.687500	0.882812	8	2	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t10	0.687500	0.882812	8	2	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t11	0.687500	0.718750	8	4	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t12	0.812500	0.945312	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t13	0.562500	0.742188	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t14	0.750000	0.875000	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t15	0.750000	0.851562	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t16	0.625000	0.734375	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t17	0.500000	0.843750	8	4	8	8	8	0.000000	1.000000	0.000000
n2	grpo_s0_t18	0.562500	0.648438	8	8	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t19	0.625000	0.781250	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t20	0.625000	0.828125	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t21	0.750000	0.859375	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t22	0.750000	0.882812	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t23	0.875000	0.882812	8	2	8	64	32	0.288818	4.000000	-1.211182
n2	grpo_s0_t24	0.812500	0.929688	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t25	0.562500	0.789062	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	grpo_s0_t26	0.812500	0.875000	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t27	0.937500	0.968750	8	2	8	64	32	0.165024	4.000000	-1.334976
n2	grpo_s0_t28	0.812500	0.898438	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t29	0.812500	0.953125	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t30	0.812500	0.937500	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t31	0.750000	0.914062	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t32	0.687500	0.890625	8	2	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t33	0.687500	0.875000	8	2	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t34	0.875000	0.898438	8	2	8	64	32	0.288818	4.000000	-1.211182
n2	grpo_s0_t35	0.937500	0.859375	8	2	8	64	32	0.165024	4.000000	-1.334976
n2	grpo_s0_t36	0.812500	0.898438	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	grpo_s0_t37	0.750000	0.726562	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	grpo_s0_t38	0.687500	0.804688	8	4	8	16	8	0.000000	1.000000	0.000000
n2	grpo_s0_t39	0.750000	0.804688	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	aero_s0_t0	0.687500	0.789062	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t1	0.687500	0.820312	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t2	0.812500	0.867188	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t3	0.687500	0.757812	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t4	0.750000	0.828125	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	aero_s0_t5	0.562500	0.640625	8	8	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t6	0.750000	0.742188	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	aero_s0_t7	0.625000	0.710938	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t8	0.687500	0.750000	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t9	0.625000	0.859375	8	2	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t10	0.750000	0.851562	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	aero_s0_t11	0.562500	0.757812	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t12	0.687500	0.867188	8	2	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t13	0.562500	0.710938	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t14	0.750000	0.921875	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	aero_s0_t15	0.812500	0.882812	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t16	0.562500	0.718750	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t17	0.562500	0.781250	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t18	0.625000	0.703125	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t19	0.625000	0.781250	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t20	0.625000	0.828125	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t21	0.812500	0.906250	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t22	0.687500	0.898438	8	2	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t23	0.812500	0.867188	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t24	0.812500	0.929688	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t25	0.687500	0.820312	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t26	0.875000	0.820312	8	4	8	64	32	0.288818	4.000000	-1.211182
n2	aero_s0_t27	0.937500	0.976562	8	2	8	64	32	0.165024	4.000000	-1.334976
n2	aero_s0_t28	0.812500	0.906250	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t29	0.875000	0.937500	8	2	8	64	32	0.288818	4.000000	-1.211182
n2	aero_s0_t30	0.812500	0.937500	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t31	0.812500	0.906250	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t32	0.750000	0.875000	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	aero_s0_t33	0.625000	0.867188	8	2	8	16	8	-0.000000	1.000000	-0.000000
n2	aero_s0_t34	0.875000	0.890625	8	2	8	64	32	0.288818	4.000000	-1.211182
n2	aero_s0_t35	0.812500	0.820312	8	4	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t36	0.812500	0.898438	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	aero_s0_t37	0.687500	0.703125	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t38	0.687500	0.804688	8	4	8	16	8	0.000000	1.000000	0.000000
n2	aero_s0_t39	0.625000	0.765625	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t0	0.750000	0.820312	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	gift_s0_t1	0.562500	0.804688	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t2	0.687500	0.851562	8	2	8	16	8	0.000000	1.000000	0.000000
n2	gift_s0_t3	0.562500	0.757812	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t4	0.687500	0.867188	8	2	8	16	8	0.000000	1.000000	0.000000
n2	gift_s0_t5	0.625000	0.625000	8	8	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t6	0.750000	0.789062	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	gift_s0_t7	0.687500	0.726562	8	4	8	16	8	0.000000	1.000000	0.000000
n2	gift_s0_t8	0.625000	0.710938	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t9	0.625000	0.882812	8	2	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t10	0.750000	0.882812	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	gift_s0_t11	0.625000	0.757812	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t12	0.750000	0.937500	8	2	8	32	32	0.433594	4.000000	-1.066406
n2	gift_s0_t13	0.562500	0.710938	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t14	0.812500	0.937500	8	2	8	32	32	0.376694	4.000000	-1.123306
n2	gift_s0_t15	0.625000	0.843750	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t16	0.625000	0.742188	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t17	0.750000	0.812500	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	gift_s0_t18	0.625000	0.703125	8	4	8	16	8	-0.000000	1.000000	-0.000000
n2	gift_s0_t19	0.750000	0.843750	8	4	8	32	32	0.433594	4.000000	-1.066406
n2	gift_s0_t20	0.687500	0.828125	8	4	8	16	8	0.000000	1.000000	0.000000
n2	gift_s0_t21	0.750000	0.867188	8	2	8	32	32	0.433594	4.000000	-1.066406
