scope	tau	point	boot_mean	ci_lo	ci_hi	n
seed_42	0.55	0.4	0.3993	0.2	0.6667	15
seed_179	0.55	0.6667	0.6648	0.4	0.8667	15
seed_316	0.55	0.6	0.6023	0.3333	0.8667	15
seed_453	0.55	0.6667	0.6689	0.4	0.8667	15
seed_590	0.55	0.6667	0.6646	0.4	0.8667	15
pooled	0.55	0.6	0.5986	0.48	0.7067	75
seed_42	0.6	0.4	0.3993	0.2	0.6667	15
seed_179	0.6	0.6667	0.6648	0.4	0.8667	15
seed_316	0.6	0.6	0.6023	0.3333	0.8667	15
seed_453	0.6	0.6667	0.6689	0.4	0.8667	15
seed_590	0.6	0.6667	0.6646	0.4	0.8667	15
pooled	0.6	0.6	0.5986	0.48	0.7067	75
seed_42	0.65	0.1333	0.1334	0.0	0.3333	15
seed_179	0.65	0.2667	0.264	0.0667	0.5333	15
seed_316	0.65	0.2667	0.2673	0.0667	0.5333	15
seed_453	0.65	0.4	0.4019	0.2	0.6667	15
seed_590	0.65	0.3333	0.3322	0.1333	0.6	15
pooled	0.65	0.28	0.2797	0.1733	0.3867	75
seed_42	0.7	0.1333	0.1334	0.0	0.3333	15
seed_179	0.7	0.2667	0.264	0.0667	0.5333	15
seed_316	0.7	0.2667	0.2673	0.0667	0.5333	15
seed_453	0.7	0.4	0.4019	0.2	0.6667	15
seed_590	0.7	0.3333	0.3322	0.1333	0.6	15
pooled	0.7	0.28	0.2797	0.1733	0.3867	75
seed_42	0.75	0.1333	0.1334	0.0	0.3333	15
seed_179	0.75	0.2667	0.264	0.0667	0.5333	15
seed_316	0.75	0.2667	0.2673	0.0667	0.5333	15
seed_453	0.75	0.4	0.4019	0.2	0.6667	15
seed_590	0.75	0.3333	0.3322	0.1333	0.6	15
pooled	0.75	0.28	0.2797	0.1733	0.3867	75
seed_42	0.8	0.0	0.0	0.0	0.0	15
seed_179	0.8	0.0	0.0	0.0	0.0	15
seed_316	0.8	0.0	0.0	0.0	0.0	15
seed_453	0.8	0.0667	0.0665	0.0	0.2	15
seed_590	0.8	0.1333	0.1313	0.0	0.3333	15
pooled	0.8	0.04	0.0388	0.0	0.0933	75
seed_42	0.85	0.0	0.0	0.0	0.0	15
seed_179	0.85	0.0	0.0	0.0	0.0	15
seed_316	0.85	0.0	0.0	0.0	0.0	15
seed_453	0.85	0.0667	0.0665	0.0	0.2	15
seed_590	0.85	0.1333	0.1313	0.0	0.3333	15
pooled	0.85	0.04	0.0388	0.0	0.0933	75
