seed	step	zvf	reward	reward_next	fire_tau_070	dr_next
42	1	0.250000	0.296875	0.078125	1	-0.218750
42	2	0.625000	0.078125	0.125000	0	0.046875
42	3	0.625000	0.125000	0.390625	0	0.265625
42	4	0.375000	0.390625	0.250000	0	-0.140625
42	5	0.500000	0.250000	0.171875	0	-0.078125
42	6	0.500000	0.171875	0.546875	0	0.375000
42	7	0.625000	0.546875	0.234375	0	-0.312500
42	8	0.500000	0.234375	0.218750	0	-0.015625
42	9	0.750000	0.218750	0.140625	1	-0.078125
42	10	0.250000	0.140625	0.343750	1	0.203125
42	11	0.750000	0.343750	0.265625	1	-0.078125
42	12	0.250000	0.265625	0.078125	1	-0.187500
42	13	0.625000	0.078125	0.609375	0	0.531250
42	14	0.250000	0.609375	0.703125	1	0.093750
42	15	0.500000	0.703125	NA	0	NA
179	1	0.750000	0.093750	0.171875	1	0.078125
179	2	0.500000	0.171875	0.031250	0	-0.140625
179	3	0.750000	0.031250	0.250000	1	0.218750
179	4	0.500000	0.250000	0.343750	0	0.093750
179	5	0.625000	0.343750	0.156250	0	-0.187500
179	6	0.625000	0.156250	0.109375	0	-0.046875
179	7	0.500000	0.109375	0.421875	0	0.312500
179	8	0.750000	0.421875	0.562500	1	0.140625
179	9	0.500000	0.562500	0.125000	0	-0.437500
179	10	0.750000	0.125000	0.265625	1	0.140625
179	11	0.625000	0.265625	0.421875	0	0.156250
179	12	0.625000	0.421875	0.187500	0	-0.234375
179	13	0.625000	0.187500	0.203125	0	0.015625
179	14	0.625000	0.203125	0.390625	0	0.187500
179	15	0.375000	0.390625	NA	0	NA
316	1	0.500000	0.406250	0.125000	0	-0.281250
316	2	0.625000	0.125000	0.265625	0	0.140625
316	3	0.500000	0.265625	0.250000	0	-0.015625
316	4	0.375000	0.250000	0.421875	0	0.171875
316	5	0.625000	0.421875	0.234375	0	-0.187500
316	6	0.750000	0.234375	0.250000	1	0.015625
316	7	0.750000	0.250000	0.156250	1	-0.093750
316	8	0.750000	0.156250	0.218750	1	0.062500
316	9	0.500000	0.218750	0.203125	0	-0.015625
316	10	0.750000	0.203125	0.437500	1	0.234375
316	11	0.500000	0.437500	0.109375	0	-0.328125
316	12	0.625000	0.109375	0.250000	0	0.140625
316	13	0.625000	0.250000	0.531250	0	0.281250
316	14	0.375000	0.531250	0.437500	0	-0.093750
316	15	0.625000	0.437500	NA	0	NA
453	1	0.750000	0.265625	0.125000	1	-0.140625
453	2	0.750000	0.125000	0.140625	1	0.015625
453	3	0.625000	0.140625	0.187500	0	0.046875
453	4	0.750000	0.187500	0.031250	1	-0.156250
453	5	0.750000	0.031250	0.203125	1	0.171875
453	6	0.500000	0.203125	0.062500	0	-0.140625
453	7	0.625000	0.062500	0.531250	0	0.468750
453	8	0.375000	0.531250	0.281250	0	-0.250000
453	9	0.625000	0.281250	0.125000	0	-0.156250
453	10	0.750000	0.125000	0.187500	1	0.062500
453	11	0.500000	0.187500	0.093750	0	-0.093750
453	12	0.875000	0.093750	0.375000	1	0.281250
453	13	0.500000	0.375000	0.453125	0	0.078125
453	14	0.500000	0.453125	0.140625	0	-0.312500
453	15	0.625000	0.140625	NA	0	NA
590	1	0.875000	0.328125	0.093750	1	-0.234375
590	2	0.500000	0.093750	0.203125	0	0.109375
590	3	0.625000	0.203125	0.343750	0	0.140625
590	4	0.500000	0.343750	0.078125	0	-0.265625
590	5	0.750000	0.078125	0.250000	1	0.171875
590	6	0.625000	0.250000	0.062500	0	-0.187500
590	7	0.875000	0.062500	0.125000	1	0.062500
590	8	0.625000	0.125000	0.437500	0	0.312500
590	9	0.250000	0.437500	0.187500	1	-0.250000
590	10	0.625000	0.187500	0.140625	0	-0.046875
590	11	0.750000	0.140625	0.281250	1	0.140625
590	12	0.375000	0.281250	0.218750	0	-0.062500
590	13	0.625000	0.218750	0.234375	0	0.015625
590	14	0.750000	0.234375	0.406250	1	0.171875
590	15	0.375000	0.406250	NA	0	NA
