method,controller,oracle_total_abs_dY,controller_total_abs_dY,pct_oracle_abs_captured,regret_abs_dY,oracle_costeff_dY_per_1k,controller_costeff_dY_per_1k,costeff_ratio_to_oracle,ctrl_total_extras,oracle_total_extras,n_obs,n_oracle_active
aero,C0_fixed_G8,8.158499797806144,0.0,0.0,8.158499797806144,22.78910558046409,0.0,0.0,0.0,358.0,640.0,179.0
aero,C1_zvf_triage,8.158499797806144,7.0413248107727355,86.30661255475152,1.1171749870334082,22.78910558046409,2.895281583376947,0.1270467405205635,2432.0,358.0,640.0,179.0
aero,C2_dualformer,8.158499797806144,-23.36270384986316,-286.3602920741077,31.521203647669303,22.78910558046409,-76.85099950612882,-3.3722692290306107,304.0,358.0,640.0,179.0
aero,C3_hybrid,8.158499797806144,7.0181929343518945,86.0230815503497,1.1403068634542493,22.78910558046409,3.046090683312454,0.1336643367839635,2304.0,358.0,640.0,179.0
aero,C5_isog_y090,8.158499797806144,20.594678177222704,252.43217120334677,-12.43617837941656,22.78910558046409,17.453117099341277,0.7658535363626963,1180.0,358.0,640.0,179.0
areal,C0_fixed_G8,9.264940710738301,0.0,0.0,9.264940710738301,24.640799762601866,0.0,0.0,0.0,376.0,640.0,188.0
areal,C1_zvf_triage,9.264940710738301,6.037184479253241,65.1616094235335,3.22775623148506,24.640799762601866,2.7744413967156443,0.11259542804801746,2176.0,376.0,640.0,188.0
areal,C2_dualformer,9.264940710738301,-33.88926346422033,-365.779604233644,43.15420417495863,24.640799762601866,-124.59288038316296,-5.056365117347433,272.0,376.0,640.0,188.0
areal,C3_hybrid,9.264940710738301,5.947078901415566,64.18906593242146,3.3178618093227357,24.640799762601866,2.903847119831819,0.11784711323530501,2048.0,376.0,640.0,188.0
areal,C5_isog_y090,9.264940710738301,25.051135304481782,270.3863530982652,-15.786194593743481,24.640799762601866,17.592089399214736,0.7139414941358687,1424.0,376.0,640.0,188.0
gift,C0_fixed_G8,7.017984079197049,0.0,0.0,7.017984079197049,23.870694146928738,0.0,0.0,0.0,294.0,640.0,147.0
gift,C1_zvf_triage,7.017984079197049,6.619919744669183,94.32793904865326,0.3980643345278665,23.870694146928738,1.9891585771241536,0.08333057115475981,3328.0,294.0,640.0,147.0
gift,C2_dualformer,7.017984079197049,-20.518937334957307,-292.37651586842793,27.536921414154357,23.870694146928738,-80.15209896467698,-3.357761549426477,256.0,294.0,640.0,147.0
gift,C3_hybrid,7.017984079197049,5.799142766400323,82.6326007719274,1.2188413127967266,23.870694146928738,2.5169890479168067,0.10544264161001152,2304.0,294.0,640.0,147.0
gift,C5_isog_y090,7.017984079197049,18.28649153234774,260.5661586858424,-11.26850745315069,23.870694146928738,17.651053602652258,0.739444504378742,1036.0,294.0,640.0,147.0
grpo,C0_fixed_G8,8.862324798479676,0.0,0.0,8.862324798479676,24.755097202457197,0.0,0.0,0.0,358.0,640.0,179.0
grpo,C1_zvf_triage,8.862324798479676,8.298896437849343,93.6424316029696,0.5634283606303327,24.755097202457197,3.2417564210349,0.13095308794477778,2560.0,358.0,640.0,179.0
grpo,C2_dualformer,8.862324798479676,-27.854182457040366,-314.2988221535135,36.71650725552004,24.755097202457197,-87.04432017825114,-3.516218072842433,320.0,358.0,640.0,179.0
grpo,C3_hybrid,8.862324798479676,8.201008877589793,92.53789568846166,0.6613159208898836,24.755097202457197,3.5594656586761255,0.14378718166870344,2304.0,358.0,640.0,179.0
grpo,C5_isog_y090,8.862324798479676,23.231551134613827,262.13834025355493,-14.369226336134151,24.755097202457197,17.84297322166961,0.7207797681318945,1302.0,358.0,640.0,179.0
