method	controller	oracle_total_abs_dy	controller_total_dy	ctrl_total_extras	pct_oracle_captured	n_obs	pareto_optimal
aero	C0_fixed_G8	8.158499797806144	0.0	0	0.0	640	1
aero	C1_zvf_triage	8.158499797806144	7.0413248107727355	2432	86.30661255475152	640	0
aero	C2_dualformer	8.158499797806144	-0.8952911376344656	828	-10.973722618406061	640	0
aero	C3_hybrid	8.158499797806144	7.0181929343518945	2304	86.0230815503497	640	0
aero	C5_isog_y090	8.158499797806144	20.594678177222704	1050	252.43217120334677	640	1
aero	C6_calibrated	8.158499797806144	0.8064811370148892	420	9.885164638133048	640	1
areal	C0_fixed_G8	9.264940710738301	0.0	0	0.0	640	1
areal	C1_zvf_triage	9.264940710738301	6.037184479253241	2176	65.1616094235335	640	0
areal	C2_dualformer	9.264940710738301	6.827985143851638	1180	73.69701930135214	640	1
areal	C3_hybrid	9.264940710738301	5.947078901415566	2048	64.18906593242146	640	0
areal	C5_isog_y090	9.264940710738301	25.051135304481782	1296	270.3863530982652	640	1
areal	C6_calibrated	9.264940710738301	0.1667145008667713	338	1.7994124956843487	640	1
gift	C0_fixed_G8	7.017984079197049	0.0	0	0.0	640	1
gift	C1_zvf_triage	7.017984079197049	6.619919744669183	3328	94.32793904865326	640	0
gift	C2_dualformer	7.017984079197049	-0.119298208275603	732	-1.6998928314646777	640	0
gift	C3_hybrid	7.017984079197049	5.799142766400323	2304	82.6326007719274	640	0
gift	C5_isog_y090	7.017984079197049	18.28649153234774	938	260.5661586858424	640	1
gift	C6_calibrated	7.017984079197049	0.6500205552000548	438	9.262211881142166	640	1
grpo	C0_fixed_G8	8.862324798479676	0.0	0	0.0	640	1
grpo	C1_zvf_triage	8.862324798479676	8.298896437849343	2560	93.6424316029696	640	0
grpo	C2_dualformer	8.862324798479676	0.6527208703950199	976	7.3651201601976215	640	0
grpo	C3_hybrid	8.862324798479676	8.201008877589793	2304	92.53789568846166	640	0
grpo	C5_isog_y090	8.862324798479676	23.231551134613827	1196	262.13834025355493	640	1
grpo	C6_calibrated	8.862324798479676	1.0295705122985372	440	11.617386359786307	640	1
