seed	step	zvf	reward	fire_0.50	fire_0.55	fire_0.60	fire_0.65	fire_0.70	fire_0.75	fire_0.80	fire_0.85
42	1	0.25	0.296875	0	0	0	0	0	0	0	0
42	2	0.625	0.078125	1	1	1	0	0	0	0	0
42	3	0.625	0.125	1	1	1	0	0	0	0	0
42	4	0.375	0.390625	0	0	0	0	0	0	0	0
42	5	0.5	0.25	1	0	0	0	0	0	0	0
42	6	0.5	0.171875	1	0	0	0	0	0	0	0
42	7	0.625	0.546875	1	1	1	0	0	0	0	0
42	8	0.5	0.234375	1	0	0	0	0	0	0	0
42	9	0.75	0.21875	1	1	1	1	1	1	0	0
42	10	0.25	0.140625	0	0	0	0	0	0	0	0
42	11	0.75	0.34375	1	1	1	1	1	1	0	0
42	12	0.25	0.265625	0	0	0	0	0	0	0	0
42	13	0.625	0.078125	1	1	1	0	0	0	0	0
42	14	0.25	0.609375	0	0	0	0	0	0	0	0
42	15	0.5	0.703125	1	0	0	0	0	0	0	0
179	1	0.75	0.09375	1	1	1	1	1	1	0	0
179	2	0.5	0.171875	1	0	0	0	0	0	0	0
179	3	0.75	0.03125	1	1	1	1	1	1	0	0
179	4	0.5	0.25	1	0	0	0	0	0	0	0
179	5	0.625	0.34375	1	1	1	0	0	0	0	0
179	6	0.625	0.15625	1	1	1	0	0	0	0	0
179	7	0.5	0.109375	1	0	0	0	0	0	0	0
179	8	0.75	0.421875	1	1	1	1	1	1	0	0
179	9	0.5	0.5625	1	0	0	0	0	0	0	0
179	10	0.75	0.125	1	1	1	1	1	1	0	0
179	11	0.625	0.265625	1	1	1	0	0	0	0	0
179	12	0.625	0.421875	1	1	1	0	0	0	0	0
179	13	0.625	0.1875	1	1	1	0	0	0	0	0
179	14	0.625	0.203125	1	1	1	0	0	0	0	0
179	15	0.375	0.390625	0	0	0	0	0	0	0	0
316	1	0.5	0.40625	1	0	0	0	0	0	0	0
316	2	0.625	0.125	1	1	1	0	0	0	0	0
316	3	0.5	0.265625	1	0	0	0	0	0	0	0
316	4	0.375	0.25	0	0	0	0	0	0	0	0
316	5	0.625	0.421875	1	1	1	0	0	0	0	0
316	6	0.75	0.234375	1	1	1	1	1	1	0	0
316	7	0.75	0.25	1	1	1	1	1	1	0	0
316	8	0.75	0.15625	1	1	1	1	1	1	0	0
316	9	0.5	0.21875	1	0	0	0	0	0	0	0
316	10	0.75	0.203125	1	1	1	1	1	1	0	0
316	11	0.5	0.4375	1	0	0	0	0	0	0	0
316	12	0.625	0.109375	1	1	1	0	0	0	0	0
316	13	0.625	0.25	1	1	1	0	0	0	0	0
316	14	0.375	0.53125	0	0	0	0	0	0	0	0
316	15	0.625	0.4375	1	1	1	0	0	0	0	0
453	1	0.75	0.265625	1	1	1	1	1	1	0	0
453	2	0.75	0.125	1	1	1	1	1	1	0	0
453	3	0.625	0.140625	1	1	1	0	0	0	0	0
453	4	0.75	0.1875	1	1	1	1	1	1	0	0
453	5	0.75	0.03125	1	1	1	1	1	1	0	0
453	6	0.5	0.203125	1	0	0	0	0	0	0	0
453	7	0.625	0.0625	1	1	1	0	0	0	0	0
453	8	0.375	0.53125	0	0	0	0	0	0	0	0
453	9	0.625	0.28125	1	1	1	0	0	0	0	0
453	10	0.75	0.125	1	1	1	1	1	1	0	0
453	11	0.5	0.1875	1	0	0	0	0	0	0	0
453	12	0.875	0.09375	1	1	1	1	1	1	1	1
453	13	0.5	0.375	1	0	0	0	0	0	0	0
453	14	0.5	0.453125	1	0	0	0	0	0	0	0
453	15	0.625	0.140625	1	1	1	0	0	0	0	0
590	1	0.875	0.328125	1	1	1	1	1	1	1	1
590	2	0.5	0.09375	1	0	0	0	0	0	0	0
590	3	0.625	0.203125	1	1	1	0	0	0	0	0
590	4	0.5	0.34375	1	0	0	0	0	0	0	0
590	5	0.75	0.078125	1	1	1	1	1	1	0	0
590	6	0.625	0.25	1	1	1	0	0	0	0	0
590	7	0.875	0.0625	1	1	1	1	1	1	1	1
590	8	0.625	0.125	1	1	1	0	0	0	0	0
590	9	0.25	0.4375	0	0	0	0	0	0	0	0
590	10	0.625	0.1875	1	1	1	0	0	0	0	0
590	11	0.75	0.140625	1	1	1	1	1	1	0	0
590	12	0.375	0.28125	0	0	0	0	0	0	0	0
590	13	0.625	0.21875	1	1	1	0	0	0	0	0
590	14	0.75	0.234375	1	1	1	1	1	1	0	0
590	15	0.375	0.40625	0	0	0	0	0	0	0	0
