method	policy	mean_proj_zvf	mean_proj_contrast	mean_cost	cumulative_contrast	cumulative_cost	restored_vs_base	restored_vs_static16	net_benefit_vs_static16	n_fire_steps	n_total_steps
grpo	BASE	0.7797	0.2203	1.0	8.8136	40.0	0.0	-0.062	0.438	0	40
grpo	STATIC16	0.7176	0.2824	2.0	11.2943	80.0	0.062	0.0	0.0	40	40
grpo	AG8	0.7487	0.2513	1.5	10.0539	60.0	0.031	-0.031	0.219	20	40
grpo	AG_HYB	0.7597	0.2403	1.25	9.6101	50.0	0.0199	-0.0421	0.3329	20	40
aero	BASE	0.7749	0.2251	1.0	9.0047	40.0	0.0	-0.0578	0.4422	0	40
aero	STATIC16	0.7171	0.2829	2.0	11.318	80.0	0.0578	0.0	0.0	40	40
aero	AG8	0.7474	0.2526	1.475	10.1035	59.0	0.0275	-0.0304	0.2321	19	40
aero	AG_HYB	0.7574	0.2426	1.2375	9.704	49.5	0.0175	-0.0403	0.3409	19	40
gift	BASE	0.7645	0.2355	1.0	9.4206	40.0	0.0	-0.0132	0.4868	0	40
gift	STATIC16	0.7513	0.2487	2.0	9.9485	80.0	0.0132	0.0	0.0	40	40
gift	AG8	0.7559	0.2441	1.65	9.7637	66.0	0.0086	-0.0046	0.1704	26	40
gift	AG_HYB	0.7578	0.2422	1.325	9.6877	53.0	0.0067	-0.0065	0.331	26	40
areal	BASE	0.7397	0.2603	1.0	10.4133	40.0	0.0	-0.0367	0.4633	0	40
areal	STATIC16	0.703	0.297	2.0	11.8819	80.0	0.0367	0.0	0.0	40	40
areal	AG8	0.7241	0.2759	1.425	11.0374	57.0	0.0156	-0.0211	0.2664	17	40
areal	AG_HYB	0.7292	0.2708	1.2125	10.8309	48.5	0.0104	-0.0263	0.3675	17	40
