method	step	n_prompts	n_degenerate_at_base	zvf_obs	mean_zvf_at_g8	mean_zvf_at_g16	zvf_drop	restore_sum	n_k0	n_k8
grpo	0	16	11	0.6875	0.7796602547113733	0.7176431839937164	0.06201707071765694	4.5177090561005375	0	11
grpo	1	16	8	0.5	0.5784075483639772	0.5233961253531896	0.05501142301078765	7.625661994348967	0	8
grpo	2	16	11	0.6875	0.7434554248993235	0.7035131177140957	0.03994230718522773	4.743790116574468	1	10
grpo	3	16	12	0.75	0.8054671436488234	0.766011210364463	0.03945593328436048	3.7438206341685927	2	10
grpo	4	16	11	0.6875	0.7282378748004275	0.6967603370246706	0.0314775377757569	4.851834607605271	1	10
grpo	5	16	11	0.6875	0.7376856952850657	0.7028886128133255	0.03479708247174018	4.753782194986792	2	9
grpo	6	16	13	0.8125	0.8417132049733966	0.820539496051414	0.02117370892198267	2.8713680631773766	2	11
grpo	7	16	11	0.6875	0.7586729749982195	0.710265898403521	0.04840707659469856	4.635745625543665	2	9
grpo	8	16	9	0.5625	0.642401970918447	0.5859581850586558	0.05644378585979115	6.624669039061507	0	9
grpo	9	16	11	0.6875	0.7444467768018084	0.7035451012416453	0.04090167556016311	4.743278380133676	0	11
grpo	10	16	11	0.6875	0.7444467768018084	0.7035451012416453	0.04090167556016311	4.743278380133676	0	11
grpo	11	16	11	0.6875	0.7376856952850657	0.7028886128133255	0.03479708247174018	4.753782194986792	3	8
grpo	12	16	13	0.8125	0.8264956548745006	0.8137867153619888	0.012708939512511841	2.9794125542081797	0	13
grpo	13	16	9	0.5625	0.6566281691148581	0.5926789822205315	0.0639491868943266	6.517136284471496	2	7
grpo	14	16	12	0.75	0.7996974140345656	0.7653867054636927	0.03431070857087293	3.753812712580917	1	11
grpo	15	16	12	0.75	0.7749231085121238	0.757448882027826	0.01747422648429775	3.880817887554784	0	12
grpo	16	16	10	0.625	0.6634304821441243	0.6337336900561816	0.029696792087942625	5.860260959101094	2	8
grpo	17	16	8	0.5	0.5851686298807199	0.5240526137815094	0.06111601609921058	7.61515817949585	0	8
