method	controller	tau	fires	expected_restore_sum	restore_per_fire
grpo	bayes	0.6	461	295.04	0.6400
grpo	bayes	0.65	0	0.00	0.0000
grpo	bayes	0.7	0	0.00	0.0000
grpo	bayes	0.8	0	0.00	0.0000
grpo	bayes	0.9	0	0.00	0.0000
grpo	zvf_triage	0.5	40	462.74	11.5685
grpo	zvf_triage	0.7	20	222.91	11.1453
grpo	zvf_triage	0.9	2	21.16	10.5793
grpo	dualformer	-	536	361.04	0.6736
aero	bayes	0.6	461	295.04	0.6400
aero	bayes	0.65	0	0.00	0.0000
aero	bayes	0.7	0	0.00	0.0000
aero	bayes	0.8	0	0.00	0.0000
aero	bayes	0.9	0	0.00	0.0000
aero	zvf_triage	0.5	40	463.70	11.5925
aero	zvf_triage	0.7	19	211.55	11.1340
aero	zvf_triage	0.9	1	10.59	10.5896
aero	dualformer	-	529	354.88	0.6708
gift	bayes	0.6	493	315.52	0.6400
gift	bayes	0.65	0	0.00	0.0000
gift	bayes	0.7	0	0.00	0.0000
gift	bayes	0.8	0	0.00	0.0000
gift	bayes	0.9	0	0.00	0.0000
gift	zvf_triage	0.5	40	453.54	11.3386
gift	zvf_triage	0.7	26	285.93	10.9973
gift	zvf_triage	0.9	8	84.02	10.5022
gift	dualformer	-	553	368.32	0.6660
areal	bayes	0.6	452	289.28	0.6400
areal	bayes	0.65	0	0.00	0.0000
areal	bayes	0.7	0	0.00	0.0000
areal	bayes	0.8	0	0.00	0.0000
areal	bayes	0.9	0	0.00	0.0000
areal	zvf_triage	0.5	40	465.19	11.6297
areal	zvf_triage	0.7	17	189.40	11.1411
areal	zvf_triage	0.9	1	10.56	10.5634
areal	dualformer	-	536	363.20	0.6776
