method	step	zvf_step	n_sat	n_bnd	n_mid	g_baseline	g_zvf70	g_dual	g_hybrid	zvf_baseline	zvf_zvf70	zvf_dual	zvf_hybrid
grpo	27	0.9375	15	0	1	128	256	46	64	0.938	0.9375	0.9375	0.9453
grpo	35	0.9375	15	0	1	128	256	66	64	0.9438	0.9381	0.9438	0.9575
aero	27	0.9375	15	0	1	128	256	46	64	0.939	0.9375	0.9375	0.9483
gift	27	0.9375	15	0	1	128	256	46	64	0.9438	0.9381	0.9381	0.9575
gift	29	0.9375	15	0	1	128	256	46	64	0.939	0.9375	0.9375	0.9483
gift	31	0.9375	15	1	0	128	256	48	64	0.959	0.9449	0.9742	0.9742
gift	33	0.9375	15	1	0	128	256	48	64	0.959	0.9449	0.9742	0.9742
gift	34	1.0	16	0	0	128	256	46	64	1.0	1.0	1.0	1.0
gift	35	0.9375	15	1	0	128	256	74	64	0.959	0.9449	0.9449	0.9742
gift	36	0.9375	15	0	1	128	256	60	64	0.938	0.9375	0.9375	0.9453
gift	38	0.9375	15	0	1	128	256	74	64	0.939	0.9375	0.9375	0.9483
areal	27	0.9375	15	0	1	128	256	46	64	0.9438	0.9381	0.9381	0.9575
