tau	method_a	method_b	fires_a	fires_b	jaccard
0.50	aero	grpo	38	38	1.0000
0.50	aero	gift	38	38	1.0000
0.50	aero	areal	38	38	1.0000
0.50	gift	grpo	38	38	1.0000
0.50	areal	grpo	38	38	1.0000
0.50	areal	gift	38	38	1.0000
0.60	aero	grpo	33	33	0.8333
0.60	aero	gift	33	36	0.8649
0.60	aero	areal	33	32	0.8571
0.60	gift	grpo	36	33	0.8649
0.60	areal	grpo	32	33	0.8571
0.60	areal	gift	32	36	0.8378
0.65	aero	grpo	26	30	0.7500
0.65	aero	gift	26	29	0.7188
0.65	aero	areal	26	28	0.6875
0.65	gift	grpo	29	30	0.7353
0.65	areal	grpo	28	30	0.8125
0.65	areal	gift	28	29	0.7273
0.70	aero	grpo	19	20	0.6250
0.70	aero	gift	19	25	0.5714
0.70	aero	areal	19	17	0.3846
0.70	gift	grpo	25	20	0.6667
0.70	areal	grpo	17	20	0.4800
0.70	areal	gift	17	25	0.5556
0.75	aero	grpo	19	20	0.6250
0.75	aero	gift	19	25	0.5714
0.75	aero	areal	19	17	0.3846
0.75	gift	grpo	25	20	0.6667
0.75	areal	grpo	17	20	0.4800
0.75	areal	gift	17	25	0.5556
0.80	aero	grpo	14	12	0.6250
0.80	aero	gift	14	17	0.5500
0.80	aero	areal	14	11	0.3889
0.80	gift	grpo	17	12	0.5263
0.80	areal	grpo	11	12	0.5333
0.80	areal	gift	11	17	0.4737
0.85	aero	grpo	4	4	0.3333
0.85	aero	gift	4	14	0.2000
0.85	aero	areal	4	5	0.2857
0.85	gift	grpo	14	4	0.2857
0.85	areal	grpo	5	4	0.1250
0.85	areal	gift	5	14	0.1875
0.90	aero	grpo	1	2	0.5000
0.90	aero	gift	1	8	0.1250
0.90	aero	areal	1	1	1.0000
0.90	gift	grpo	8	2	0.2500
0.90	areal	grpo	1	2	0.5000
0.90	areal	gift	1	8	0.1250
