model	k_pct	delta_cost_per_caught	ci_lo	ci_hi	excludes_zero
XGB-20raw	0.5	0.0	0.0	0.0	no
XGB-20raw+V_std	0.5	0.0	0.0	0.0	no
XGB-20raw+V_std+V_max	0.5	0.0	0.0	0.0	no
LLM-scribe-surrogate	0.5	-0.0009	-0.0009	-0.0009	yes
XGB-20raw	1.0	0.0	-0.0	0.0	no
XGB-20raw+V_std	1.0	0.0	-0.0	0.0	no
XGB-20raw+V_std+V_max	1.0	0.0	-0.0	0.0	no
LLM-scribe-surrogate	1.0	-0.0009	-0.0009	-0.0009	yes
XGB-20raw	2.0	0.0	0.0	0.0	no
XGB-20raw+V_std	2.0	0.0	-0.0	0.0	no
XGB-20raw+V_std+V_max	2.0	0.0	0.0	0.0	no
LLM-scribe-surrogate	2.0	-0.0013	-0.0015	-0.0011	yes
XGB-20raw	3.0	0.0	0.0	0.0	no
XGB-20raw+V_std	3.0	0.0	0.0	0.0	no
XGB-20raw+V_std+V_max	3.0	0.0	0.0	0.0	no
LLM-scribe-surrogate	3.0	-0.0019	-0.0022	-0.0016	yes
XGB-20raw	5.0	-0.0	-0.0	0.0	no
XGB-20raw+V_std	5.0	0.0	0.0	0.0	no
XGB-20raw+V_std+V_max	5.0	0.0	0.0	0.0	no
LLM-scribe-surrogate	5.0	-0.0031	-0.0037	-0.0027	yes
