model	k_pct	k_alerts	true_pos	precision	recall	cost_per_caught_dollars
XGB-20raw	0.5	50	50	1.0	0.3472	0.0001
XGB-24full	0.5	50	50	1.0	0.3472	0.0001
XGB-20raw+V_std	0.5	50	50	1.0	0.3472	0.0001
XGB-20raw+V_std+V_max	0.5	50	50	1.0	0.3472	0.0001
LLM-scribe-surrogate	0.5	50	50	1.0	0.3472	0.001
XGB-20raw	1.0	100	100	1.0	0.6944	0.0001
XGB-24full	1.0	100	100	1.0	0.6944	0.0001
XGB-20raw+V_std	1.0	100	100	1.0	0.6944	0.0001
XGB-20raw+V_std+V_max	1.0	100	99	0.99	0.6875	0.0001
LLM-scribe-surrogate	1.0	100	100	1.0	0.6944	0.001
XGB-20raw	2.0	200	143	0.715	0.9931	0.0001
XGB-24full	2.0	200	143	0.715	0.9931	0.0001
XGB-20raw+V_std	2.0	200	142	0.71	0.9861	0.0001
XGB-20raw+V_std+V_max	2.0	200	144	0.72	1.0	0.0001
LLM-scribe-surrogate	2.0	200	143	0.715	0.9931	0.0014
XGB-20raw	3.0	300	143	0.4767	0.9931	0.0002
XGB-24full	3.0	300	143	0.4767	0.9931	0.0002
XGB-20raw+V_std	3.0	300	144	0.48	1.0	0.0002
XGB-20raw+V_std+V_max	3.0	300	144	0.48	1.0	0.0002
LLM-scribe-surrogate	3.0	300	143	0.4767	0.9931	0.0021
XGB-20raw	5.0	500	143	0.286	0.9931	0.0003
XGB-24full	5.0	500	144	0.288	1.0	0.0003
XGB-20raw+V_std	5.0	500	144	0.288	1.0	0.0003
XGB-20raw+V_std+V_max	5.0	500	144	0.288	1.0	0.0003
LLM-scribe-surrogate	5.0	500	144	0.288	1.0	0.0035
