pair	feature	n_flips	flip_mean	agreed_mean	delta	flip_std
XGB-20raw vs XGB-24full	V1	58	0.689755	-0.0117579	0.701513	1.29077
XGB-20raw vs XGB-24full	V2	58	-0.127196	0.765535	-0.89273	2.05571
XGB-20raw vs XGB-24full	V3	58	0.861964	0.0104925	0.851472	1.47794
XGB-20raw vs XGB-24full	V4	58	0.1259	0.00442679	0.121473	0.964159
XGB-20raw vs XGB-24full	V5	58	-0.289341	0.788573	-1.07791	1.83435
XGB-20raw vs XGB-24full	V6	58	0.0792948	-0.0198419	0.0991367	1.81083
XGB-20raw vs XGB-24full	V7	58	0.354101	-0.796533	1.15063	1.54018
XGB-20raw vs XGB-24full	V8	58	-0.0373387	0.00270201	-0.0400407	0.918874
XGB-20raw vs XGB-24full	V9	58	0.0620367	0.0125228	0.0495138	1.05455
XGB-20raw vs XGB-24full	V10	58	-0.622653	0.88301	-1.50566	1.78627
XGB-20raw vs XGB-24full	V11	58	-0.863716	-0.00216636	-0.861549	1.48977
XGB-20raw vs XGB-24full	V12	58	0.0179133	0.014696	0.00321733	1.63779
XGB-20raw vs XGB-24full	V13	58	0.133374	0.00484582	0.128528	1.17625
XGB-20raw vs XGB-24full	V14	58	0.0928704	0.0168409	0.0760295	0.978284
XGB-20raw vs XGB-24full	V15	58	0.672661	-0.459633	1.13229	4.26505
XGB-20raw vs XGB-24full	V16	58	-0.17179	0.00998494	-0.181775	1.89385
XGB-20raw vs XGB-24full	V17	58	0.0426764	-0.000334962	0.0430114	0.865241
XGB-20raw vs XGB-24full	V18	58	-0.0120135	-0.0210651	0.0090516	0.864846
XGB-20raw vs XGB-24full	V19	58	-0.188231	0.000938343	-0.189169	0.999713
XGB-20raw vs XGB-24full	V20	58	0.483014	-0.786596	1.26961	1.50477
XGB-20raw vs XGB-24full	V_mean	58	0.0651642	0.020832	0.0443322	0.341654
XGB-20raw vs XGB-24full	V_std	58	1.68024	1.85565	-0.175413	0.474258
XGB-20raw vs XGB-24full	V_max	58	3.43654	3.86042	-0.423879	1.54461
XGB-20raw vs XGB-24full	V_min	58	-3.65103	-3.84174	0.190712	1.74915
XGB-20raw vs XGB-pair	V1	62	0.902477	-0.0133673	0.915845	1.44306
XGB-20raw vs XGB-pair	V2	62	-0.0116836	0.765173	-0.776857	1.91356
XGB-20raw vs XGB-pair	V3	62	0.611302	0.0117136	0.599588	1.64397
XGB-20raw vs XGB-pair	V4	62	0.105507	0.00450513	0.101002	0.897693
XGB-20raw vs XGB-pair	V5	62	-0.670286	0.791384	-1.46167	1.71941
