pair	K_pct	n_flips	n_test	flip_rate	ci_lo	ci_hi
XGB-20raw vs XGB-24full	0.5	10	10000	0.001	0.0004	0.0017
XGB-20raw vs XGB-24full	1	20	10000	0.002	0.0012	0.0028
XGB-20raw vs XGB-24full	2	58	10000	0.0058	0.0045	0.0073025
XGB-20raw vs XGB-24full	3	146	10000	0.0146	0.0124	0.0168025
XGB-20raw vs XGB-24full	5	336	10000	0.0336	0.0301	0.0372025
XGB-20raw vs XGB-pair	0.5	10	10000	0.001	0.0004	0.0017
XGB-20raw vs XGB-pair	1	24	10000	0.0024	0.0015	0.0033
XGB-20raw vs XGB-pair	2	62	10000	0.0062	0.0046	0.0078
XGB-20raw vs XGB-pair	3	152	10000	0.0152	0.0127	0.0175
XGB-20raw vs XGB-pair	5	346	10000	0.0346	0.0307	0.0380025
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	0.5	10	10000	0.001	0.0004	0.0017
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	1	20	10000	0.002	0.0012	0.0028
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	2	58	10000	0.0058	0.0045	0.0073025
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	3	146	10000	0.0146	0.0124	0.0168025
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	5	336	10000	0.0336	0.0301	0.0372025
XGB-24full vs XGB-pair	0.5	12	10000	0.0012	0.0005975	0.0019
XGB-24full vs XGB-pair	1	18	10000	0.0018	0.001	0.0028
XGB-24full vs XGB-pair	2	64	10000	0.0064	0.0047	0.0078
XGB-24full vs XGB-pair	3	148	10000	0.0148	0.0125	0.0171
XGB-24full vs XGB-pair	5	310	10000	0.031	0.0275975	0.0343025
XGB-24full vs LLM-as-scribe (XGB-24full @ $0.001)	0.5	0	10000	0	0	0
XGB-24full vs LLM-as-scribe (XGB-24full @ $0.001)	1	0	10000	0	0	0
XGB-24full vs LLM-as-scribe (XGB-24full @ $0.001)	2	0	10000	0	0	0
XGB-24full vs LLM-as-scribe (XGB-24full @ $0.001)	3	0	10000	0	0	0
XGB-24full vs LLM-as-scribe (XGB-24full @ $0.001)	5	0	10000	0	0	0
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	0.5	12	10000	0.0012	0.0005975	0.0019
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	1	18	10000	0.0018	0.001	0.0028
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	2	64	10000	0.0064	0.0047	0.0078
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	3	148	10000	0.0148	0.0125	0.0171
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	5	310	10000	0.031	0.0275975	0.0343025
