cost_llm	cost_ratio	rate	tree	rule	n_test_eff	n_llm_calls	n_pos_caught_at_K	cpd_usd	cpf_usd
0.001	10.0	0.0144	XGB-20raw	xgb_only	10000	0	141	0.0001	0.0070921985815602835
0.001	10.0	0.0144	XGB-20raw	gradient_band	10000	9	141	0.00010081	0.007149645390070922
0.001	10.0	0.0144	XGB-20raw	absolute_band	10000	21	141	0.00010188999999999999	0.007226241134751773
0.001	10.0	0.0144	XGB-24full	xgb_only	10000	0	143	0.0001	0.006993006993006993
0.001	10.0	0.0144	XGB-24full	gradient_band	10000	9	143	0.00010081	0.00704965034965035
0.001	10.0	0.0144	XGB-24full	absolute_band	10000	22	143	0.00010198000000000001	0.007131468531468532
0.001	10.0	0.0144	XGB-4sensor	xgb_only	10000	0	78	0.0001	0.01282051282051282
0.001	10.0	0.0144	XGB-4sensor	gradient_band	10000	39	78	0.00010350999999999999	0.013270512820512819
0.001	10.0	0.0144	XGB-4sensor	absolute_band	10000	1	78	0.00010008999999999999	0.01283205128205128
0.001	10.0	0.01	XGB-20raw	xgb_only	10000	0	100	0.0001	0.01
0.001	10.0	0.01	XGB-20raw	gradient_band	10000	16	100	0.00010143999999999999	0.010144
0.001	10.0	0.01	XGB-20raw	absolute_band	10000	14	100	0.00010125999999999999	0.010126
0.001	10.0	0.01	XGB-24full	xgb_only	10000	0	99	0.0001	0.010101010101010102
0.001	10.0	0.01	XGB-24full	gradient_band	10000	16	99	0.00010143999999999999	0.010246464646464646
0.001	10.0	0.01	XGB-24full	absolute_band	10000	12	99	0.00010107999999999999	0.01021010101010101
0.001	10.0	0.01	XGB-4sensor	xgb_only	10000	0	56	0.0001	0.017857142857142856
0.001	10.0	0.01	XGB-4sensor	gradient_band	10000	42	56	0.00010378	0.018532142857142858
0.001	10.0	0.01	XGB-4sensor	absolute_band	10000	0	56	0.0001	0.017857142857142856
0.001	10.0	0.005	XGB-20raw	xgb_only	10000	0	50	0.0001	0.02
0.001	10.0	0.005	XGB-20raw	gradient_band	10000	33	50	0.00010297000000000001	0.020594
0.001	10.0	0.005	XGB-20raw	absolute_band	10000	7	50	0.00010063	0.020125999999999998
0.001	10.0	0.005	XGB-24full	xgb_only	10000	0	50	0.0001	0.02
0.001	10.0	0.005	XGB-24full	gradient_band	10000	40	50	0.0001036	0.020720000000000002
0.001	10.0	0.005	XGB-24full	absolute_band	10000	6	50	0.00010054000000000001	0.020108
0.001	10.0	0.005	XGB-4sensor	xgb_only	10000	0	31	0.0001	0.03225806451612903
0.001	10.0	0.005	XGB-4sensor	gradient_band	10000	49	31	0.00010441	0.033680645161290323
0.001	10.0	0.005	XGB-4sensor	absolute_band	10000	0	31	0.0001	0.03225806451612903
