stat	quartile	n_test_q	n_pos_q	xgb_recall_at_K2	n_llm_grad	n_llm_abs	llm_call_density_grad	cpd_xgb	cpd_grad	lpm_grad	n_missed_in_quartile
V_mean	0	2500	25	0.52	13	0	0.0052	0.0001	0.00010468	1.0833333333333333	12
V_mean	1	2500	42	0.3333333333333333	19	0	0.0076	0.0001	0.00010684	0.6785714285714286	28
V_mean	2	2500	50	0.28	37	0	0.0148	0.0001	0.00011331999999999999	1.0277777777777777	36
V_mean	3	2500	27	0.37037037037037035	15	0	0.006	0.0001	0.0001054	0.8823529411764706	17
V_std	0	2500	35	0.14285714285714285	30	0	0.012	0.0001	0.00011080000000000001	1.0	30
V_std	1	2500	35	0.3142857142857143	20	0	0.008	0.0001	0.0001072	0.8333333333333334	24
V_std	2	2500	38	0.47368421052631576	19	0	0.0076	0.0001	0.00010684	0.95	20
V_std	3	2500	36	0.5	15	0	0.006	0.0001	0.0001054	0.8333333333333334	18
V_max	0	2500	35	0.22857142857142856	30	0	0.012	0.0001	0.00011080000000000001	1.1111111111111112	27
V_max	1	2500	40	0.4	18	0	0.0072	0.0001	0.00010648	0.75	24
V_max	2	2500	30	0.4666666666666667	18	0	0.0072	0.0001	0.00010648	1.125	16
V_max	3	2500	39	0.358974358974359	18	0	0.0072	0.0001	0.00010648	0.72	25
V_min	0	2500	31	0.5161290322580645	14	0	0.0056	0.0001	0.00010504	0.9333333333333333	15
V_min	1	2500	38	0.42105263157894735	26	0	0.0104	0.0001	0.00010936	1.1818181818181819	22
V_min	2	2500	42	0.3333333333333333	31	0	0.0124	0.0001	0.00011115999999999999	1.1071428571428572	28
V_min	3	2500	33	0.15151515151515152	13	0	0.0052	0.0001	0.00010468	0.4642857142857143	28
