stat	quartile	tier	cost_llm_per_call	n_test_q	n_pos_q	xgb_caught_q	n_llm_q	cpd_xgb	cpd_grad	cppr_xgb	cppr_grad	acd	sweet_spot_price
V_mean	0	cheap_heuristic	0.0001	2500	25	13	13	0.0001	0.0001	0.019230769230769232	0.019230769230769232	1.0	0.00010000000000000002
V_mean	0	small_open	0.0006	2500	25	13	13	0.0001	0.0001026	0.019230769230769232	0.019730769230769232	1.026	0.00010000000000000002
V_mean	0	iter120_default	0.001	2500	25	13	13	0.0001	0.00010468	0.019230769230769232	0.02013076923076923	1.0468	0.00010000000000000002
V_mean	0	mid_tier	0.005	2500	25	13	13	0.0001	0.00012548	0.019230769230769232	0.02413076923076923	1.2548	0.00010000000000000002
V_mean	0	frontier_gpt4	0.03	2500	25	13	13	0.0001	0.00025548000000000004	0.019230769230769232	0.049130769230769235	2.5548	0.00010000000000000002
V_mean	1	cheap_heuristic	0.0001	2500	42	14	19	0.0001	0.0001	0.017857142857142856	0.017857142857142856	1.0	7.368421052631579e-05
V_mean	1	small_open	0.0006	2500	42	14	19	0.0001	0.0001038	0.017857142857142856	0.018535714285714287	1.038	7.368421052631579e-05
V_mean	1	iter120_default	0.001	2500	42	14	19	0.0001	0.00010684	0.017857142857142856	0.019078571428571427	1.0684	7.368421052631579e-05
V_mean	1	mid_tier	0.005	2500	42	14	19	0.0001	0.00013724	0.017857142857142856	0.02450714285714286	1.3724	7.368421052631579e-05
V_mean	1	frontier_gpt4	0.03	2500	42	14	19	0.0001	0.00032723999999999996	0.017857142857142856	0.05843571428571428	3.2723999999999993	7.368421052631579e-05
V_mean	2	cheap_heuristic	0.0001	2500	50	14	37	0.0001	0.0001	0.017857142857142856	0.017857142857142856	1.0	3.7837837837837835e-05
V_mean	2	small_open	0.0006	2500	50	14	37	0.0001	0.00010740000000000001	0.017857142857142856	0.01917857142857143	1.074	3.7837837837837835e-05
V_mean	2	iter120_default	0.001	2500	50	14	37	0.0001	0.00011331999999999999	0.017857142857142856	0.020235714285714284	1.1331999999999998	3.7837837837837835e-05
V_mean	2	mid_tier	0.005	2500	50	14	37	0.0001	0.00017252	0.017857142857142856	0.03080714285714286	1.7252	3.7837837837837835e-05
V_mean	2	frontier_gpt4	0.03	2500	50	14	37	0.0001	0.00054252	0.017857142857142856	0.09687857142857144	5.425199999999999	3.7837837837837835e-05
V_mean	3	cheap_heuristic	0.0001	2500	27	10	15	0.0001	0.0001	0.025	0.025	1.0	6.666666666666667e-05
V_mean	3	small_open	0.0006	2500	27	10	15	0.0001	0.000103	0.025	0.025750000000000002	1.0299999999999998	6.666666666666667e-05
V_mean	3	iter120_default	0.001	2500	27	10	15	0.0001	0.0001054	0.025	0.026350000000000002	1.054	6.666666666666667e-05
V_mean	3	mid_tier	0.005	2500	27	10	15	0.0001	0.0001294	0.025	0.032350000000000004	1.294	6.666666666666667e-05
V_mean	3	frontier_gpt4	0.03	2500	27	10	15	0.0001	0.0002794	0.025	0.06985	2.794	6.666666666666667e-05
V_std	0	cheap_heuristic	0.0001	2500	35	5	30	0.0001	0.0001	0.05	0.05	1.0	1.6666666666666667e-05
V_std	0	small_open	0.0006	2500	35	5	30	0.0001	0.000106	0.05	0.053000000000000005	1.06	1.6666666666666667e-05
V_std	0	iter120_default	0.001	2500	35	5	30	0.0001	0.00011080000000000001	0.05	0.055400000000000005	1.108	1.6666666666666667e-05
V_std	0	mid_tier	0.005	2500	35	5	30	0.0001	0.0001588	0.05	0.0794	1.588	1.6666666666666667e-05
V_std	0	frontier_gpt4	0.03	2500	35	5	30	0.0001	0.0004588	0.05	0.2294	4.587999999999999	1.6666666666666667e-05
V_std	1	cheap_heuristic	0.0001	2500	35	11	20	0.0001	0.0001	0.022727272727272728	0.022727272727272728	1.0	5.5e-05
V_std	1	small_open	0.0006	2500	35	11	20	0.0001	0.00010400000000000001	0.022727272727272728	0.023636363636363636	1.04	5.5e-05
V_std	1	iter120_default	0.001	2500	35	11	20	0.0001	0.0001072	0.022727272727272728	0.024363636363636365	1.072	5.5e-05
V_std	1	mid_tier	0.005	2500	35	11	20	0.0001	0.0001392	0.022727272727272728	0.031636363636363636	1.392	5.5e-05
V_std	1	frontier_gpt4	0.03	2500	35	11	20	0.0001	0.0003392	0.022727272727272728	0.07709090909090908	3.392	5.5e-05
V_std	2	cheap_heuristic	0.0001	2500	38	18	19	0.0001	0.0001	0.013888888888888888	0.013888888888888888	1.0	9.473684210526316e-05
