rate_pct	obs_rate_pct	tree	calibration	max_worst_ece_across_cohorts	mean_global_ece
0.05	0.0507	XGB-20raw	iso_per_cohort	0.865027	0.273015
0.05	0.0507	XGB-20raw	raw	0.218348	0.137136
0.05	0.0507	XGB-24full	iso_per_cohort	0.89858	0.29025
0.05	0.0507	XGB-24full	raw	0.176625	0.130964
0.1	0.1014	XGB-20raw	iso_per_cohort	0.997973	0.531531
0.1	0.1014	XGB-20raw	raw	0.218352	0.137008
0.1	0.1014	XGB-24full	iso_per_cohort	0.997973	0.529084
0.1	0.1014	XGB-24full	raw	0.176494	0.13084
0.5	0.5047	XGB-20raw	iso_per_cohort	0.995823	0.915704
0.5	0.5047	XGB-20raw	raw	0.217641	0.13588
0.5	0.5047	XGB-24full	iso_per_cohort	0.995305	0.962333
0.5	0.5047	XGB-24full	raw	0.175229	0.129735
1.0	1.0044	XGB-20raw	iso_per_cohort	0.990981	0.943765
1.0	1.0044	XGB-20raw	raw	0.213351	0.134292
1.0	1.0044	XGB-24full	iso_per_cohort	0.989999	0.972581
1.0	1.0044	XGB-24full	raw	0.17428	0.128348
1.44	1.44	XGB-20raw	iso_per_cohort	0.990204	0.940863
1.44	1.44	XGB-20raw	raw	0.212214	0.133115
1.44	1.44	XGB-24full	iso_per_cohort	0.987276	0.966458
1.44	1.44	XGB-24full	raw	0.172105	0.127192
