rate_pct	fset	n_test	n_pos	xgb_caught_K2	n_llm_grad	sweet_spot_price_per_call
1.44	24full	10000	144	48	96	5e-05
1.44	20raw	10000	144	50	76	6.578947368421052e-05
1.44	20raw+minmax	10000	144	50	82	6.097560975609756e-05
1.44	20raw+stat	10000	144	50	85	5.882352941176471e-05
1.0	24full	9956	100	34	95	3.578947368421053e-05
1.0	20raw	9956	100	37	82	4.51219512195122e-05
1.0	20raw+minmax	9956	100	34	82	4.1463414634146346e-05
1.0	20raw+stat	9956	100	37	82	4.51219512195122e-05
0.5	24full	9906	50	22	97	2.268041237113402e-05
0.5	20raw	9906	50	22	79	2.7848101265822786e-05
0.5	20raw+minmax	9906	50	21	86	2.4418604651162793e-05
0.5	20raw+stat	9906	50	24	79	3.0379746835443042e-05
0.1	24full	9866	10	1	106	9.433962264150944e-07
0.1	20raw	9866	10	3	79	3.7974683544303802e-06
0.1	20raw+minmax	9866	10	2	90	2.2222222222222225e-06
0.1	20raw+stat	9866	10	2	89	2.247191011235955e-06
0.05	24full	9861	5	4	105	3.80952380952381e-06
0.05	20raw	9861	5	4	77	5.194805194805195e-06
0.05	20raw+minmax	9861	5	4	90	4.444444444444445e-06
0.05	20raw+stat	9861	5	3	88	3.4090909090909096e-06
