seed	rate_pct	fset	tau0_be	tau3_be	monotone_non_decreasing
20260706	1.44	24full	1.0	1.0	True
20260708	1.44	24full	1.0	1.0	True
20260710	1.44	24full	1.0	1.0	True
20260712	1.44	24full	1.0	1.0	True
20260714	1.44	24full	1.0	1.0	True
20260706	1.44	20raw	1.0	1.0	True
20260708	1.44	20raw	1.0	1.0	True
20260710	1.44	20raw	1.0	1.0	True
20260712	1.44	20raw	1.0	1.0	True
20260714	1.44	20raw	1.0	1.0	True
20260706	1.44	20raw+minmax	1.0	1.0	True
20260708	1.44	20raw+minmax	1.0	1.0	True
20260710	1.44	20raw+minmax	1.0	1.0	True
20260712	1.44	20raw+minmax	1.0	1.0	True
20260714	1.44	20raw+minmax	1.0	1.0	True
20260706	1.44	20raw+stat	1.0	1.0	True
20260708	1.44	20raw+stat	1.0	1.0	True
20260710	1.44	20raw+stat	1.0	1.0	True
20260712	1.44	20raw+stat	1.0	1.0	True
20260714	1.44	20raw+stat	1.0	1.0	True
20260706	1.0	24full	1.0	1.0	True
20260708	1.0	24full	1.0	1.0	True
20260710	1.0	24full	1.0	1.0	True
20260712	1.0	24full	1.0	1.0	True
20260714	1.0	24full	1.0	1.0	True
20260706	1.0	20raw	1.0	1.0	True
20260708	1.0	20raw	1.0	1.0	True
20260710	1.0	20raw	1.0	1.0	True
20260712	1.0	20raw	1.0	1.0	True
20260714	1.0	20raw	1.0	1.0	True
20260706	1.0	20raw+minmax	1.0	1.0	True
20260708	1.0	20raw+minmax	1.0	1.0	True
20260710	1.0	20raw+minmax	1.0	1.0	True
20260712	1.0	20raw+minmax	1.0	1.0	True
20260714	1.0	20raw+minmax	1.0	1.0	True
20260706	1.0	20raw+stat	1.0	1.0	True
20260708	1.0	20raw+stat	1.0	1.0	True
20260710	1.0	20raw+stat	1.0	1.0	True
20260712	1.0	20raw+stat	1.0	1.0	True
20260714	1.0	20raw+stat	1.0	1.0	True
20260706	0.5	24full	1.0	1.0	True
20260708	0.5	24full	1.0	1.0	True
20260710	0.5	24full	1.0	1.0	True
20260712	0.5	24full	1.0	1.0	True
20260714	0.5	24full	1.0	1.0	True
20260706	0.5	20raw	1.0	1.0	True
20260708	0.5	20raw	1.0	1.0	True
20260710	0.5	20raw	1.0	1.0	True
20260712	0.5	20raw	1.0	1.0	True
20260714	0.5	20raw	1.0	1.0	True
20260706	0.5	20raw+minmax	1.0	1.0	True
20260708	0.5	20raw+minmax	1.0	1.0	True
20260710	0.5	20raw+minmax	1.0	1.0	True
20260712	0.5	20raw+minmax	1.0	1.0	True
20260714	0.5	20raw+minmax	1.0	1.0	True
20260706	0.5	20raw+stat	1.0	1.0	True
20260708	0.5	20raw+stat	1.0	1.0	True
20260710	0.5	20raw+stat	1.0	1.0	True
20260712	0.5	20raw+stat	1.0	1.0	True
20260714	0.5	20raw+stat	1.0	1.0	True
20260706	0.1	24full	1.0	1.0	True
20260708	0.1	24full	1.0	1.0	True
20260710	0.1	24full	1.0	1.0	True
20260712	0.1	24full	1.0	1.0	True
20260714	0.1	24full	1.0	1.0	True
20260706	0.1	20raw	1.0	1.0	True
20260708	0.1	20raw	1.0	1.0	True
20260710	0.1	20raw	1.0	1.0	True
20260712	0.1	20raw	1.0	1.0	True
20260714	0.1	20raw	1.0	1.0	True
20260706	0.1	20raw+minmax	1.0	1.0	True
20260708	0.1	20raw+minmax	1.0	1.0	True
20260710	0.1	20raw+minmax	1.0	1.0	True
20260712	0.1	20raw+minmax	1.0	1.0	True
20260714	0.1	20raw+minmax	1.0	1.0	True
20260706	0.1	20raw+stat	1.0	1.0	True
20260708	0.1	20raw+stat	1.0	1.0	True
20260710	0.1	20raw+stat	1.0	1.0	True
20260712	0.1	20raw+stat	1.0	1.0	True
20260714	0.1	20raw+stat	1.0	1.0	True
20260706	0.05	24full	1.0	1.0	True
20260708	0.05	24full	1.0	1.0	True
20260710	0.05	24full	1.0	1.0	True
20260712	0.05	24full	1.0	1.0	True
20260714	0.05	24full	1.0	1.0	True
20260706	0.05	20raw	1.0	1.0	True
20260708	0.05	20raw	1.0	1.0	True
20260710	0.05	20raw	1.0	1.0	True
20260712	0.05	20raw	1.0	1.0	True
20260714	0.05	20raw	1.0	1.0	True
20260706	0.05	20raw+minmax	1.0	1.0	True
20260708	0.05	20raw+minmax	1.0	1.0	True
20260710	0.05	20raw+minmax	1.0	1.0	True
20260712	0.05	20raw+minmax	1.0	1.0	True
20260714	0.05	20raw+minmax	1.0	1.0	True
20260706	0.05	20raw+stat	1.0	1.0	True
20260708	0.05	20raw+stat	1.0	1.0	True
20260710	0.05	20raw+stat	1.0	1.0	True
20260712	0.05	20raw+stat	1.0	1.0	True
20260714	0.05	20raw+stat	1.0	1.0	True
