fset	calibrator	seed	curv_K1
20raw	pre	42	0.00573
20raw	platt	42	-0.32718
20raw	iso	42	-0.15392
20raw	pre	179	0.02164
20raw	platt	179	-0.31367
20raw	iso	179	-0.11657
20raw	pre	316	0.01171
20raw	platt	316	-0.30689
20raw	iso	316	-0.0721
20raw	pre	453	0.0641
20raw	platt	453	-0.25929
20raw	iso	453	-0.07009
20raw	pre	590	0.0366
20raw	platt	590	-0.28598
20raw	iso	590	-0.10262
24full	pre	42	0.01432
24full	platt	42	-0.29009
24full	iso	42	-0.10339
24full	pre	179	-0.0283
24full	platt	179	-0.33549
24full	iso	179	-0.18222
24full	pre	316	0.00076
24full	platt	316	-0.30229
24full	iso	316	-0.14527
24full	pre	453	-0.0034
24full	platt	453	-0.31511
24full	iso	453	-0.10172
24full	pre	590	0.00221
24full	platt	590	-0.29353
24full	iso	590	-0.14019
4sensor	pre	42	0.43459
4sensor	platt	42	-0.31977
4sensor	iso	42	-0.17623
4sensor	pre	179	0.44882
4sensor	platt	179	-0.29969
4sensor	iso	179	-0.18991
4sensor	pre	316	0.44765
4sensor	platt	316	-0.29853
4sensor	iso	316	-0.22254
4sensor	pre	453	0.47698
4sensor	platt	453	-0.27863
4sensor	iso	453	-0.26807
4sensor	pre	590	0.42342
4sensor	platt	590	-0.32774
4sensor	iso	590	-0.28822
