fset	quartile	seed	n_pos	hit_rate_at_1pct	auc
20raw	0	42	35	0.485714	0.992756
20raw	1	42	35	0.628571	0.997033
20raw	2	42	38	0.605263	0.999113
20raw	3	42	36	0.694444	0.999786
20raw	0	179	35	0.457143	0.991017
20raw	1	179	35	0.6	0.996523
20raw	2	179	38	0.605263	0.998835
20raw	3	179	36	0.666667	0.999605
20raw	0	316	35	0.457143	0.991226
20raw	1	316	35	0.628571	0.997253
20raw	2	316	38	0.631579	0.998749
20raw	3	316	36	0.694444	0.999684
20raw	0	453	35	0.428571	0.991017
20raw	1	453	35	0.6	0.99687
20raw	2	453	38	0.605263	0.99907
20raw	3	453	36	0.694444	0.999876
20raw	0	590	35	0.514286	0.992802
20raw	1	590	35	0.628571	0.99701
20raw	2	590	38	0.605263	0.998846
20raw	3	590	36	0.666667	0.999775
24full	0	42	35	0.6	0.997728
24full	1	42	35	0.628571	0.997786
24full	2	42	38	0.578947	0.998792
24full	3	42	36	0.694444	0.999876
24full	0	179	35	0.6	0.997508
24full	1	179	35	0.6	0.997473
24full	2	179	38	0.631579	0.998429
24full	3	179	36	0.694444	0.999876
24full	0	316	35	0.657143	0.997218
24full	1	316	35	0.6	0.997693
24full	2	316	38	0.605263	0.998333
24full	3	316	36	0.694444	0.999853
24full	0	453	35	0.657143	0.997334
24full	1	453	35	0.657143	0.997775
24full	2	453	38	0.605263	0.998236
24full	3	453	36	0.666667	0.999707
24full	0	590	35	0.685714	0.997937
24full	1	590	35	0.628571	0.997647
24full	2	590	38	0.578947	0.997991
24full	3	590	36	0.694444	0.999853
4sensor	0	42	35	0.4	0.979542
4sensor	1	42	35	0.371429	0.962631
4sensor	2	42	38	0.236842	0.961061
4sensor	3	42	36	0.25	0.961062
4sensor	0	179	35	0.428571	0.966595
4sensor	1	179	35	0.257143	0.962249
4sensor	2	179	38	0.184211	0.948662
4sensor	3	179	36	0.25	0.964624
4sensor	0	316	35	0.371429	0.973353
4sensor	1	316	35	0.342857	0.961959
4sensor	2	316	38	0.210526	0.939437
4sensor	3	316	36	0.222222	0.960915
4sensor	0	453	35	0.371429	0.976019
4sensor	1	453	35	0.371429	0.9506
4sensor	2	453	38	0.210526	0.929935
4sensor	3	453	36	0.194444	0.967735
4sensor	0	590	35	0.371429	0.978209
4sensor	1	590	35	0.428571	0.970733
4sensor	2	590	38	0.210526	0.948972
4sensor	3	590	36	0.222222	0.960453
