fset	c	seed	min_cost_test	n_pos_test	n_tx_test
20raw	1	42	0.005800	144	10000
20raw	10	42	0.015500	144	10000
20raw	100	42	0.029000	144	10000
20raw	1000	42	0.036200	144	10000
20raw	1	179	0.006500	144	10000
20raw	10	179	0.016200	144	10000
20raw	100	179	0.032200	144	10000
20raw	1000	179	0.040800	144	10000
20raw	1	316	0.006200	144	10000
20raw	10	316	0.016700	144	10000
20raw	100	316	0.032700	144	10000
20raw	1000	316	0.032700	144	10000
20raw	1	453	0.006100	144	10000
20raw	10	453	0.014500	144	10000
20raw	100	453	0.031500	144	10000
20raw	1000	453	0.031500	144	10000
20raw	1	590	0.006100	144	10000
20raw	10	590	0.012700	144	10000
20raw	100	590	0.025600	144	10000
20raw	1000	590	0.032700	144	10000
24full	1	42	0.004100	144	10000
24full	10	42	0.011400	144	10000
24full	100	42	0.013100	144	10000
24full	1000	42	0.013100	144	10000
24full	1	179	0.004900	144	10000
24full	10	179	0.012000	144	10000
24full	100	179	0.020100	144	10000
24full	1000	179	0.020100	144	10000
24full	1	316	0.004700	144	10000
24full	10	316	0.012700	144	10000
24full	100	316	0.019500	144	10000
24full	1000	316	0.019500	144	10000
24full	1	453	0.004900	144	10000
24full	10	453	0.013400	144	10000
24full	100	453	0.022500	144	10000
24full	1000	453	0.023500	144	10000
24full	1	590	0.004900	144	10000
24full	10	590	0.012500	144	10000
24full	100	590	0.020000	144	10000
24full	1000	590	0.020000	144	10000
4sensor	1	42	0.014200	144	10000
4sensor	10	42	0.076200	144	10000
4sensor	100	42	0.190900	144	10000
4sensor	1000	42	0.241300	144	10000
4sensor	1	179	0.014100	144	10000
4sensor	10	179	0.081800	144	10000
4sensor	100	179	0.214900	144	10000
4sensor	1000	179	0.313900	144	10000
4sensor	1	316	0.014100	144	10000
4sensor	10	316	0.081400	144	10000
4sensor	100	316	0.224600	144	10000
4sensor	1000	316	0.317200	144	10000
4sensor	1	453	0.014100	144	10000
4sensor	10	453	0.083500	144	10000
4sensor	100	453	0.228500	144	10000
4sensor	1000	453	0.261700	144	10000
4sensor	1	590	0.014200	144	10000
4sensor	10	590	0.078100	144	10000
4sensor	100	590	0.206200	144	10000
4sensor	1000	590	0.285400	144	10000
